Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Soldi,Mahmood,6,5143954,-0.12%,https://www.youtube.com/watch?v=22lISUXgSUw
2,2,Con Calma,Daddy Yankee & Snow,8,4680143,0.09%,https://www.youtube.com/watch?v=DiItGE3eAyQ
3,3,Calma (Remix),Pedro Capó & Alan Walker & Farruko,14,4146044,0.07%,https://www.youtube.com/watch?v=YS2RmyES-GU
4,4,Per Un Milione,Boomdabash,6,3931091,0.07%,https://www.youtube.com/watch?v=fL1rrLus1_8
5,13,Mademoiselle,Sfera Ebbasta,2,3093555,0.84%,https://www.youtube.com/watch?v=6hIEt2r4FrY
6,5,I Tuoi Particolari,Ultimo,7,2347377,-0.18%,https://www.youtube.com/watch?v=q2izsbwDEsk
7,7,Sweet but Psycho,Ava Max,11,2310941,0%,https://www.youtube.com/watch?v=WXBHCQYxwr0
8,9,Shallow,Lady Gaga & Bradley Cooper,25,2154242,-0.03%,https://www.youtube.com/watch?v=bo_efYhYU2A
9,8,Cosa ti aspetti da me,Loredana Berté,7,2128235,-0.07%,https://www.youtube.com/watch?v=ss3NhlKY86M
10,6,LA RAGAZZA CON IL CUORE DI LATTA,Irama,7,2120243,-0.19%,https://www.youtube.com/watch?v=ov3pyu9hWio
11,11,Senza Farlo Apposta,Shade & Federica Carta,5,1914251,0%,https://www.youtube.com/watch?v=QpzrjD_fOUw
12,16,Anche Fragile,Elisa,9,1691575,0.1%,https://www.youtube.com/watch?v=fxzonH9rDw4
13,10,Hola (I Say) (feat. Tom Walker),Marco Mengoni,15,1677531,-0.15%,https://www.youtube.com/watch?v=qBnffe5-WOE
14,14,È sempre bello,Coez,10,1584509,-0.01%,https://www.youtube.com/watch?v=MNWpYoR0HLw
15,12,D'estate non vale (feat. Ana Mena),Fred De Palma,39,1436107,-0.17%,https://www.youtube.com/watch?v=xj4ADZhEfJo
16,15,Torna a casa,Måneskin,25,1415412,-0.11%,https://www.youtube.com/watch?v=ZZjnfWx0cvw
