Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Viceversa,Francesco Gabbani,6,3693662,-0.21%,https://www.youtube.com/watch?v=cNoylMSXYcE
2,4,Bando,ANNA,4,3296582,0.12%,n/a
3,2,Musica (E Il Resto Scompare),Elettra Lamborghini,6,3256580,-0.11%,https://www.youtube.com/watch?v=-8B-msCuuFA
4,3,Fai Rumore,Diodato,6,2847130,-0.2%,https://www.youtube.com/watch?v=tPv9ZPXmFWU
5,7,Rapide,Mahmood,8,2695433,0.17%,https://www.youtube.com/watch?v=Wrprk7BlsgY
6,5,Dance Monkey,Tones and I,26,2325187,-0.07%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
7,12,Good Times,Ghali,3,2323753,0.28%,https://www.youtube.com/watch?v=w2KZGGkvLe8
8,6,Una volta ancora (feat. Ana Mena),Fred De Palma,40,2144225,-0.1%,https://www.youtube.com/watch?v=4R5mDpIgwUs
9,8,Per sentirmi vivo,Fasma & G.G.,9,1984441,-0.14%,https://www.youtube.com/watch?v=T-sWpqN2yo8
10,10,Boogieman (feat. Salmo),Ghali,8,1833096,-0.12%,https://www.youtube.com/watch?v=-7lqGbIE3aM
11,9,Ringo Starr,Pinguini Tattici Nucleari,6,1786043,-0.15%,https://www.youtube.com/watch?v=J3n4CrZxu3g
12,11,Ti Volevo Dedicare,Rocco Hunt & Omar Montes & Reik,28,1747292,-0.12%,https://www.youtube.com/watch?v=kFF2i6sUj1M
13,15,Fuego,Neves17 & Geolier & Lele Blade,6,1558576,-0.06%,https://www.youtube.com/watch?v=gh3CcAKwsWM
14,16,DOVE E QUANDO,Benji & Fede,41,1399478,-0.08%,https://www.youtube.com/watch?v=4QhyYngmW0I
15,13,Andromeda,Elodie,6,1387916,-0.22%,https://www.youtube.com/watch?v=esgGK28jKVk
16,14,Danza (feat. Marco Calone & Pino Franzese),Niko Pandetta,2,1387149,-0.16%,https://www.youtube.com/watch?v=Jhb9ibvygZ8
17,29,Snitch E Impicci,DrefGold & FSK SATELLITE,2,1368250,0.4%,https://www.youtube.com/watch?v=9NSf6dfnOCw
