Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Soldi,Mahmood,5,5846961,-0.23%,https://www.youtube.com/watch?v=22lISUXgSUw
2,2,Con Calma,Daddy Yankee & Snow,7,4276196,0.11%,https://www.youtube.com/watch?v=DiItGE3eAyQ
3,3,Calma (Remix),Pedro Capó & Alan Walker & Farruko,13,3888798,0.03%,https://www.youtube.com/watch?v=YS2RmyES-GU
4,4,Per Un Milione,Boomdabash,5,3690978,0.01%,https://www.youtube.com/watch?v=fL1rrLus1_8
5,6,I Tuoi Particolari,Ultimo,6,2868554,-0.16%,https://www.youtube.com/watch?v=q2izsbwDEsk
6,5,LA RAGAZZA CON IL CUORE DI LATTA,Irama,6,2620245,-0.27%,https://www.youtube.com/watch?v=ov3pyu9hWio
7,8,Sweet but Psycho,Ava Max,10,2309459,-0.01%,https://www.youtube.com/watch?v=WXBHCQYxwr0
8,9,Cosa ti aspetti da me,Loredana Berté,6,2295828,-0.01%,https://www.youtube.com/watch?v=ss3NhlKY86M
9,7,Shallow,Lady Gaga & Bradley Cooper,24,2209497,-0.35%,https://www.youtube.com/watch?v=bo_efYhYU2A
10,11,Hola (I Say) (feat. Tom Walker),Marco Mengoni,14,1978629,0.06%,https://www.youtube.com/watch?v=qBnffe5-WOE
11,10,Senza Farlo Apposta,Shade & Federica Carta,4,1916171,-0.14%,https://www.youtube.com/watch?v=QpzrjD_fOUw
12,13,D'estate non vale (feat. Ana Mena),Fred De Palma,38,1727998,-0.01%,https://www.youtube.com/watch?v=xj4ADZhEfJo
13,n/a,Mademoiselle,Sfera Ebbasta,1,1678305,n/a,https://www.youtube.com/watch?v=6hIEt2r4FrY
14,14,È sempre bello,Coez,9,1604133,-0.03%,https://www.youtube.com/watch?v=MNWpYoR0HLw
15,20,Torna a casa,Måneskin,24,1593051,0.22%,https://www.youtube.com/watch?v=ZZjnfWx0cvw
16,17,Anche Fragile,Elisa,8,1542293,0.1%,https://www.youtube.com/watch?v=fxzonH9rDw4
17,16,Da zero a cento,Baby K,38,1353463,-0.07%,https://www.youtube.com/watch?v=XzuV0_cot-g
18,18,Amore e Capoeira (feat. Giusy Ferreri & Sean Kingston),Takagi & Ketra,39,1342645,-0.03%,https://www.youtube.com/watch?v=N4pqF-hwFM4
19,19,Taki Taki,DJ Snake,24,1207007,-0.08%,https://www.youtube.com/watch?v=ixkoVwKQaJg
20,15,Baila Baila Baila (Remix) (feat. Anuel AA Daddy Yankee J Balvin & Farruko),Ozuna,10,1168029,-0.22%,https://www.youtube.com/watch?v=32F2d-wj4Xw
21,22,Nera,Irama,37,1152801,-0.07%,https://www.youtube.com/watch?v=ZSLewGyjhiw
22,23,Per Le Strade Una Canzone (feat. Luis Fonsi),Eros Ramazzotti,8,1102695,-0.09%,https://www.youtube.com/watch?v=mYc9jSdhwMw
23,21,Musica che resta,Il Volo,5,1075023,-0.15%,https://www.youtube.com/watch?v=6NaPnoAIPSM
24,24,Ti dedico il silenzio,Ultimo,13,1046296,-0.07%,https://www.youtube.com/watch?v=vUXmB4-HYUI
