Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Brividi,Mahmood & BLANCO,5,5475838,-0.23%,https://www.youtube.com/watch?v=MA_5P3u0apQ
2,2,Ovunque Sarai,Irama,5,4298469,-0.24%,https://www.youtube.com/watch?v=K4cPTgkYG9c
3,3,Ciao Ciao,La Rappresentante di Lista,5,3197641,-0.22%,https://www.youtube.com/watch?v=dxer4GwV1sc
4,4,farfalle,Sangiovanni,5,3092208,-0.15%,https://www.youtube.com/watch?v=75fwUd-lX_o
5,8,Tu Comm'a Mme,Gianni Celeste,4,1924881,0.09%,https://www.youtube.com/watch?v=P7q8xSvxKPI
6,5,Dove Si Balla,Dargen D'Amico,5,1722296,-0.21%,https://www.youtube.com/watch?v=rCdHk1eTe34
7,9,We Don't Talk About Bruno,Angelica Hale,9,1598050,-0.01%,https://www.youtube.com/watch?v=0L2FMgvtVVg
8,29,∞ LOVE (feat. Guè),Marracash,15,1457273,0.71%,https://www.youtube.com/watch?v=6cIiWPGnTbY
9,6,Duecentomila ore,Ana Mena,5,1408439,-0.28%,https://www.youtube.com/watch?v=vi8XYHIou7c
10,11,LA CODA DEL DIAVOLO,Rkomi & Elodie,13,1356998,-0.09%,https://www.youtube.com/watch?v=0kdY-4kaJKo
11,7,O Forse Sei Tu,Elisa,5,1272800,-0.34%,https://www.youtube.com/watch?v=0vrbQcOiq-k
12,12,Ogni Volta È Così (Live),Emma,5,1167206,-0.18%,n/a
13,17,Mi Fiderò (feat. Madame),Marco Mengoni,12,1156852,0.04%,https://www.youtube.com/watch?v=hfC__TAl8YA
14,10,Apri tutte le porte,Gianni Morandi,5,1043003,-0.31%,https://www.youtube.com/watch?v=CCQIGH6dl9U
15,16,Pistole Nella Fendi,Niko Pandetta,7,1024974,-0.1%,https://www.youtube.com/watch?v=IMhEIjGBs1Y
16,38,Shakerando,Rhove,11,1010414,0.42%,https://www.youtube.com/watch?v=U6VMjHJ18a0
17,15,MI FAI IMPAZZIRE,BLANCO & Sfera Ebbasta,37,977546,-0.14%,https://www.youtube.com/watch?v=FJNOkLCIg5Y
18,21,Pensando a lei,Shiva,3,954809,-0.09%,https://www.youtube.com/watch?v=PbP_-Xs0Di8
19,24,malibu,Sangiovanni,42,951897,-0.01%,https://www.youtube.com/watch?v=R24b7p8HuWo
20,13,Virale,Matteo Romano,4,932772,-0.22%,https://www.youtube.com/watch?v=ciUEwnSbry8
21,19,Finché Non Mi Seppelliscono,BLANCO,25,914326,-0.16%,https://www.youtube.com/watch?v=7p09c3GgF4A
22,22,Perfetta Così,Aka 7even,4,913689,-0.13%,https://www.youtube.com/watch?v=xmJiSoIOfyU
23,14,INSUPERABILE,Rkomi,5,894292,-0.24%,https://www.youtube.com/watch?v=tXeh4PZBgY0
24,26,Pastello Bianco,Pinguini Tattici Nucleari,29,867886,-0.06%,https://www.youtube.com/watch?v=JcLH8qsHNN4
25,27,Un bacio all'improvviso,Rocco Hunt & Ana Mena,39,858117,-0.04%,https://www.youtube.com/watch?v=FIfhgM_Uok8
26,28,Pepas,Farruko,31,837914,-0.05%,https://www.youtube.com/watch?v=y8trd3gjJt0
27,n/a,Eurovision (feat. Rondodasosa Baby Gang A2anti Morad Beny Jr ASHE 22 & Freeze Corleone),Central Cee,1,778442,n/a,https://www.youtube.com/watch?v=ZlnLvLDP4Zg
28,31,TRAVESURAS,SLF & MV Killa & Yung Snapp & Lele Blade & Vale Lambo,7,773970,-0.02%,https://www.youtube.com/watch?v=HZ9Oi0mMfiY
29,35,Surface Pressure,Jessica Darrow,2,770523,0.04%,https://www.youtube.com/watch?v=tQwVKr8rCYw
30,33,MILLE,Fedez & Achille Lauro & Orietta Berti,38,759652,-0.02%,https://www.youtube.com/watch?v=l6N-Yq9Fw4U
31,18,Mama I’m a Criminal,Paky,2,754096,-0.32%,https://www.youtube.com/watch?v=Iep6KOcAxYY
32,20,Sei tu,Fabrizio Moro,5,743754,-0.31%,https://www.youtube.com/watch?v=dS5mn2tZX4Y
33,25,SESSO OCCASIONALE,Tananai,4,710406,-0.24%,https://www.youtube.com/watch?v=6CMMrUn9zPY
34,30,Notti In Bianco,BLANCO,44,704518,-0.12%,https://www.youtube.com/watch?v=wppn2Via-Tk
35,32,TARANTELLE,SIMBA LA RUE & Bobo,3,672608,-0.15%,https://www.youtube.com/watch?v=BLJVnkjJxtA
36,23,Chimica,Ditonellapiaga & Donatella Rettore,4,666631,-0.31%,https://www.youtube.com/watch?v=2rsteQ4OdLE
37,36,CRAZY LOVE,Marracash,15,648411,-0.11%,https://www.youtube.com/watch?v=JHqxzM2tZHs
38,72,BABY GODDAMN,Tananai,2,642773,0.97%,https://www.youtube.com/watch?v=PLin7dzqk_w
39,42,LAPROVINCE #1,Rhove,6,576924,-0.07%,https://www.youtube.com/watch?v=hldgtVJ7uNA
40,n/a,Una Lacrima (feat. Sfera Ebbasta),Irama,1,547042,n/a,https://www.youtube.com/watch?v=obpOQWwaymU
41,n/a,I Draw My Life,Ameli,1,546900,n/a,https://www.youtube.com/watch?v=dzPmfaWXsvE
42,62,Yo Voy (feat. Daddy Yankee),Zion & Lennox,3,535422,0.43%,https://www.youtube.com/watch?v=jR_j-LPLBvU
43,34,DOMENICA,Achille Lauro,5,520732,-0.31%,https://www.youtube.com/watch?v=-iq4e2q2rzY
44,40,Ti amo non lo so dire,Noemi,5,516966,-0.21%,https://www.youtube.com/watch?v=6Fj-cufiyqc
45,49,abcdefu,GAYLE,16,498842,-0.04%,https://www.youtube.com/watch?v=NaFd8ucHLuo
46,67,Scatola,Laura Pausini,6,496137,0.42%,https://www.youtube.com/watch?v=PFvqgj28vk4
47,50,LUNA PIENA,Rkomi & Irama & Shablo,44,484797,-0.05%,https://www.youtube.com/watch?v=XTzIDZ3cbOw
48,45,BlaBlaBla,MamboLosco & Nardi & Finesse,2,482298,-0.13%,https://www.youtube.com/watch?v=PHXW9TSuhSo
49,48,Movimento lento,Annalisa,40,470624,-0.1%,https://www.youtube.com/watch?v=rv2KSakpnc0
50,44,Blu Celeste,BLANCO,24,469940,-0.22%,https://www.youtube.com/watch?v=EA58w_cxAAg
51,96,All Of You (Karaoke),Sing King,2,439326,0.82%,n/a
52,37,Seignosse,Rhove,2,427868,-0.4%,https://www.youtube.com/watch?v=hVDKz8YOOQo
53,47,Canzone inutile,Alessandra Amoroso,16,423115,-0.2%,https://www.youtube.com/watch?v=sLtcmMAINRY
54,58,Enemy (feat. JID),Imagine Dragons,16,407153,-0.02%,https://www.youtube.com/watch?v=D9G1VOjN_84
55,43,Inverno dei fiori,Michele Bravi,5,403023,-0.34%,https://www.youtube.com/watch?v=EYA9f4_Ofnw
56,46,Blauer,Paky,5,402146,-0.27%,https://www.youtube.com/watch?v=Bf3X8b2g0Sg
57,55,Bella Vita,Niko Pandetta,6,397001,-0.09%,https://www.youtube.com/watch?v=uei0wDoHGA4
58,56,Unstoppable,Sia,17,382902,-0.11%,https://www.youtube.com/watch?v=YaEG2aWJnZ8
59,54,SOLITE PARE,Sick Luke & thasup & Sfera Ebbasta,8,380976,-0.13%,https://www.youtube.com/watch?v=Y4IyWe4qNGg
60,63,CADILLAC,SLF & MV Killa & Geolier & Tony Effe,5,379676,0.03%,https://www.youtube.com/watch?v=vskcDjk2msI
