Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Musica leggerissima,Colapesce & Dimartino,4,6961213,-0.16%,https://www.youtube.com/watch?v=Q7NjUxGMv7Y
2,2,CHIAMAMI PER NOME,Francesca Michielin & Fedez,4,4086197,-0.16%,https://www.youtube.com/watch?v=F92zPP2FbwE
3,3,ZITTI E BUONI,Måneskin,4,2921472,-0.28%,https://www.youtube.com/watch?v=QN1odfjtMoo
4,4,VOCE,Madame,4,2771136,-0.03%,https://www.youtube.com/watch?v=cFAtUbi7a8w
5,5,La genesi del tuo colore,Irama,3,2341828,-0.12%,https://www.youtube.com/watch?v=ksTDwL45sO0
6,8,lady,Sangiovanni,9,2199197,0.41%,https://www.youtube.com/watch?v=2yivf9LdbhI
7,6,LA CANZONE NOSTRA,MACE & Blanco & Salmo,11,1717263,-0.14%,https://www.youtube.com/watch?v=XE6lV6xseQ4
8,7,Dieci,Annalisa,4,1529633,-0.11%,https://www.youtube.com/watch?v=dVLen7OOG38
9,11,A Un Passo Dalla Luna,Rocco Hunt & Ana Mena,38,1309348,-0.06%,https://www.youtube.com/watch?v=Kh-Dz1Fuo1E
10,9,Glicine,Noemi,4,1247017,-0.16%,https://www.youtube.com/watch?v=WuXm-dk8jQo
11,10,Venere e Marte (feat. Marco Mengoni & Frah Quintale),Takagi & Ketra,11,1215017,-0.13%,https://www.youtube.com/watch?v=BfDsoB0jhsY
12,14,Karaoke,Boomdabash & Alessandra Amoroso,41,1188014,-0.04%,https://www.youtube.com/watch?v=fHFx6FbUMRQ
13,45,Ti raggiungerò,Fred De Palma,2,1162151,1%,https://www.youtube.com/watch?v=2WMYOxpRVMI
14,12,Che me chiamme a fa?,Rocco Hunt & Geolier,5,1125444,-0.17%,https://www.youtube.com/watch?v=Vo00UBqXJRc
15,n/a,CORALINE,Måneskin,1,1123088,n/a,https://www.youtube.com/watch?v=CmMO42bOTZ4
16,13,Fiamme negli occhi,Coma_Cose,3,1063071,-0.14%,https://www.youtube.com/watch?v=MJhkALvLs0s
17,20,Potevi fare di più,Arisa,4,999891,0.09%,https://www.youtube.com/watch?v=BNPN2qH_yTE
18,18,Jerusalema (feat. Nomcebo Zikode),Master KG,40,882013,-0.06%,https://www.youtube.com/watch?v=fCZVL_8D048
19,16,VENT'ANNI,Måneskin,21,834093,-0.14%,https://www.youtube.com/watch?v=XD77aMyCv0Q
20,15,Mai Dire Mai (La Locura),Willie Peyote,3,799690,-0.28%,https://www.youtube.com/watch?v=fJtnqQ1RTg4
21,33,Non Fare Così,Capo Plaza,9,773478,0.22%,https://www.youtube.com/watch?v=gHdd3-F4oFg
22,17,Parlami,Fasma & ,4,766840,-0.21%,https://www.youtube.com/watch?v=H0C63z3DPE0
23,19,Figlia di...,Loredana Berté,4,715971,-0.23%,https://www.youtube.com/watch?v=Aa1UVNDCjaw
24,27,Mi Manchi,Aka 7even,4,713890,-0.01%,https://www.youtube.com/watch?v=qvJPtngb15E
25,25,Save Your Tears,The Weeknd,13,713806,-0.1%,https://www.youtube.com/watch?v=XXYlFuWEuKI
