Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Brividi,Mahmood & BLANCO,4,7084308,-0.33%,https://www.youtube.com/watch?v=MA_5P3u0apQ
2,2,Ovunque Sarai,Irama,4,5666301,-0.18%,https://www.youtube.com/watch?v=K4cPTgkYG9c
3,3,Ciao Ciao,La Rappresentante di Lista,4,4104330,-0.16%,https://www.youtube.com/watch?v=dxer4GwV1sc
4,4,farfalle,Sangiovanni,4,3652412,0.1%,https://www.youtube.com/watch?v=75fwUd-lX_o
5,7,Dove Si Balla,Dargen D'Amico,4,2173577,-0.01%,https://www.youtube.com/watch?v=rCdHk1eTe34
6,6,Duecentomila ore,Ana Mena,4,1957788,-0.16%,https://www.youtube.com/watch?v=vi8XYHIou7c
7,5,O Forse Sei Tu,Elisa,4,1927852,-0.21%,https://www.youtube.com/watch?v=0vrbQcOiq-k
8,31,Tu Comm'a Mme,Gianni Celeste,3,1768217,1.12%,https://www.youtube.com/watch?v=P7q8xSvxKPI
9,33,We Don't Talk About Bruno,Angelica Hale,8,1614438,0.95%,https://www.youtube.com/watch?v=0L2FMgvtVVg
10,8,Apri tutte le porte,Gianni Morandi,4,1514859,-0.14%,https://www.youtube.com/watch?v=CCQIGH6dl9U
11,9,LA CODA DEL DIAVOLO,Rkomi & Elodie,12,1499109,-0.1%,https://www.youtube.com/watch?v=0kdY-4kaJKo
12,11,Ogni Volta È Così (Live),Emma,4,1428625,-0.06%,n/a
13,10,Virale,Matteo Romano,3,1191118,-0.22%,https://www.youtube.com/watch?v=ciUEwnSbry8
14,12,INSUPERABILE,Rkomi,4,1181037,-0.21%,https://www.youtube.com/watch?v=tXeh4PZBgY0
15,13,MI FAI IMPAZZIRE,BLANCO & Sfera Ebbasta,36,1135518,-0.19%,https://www.youtube.com/watch?v=FJNOkLCIg5Y
16,17,Pistole Nella Fendi,Niko Pandetta,6,1133022,-0.06%,https://www.youtube.com/watch?v=IMhEIjGBs1Y
17,19,Mi Fiderò (feat. Madame),Marco Mengoni,11,1117327,-0.03%,https://www.youtube.com/watch?v=hfC__TAl8YA
18,n/a,Mama I’m a Criminal,Paky,1,1112489,n/a,https://www.youtube.com/watch?v=Iep6KOcAxYY
19,15,Finché Non Mi Seppelliscono,BLANCO,24,1089543,-0.2%,https://www.youtube.com/watch?v=7p09c3GgF4A
20,16,Sei tu,Fabrizio Moro,4,1078183,-0.2%,https://www.youtube.com/watch?v=dS5mn2tZX4Y
21,38,Pensando a lei,Shiva,2,1050487,0.52%,https://www.youtube.com/watch?v=PbP_-Xs0Di8
22,18,Perfetta Così,Aka 7even,3,1050326,-0.13%,https://www.youtube.com/watch?v=xmJiSoIOfyU
23,14,Chimica,Ditonellapiaga & Donatella Rettore,3,962645,-0.29%,https://www.youtube.com/watch?v=2rsteQ4OdLE
24,27,malibu,Sangiovanni,41,957298,0.02%,https://www.youtube.com/watch?v=R24b7p8HuWo
25,20,SESSO OCCASIONALE,Tananai,3,939616,-0.17%,https://www.youtube.com/watch?v=6CMMrUn9zPY
