Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Soldi,Mahmood,3,9121441,-0.23%,https://www.youtube.com/watch?v=22lISUXgSUw
2,2,I Tuoi Particolari,Ultimo,4,4377496,-0.23%,https://www.youtube.com/watch?v=q2izsbwDEsk
3,3,LA RAGAZZA CON IL CUORE DI LATTA,Irama,4,4121047,-0.13%,https://www.youtube.com/watch?v=ov3pyu9hWio
4,4,Per Un Milione,Boomdabash,3,3529359,0.07%,https://www.youtube.com/watch?v=fL1rrLus1_8
5,6,Calma (Remix),Pedro Capó & Alan Walker & Farruko,11,3173132,0.12%,https://www.youtube.com/watch?v=YS2RmyES-GU
6,10,Con Calma,Daddy Yankee & Snow,5,3097098,0.75%,https://www.youtube.com/watch?v=DiItGE3eAyQ
7,23,Shallow,Lady Gaga & Bradley Cooper,22,2859250,1.27%,https://www.youtube.com/watch?v=bo_efYhYU2A
8,5,Cosa ti aspetti da me,Loredana Berté,4,2646947,-0.16%,https://www.youtube.com/watch?v=ss3NhlKY86M
9,n/a,Fateme Cantà,Ultimo,1,2614677,n/a,https://www.youtube.com/watch?v=B_QoSCiRvtY
10,7,Senza Farlo Apposta,Shade & Federica Carta,2,2342716,-0.09%,https://www.youtube.com/watch?v=QpzrjD_fOUw
11,9,Sweet but Psycho,Ava Max,8,2219555,0.09%,https://www.youtube.com/watch?v=WXBHCQYxwr0
12,8,Hola (I Say) (feat. Tom Walker),Marco Mengoni,12,1996166,-0.08%,https://www.youtube.com/watch?v=qBnffe5-WOE
13,12,D'estate non vale (feat. Ana Mena),Fred De Palma,36,1685794,-0.03%,https://www.youtube.com/watch?v=xj4ADZhEfJo
14,11,È sempre bello,Coez,7,1641971,-0.05%,https://www.youtube.com/watch?v=MNWpYoR0HLw
15,n/a,Musica che resta,Il Volo,3,1473394,n/a,https://www.youtube.com/watch?v=6NaPnoAIPSM
16,16,Per Le Strade Una Canzone (feat. Luis Fonsi),Eros Ramazzotti,6,1459669,0%,https://www.youtube.com/watch?v=mYc9jSdhwMw
17,15,Da zero a cento,Baby K,36,1426076,-0.03%,https://www.youtube.com/watch?v=XzuV0_cot-g
18,19,Amore e Capoeira (feat. Giusy Ferreri & Sean Kingston),Takagi & Ketra,37,1385817,0%,https://www.youtube.com/watch?v=N4pqF-hwFM4
19,21,Nera,Irama,35,1317878,-0.01%,https://www.youtube.com/watch?v=ZSLewGyjhiw
20,14,Ti dedico il silenzio,Ultimo,11,1310837,-0.15%,https://www.youtube.com/watch?v=vUXmB4-HYUI
21,20,Torna a casa,Måneskin,22,1267798,-0.08%,https://www.youtube.com/watch?v=ZZjnfWx0cvw
22,13,Rolls Royce,Achille Lauro,4,1225136,-0.25%,https://www.youtube.com/watch?v=uS8Hk8aoLZY
23,18,Nonno Hollywood,Enrico Nigiotti,3,1196144,-0.14%,https://www.youtube.com/watch?v=qX0Zee7f6u8
24,26,Anche Fragile,Elisa,6,1158891,0.08%,https://www.youtube.com/watch?v=fxzonH9rDw4
25,n/a,Anche se non trappo,Dj Matrix & Amedeo Preziosi & Gabry Ponte,1,1129397,n/a,https://www.youtube.com/watch?v=2jeFx0GjhjM
