Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,2,SUPEREROI,Mr. Rain,8,4585894,-0.11%,https://www.youtube.com/watch?v=uuVBNyn3ZB8
2,1,Due Vite,Marco Mengoni,8,4334118,-0.16%,https://www.youtube.com/watch?v=_iS4STWKSvk
3,3,CENERE,Lazza,8,4278245,-0.07%,https://www.youtube.com/watch?v=A5ab7U9RVLE
4,5,TANGO,Tananai,8,2468126,-0.07%,https://www.youtube.com/watch?v=C7ckx1gbDH0
5,4,ORIGAMI ALL'ALBA - MATTEO & LOLLOFLOW,Matteo Paolillo - Icaro & Lolloflow,5,2096844,-0.29%,https://www.youtube.com/watch?v=P-ZJLJCv0xs
6,6,‘O Mar For (feat. Lolloflow Icaro & Raiz),Stefano Lentini,7,1763250,-0.17%,https://www.youtube.com/watch?v=1TE3uEJL4s4
7,10,Gelosa (feat. Shiva Sfera Ebbasta & Guè),Finesse,5,1746321,0.07%,https://www.youtube.com/watch?v=oBS25dk7asc
8,8,Bellissima,Annalisa,30,1634118,-0.06%,https://www.youtube.com/watch?v=qz88Dx-_lA4
9,11,COME VUOI,Geolier,12,1559026,-0.05%,https://www.youtube.com/watch?v=aL0dOoLpf7M
10,7,IL BENE NEL MALE,Madame,8,1556516,-0.12%,https://www.youtube.com/watch?v=Nq-u9jV1uEg
11,9,MADE IN ITALY,Rosa Chemical & Bdope,8,1477263,-0.15%,https://www.youtube.com/watch?v=UQuoY73tUsw
12,n/a,BOSS,Tony Effe,1,1455451,n/a,https://www.youtube.com/watch?v=3cn6wQaLkeQ
13,12,Flowers,Miley Cyrus,11,1403341,-0.12%,https://www.youtube.com/watch?v=G7KNmW9a75Y
14,14,Caramello,Rocco Hunt & Elettra Lamborghini & Lola Indigo,41,1331126,0.04%,https://www.youtube.com/watch?v=uivZrg8xEVI
15,13,SHAKIRA,Bizarrap & Shakira,12,1304999,-0.02%,https://www.youtube.com/watch?v=CocEMWdc7Ck
16,15,Cookies N' Cream,Guè & ANNA & Sfera Ebbasta,11,1079049,-0.04%,https://www.youtube.com/watch?v=z_D_SP5YGh0
17,16,X CASO (feat. Sfera Ebbasta),Geolier,12,1038070,-0.07%,https://www.youtube.com/watch?v=UXinTUVyTMo
18,17,Non lo Sai,Shiva,18,996664,-0.07%,https://www.youtube.com/watch?v=gbcYVcAaIIc
19,18,Quevedo: Bzrp Music Sessions Vol. 52,Bizarrap & Quevedo,32,992580,-0.06%,https://www.youtube.com/watch?v=A_g3lMcWVy0
20,20,Arai (feat. Capo Plaza),Medy,11,934296,-0.06%,https://www.youtube.com/watch?v=K1B81jBIFAY
21,19,Due (Live),Elodie,8,911957,-0.09%,https://www.youtube.com/watch?v=T89rimi2Q8A
22,24,Un Altro Show (feat. Geolier),Shiva,18,822070,-0.02%,https://www.youtube.com/watch?v=6hhcvuPCpbQ
23,23,TQG,KAROL G & Shakira,5,753518,-0.12%,https://www.youtube.com/watch?v=jZGpkLElSu8
24,22,Furore,Paola & Chiara,8,715190,-0.17%,https://www.youtube.com/watch?v=sO03mSDTBVo
25,26,L'ADDIO,Coma_Cose,8,706515,-0.1%,https://www.youtube.com/watch?v=xKUH-NKtMJY
26,41,Calm Down,Rema & Selena Gomez,33,676281,0.2%,https://www.youtube.com/watch?v=WcIcVapfqXw
27,28,L'Isola Delle Rose,BLANCO,9,664266,-0.11%,https://www.youtube.com/watch?v=g2647z7McDE
28,27,Tropicana,Boomdabash & Annalisa,42,659312,-0.12%,https://www.youtube.com/watch?v=qo9UmHJH0Mo
29,33,ME STAJE APPENNENN' AMÒ,LIBERATO,22,623563,-0.03%,https://www.youtube.com/watch?v=8pFwPKNDF6E
30,31,Splash,Colapesce & Dimartino,8,618867,-0.05%,https://www.youtube.com/watch?v=xcFgzAJnG8A
31,30,Se poi domani,LDA,7,617803,-0.11%,https://www.youtube.com/watch?v=Sjva6lAHZbw
32,29,Alba,Ultimo,8,602408,-0.15%,https://www.youtube.com/watch?v=YFTqKB7STUw
33,38,Heaven,Boomdabash & Eiffel 65,16,601809,-0.02%,https://www.youtube.com/watch?v=zIy_SsdPxCk
34,32,THE LONELIEST,Måneskin,25,589284,-0.09%,https://www.youtube.com/watch?v=odWKEfp2QMY
35,34,CHIAGNE (feat. Lazza & Takagi & Ketra),Geolier,22,571864,-0.1%,https://www.youtube.com/watch?v=LvXWeSPruHM
36,n/a,BESO,ROSALÍA & Rauw Alejandro,1,560756,n/a,https://www.youtube.com/watch?v=QXQQAsIhHMw
37,35,Fantasmi (feat. Geolier),Rose Villain,10,555530,-0.11%,https://www.youtube.com/watch?v=C3kplnH34qY
38,37,Duemilaminuti (Live),Mara Sattei,8,554882,-0.1%,https://www.youtube.com/watch?v=ziqUXw7s-XA
39,25,Pelé,Rhove & Madfingerz,2,545813,-0.31%,https://www.youtube.com/watch?v=yTNPut79-40
40,39,Guasto D'Amore,Bresh & Shune,9,542559,-0.07%,https://www.youtube.com/watch?v=1U3A1tD3GeA
41,40,ABISSALE,Tananai,24,529407,-0.06%,https://www.youtube.com/watch?v=KbLgYUBnki0
42,45,LA DOLCE VITA,Fedez & Tananai & Mara Sattei,42,521961,0.04%,https://www.youtube.com/watch?v=TX_csdgqhxA
43,42,Il Doc 3 (feat. MamboLosco),VillaBanks & Linch & Andry The Hitmaker,7,516843,-0.03%,https://www.youtube.com/watch?v=xemHyHlQ37w
44,46,Extasi,Fred De Palma,41,515516,0.04%,https://www.youtube.com/watch?v=5EwGemMdwzY
45,21,Dimmi Che C'è (feat. Tedua),thasup,2,502801,-0.45%,https://www.youtube.com/watch?v=uPeznfsvDW8
46,43,MONDAY,Geolier,10,500252,-0.05%,https://www.youtube.com/watch?v=Hk3Syf0Lk98
47,44,SIMPLY THE BEST,Black Eyed Peas & Anitta & El Alfa,17,485821,-0.06%,https://www.youtube.com/watch?v=AbNOhZ1rsG8
48,58,YAMAMAY,Niky Savage,4,440467,0.11%,https://www.youtube.com/watch?v=Zig9x7TRQTE
49,48,ME VULEV FA RUOSS,Geolier,12,437391,-0.05%,https://www.youtube.com/watch?v=ZU6NpUv7JwA
50,36,NEW YORK,Rondodasosa & Nko,3,424878,-0.31%,https://www.youtube.com/watch?v=q_AZFsZ_Ku0
51,51,Mollami Pt.2,Guè,11,411062,-0.04%,https://www.youtube.com/watch?v=ab4PdCyqbTI
52,65,Ghosts Again,Depeche Mode,7,390541,0.24%,https://www.youtube.com/watch?v=iIyrLRixMs8
53,55,Tic toc [Non è andata così],Stefano Lentini,6,389224,-0.04%,https://www.youtube.com/watch?v=ArKSWe3rMMY
54,53,Ddoje mane (feat. Raiz),Stefano Lentini,8,385981,-0.08%,https://www.youtube.com/watch?v=mhsr-nnkyyQ
55,52,MARE DI GUAI,Ariete,8,380358,-0.11%,https://www.youtube.com/watch?v=hHFqqCMEf2U
56,n/a,La Bachata,Manuel Turizo,22,372928,n/a,https://www.youtube.com/watch?v=TiM_TFpT_DE
57,57,A L I,Irama,18,372124,-0.08%,https://www.youtube.com/watch?v=stS1S04rBFA
58,60,Shawty (feat. ANNA),Yung Snapp,9,364515,0.04%,https://www.youtube.com/watch?v=g7p3fCVbAb8
59,59,HOE + HARD (feat. Tony Effe),Icy Subzero,4,344034,-0.13%,https://www.youtube.com/watch?v=DrtrNklfbq8
60,56,MOSTRO,gIANMARIA,7,333342,-0.17%,https://www.youtube.com/watch?v=KnP3beN3vuE
61,n/a,Viaggio Intorno Al Sole,Tommaso Paradiso,1,329258,n/a,https://www.youtube.com/watch?v=RVEPmTbgcfQ
62,63,Diamanti,Negramaro & Elisa & Jovanotti,2,322827,-0.05%,https://www.youtube.com/watch?v=q23_RaTCJtI
63,66,Alleluia (feat. Sfera Ebbasta),Shiva,18,319636,0.02%,https://www.youtube.com/watch?v=nZdNV5PnZws
64,64,Bloody Mary,Lady Gaga,16,300428,-0.06%,https://www.youtube.com/watch?v=VFwmKL5OL-Q
65,67,MONEY,Geolier,19,296343,0%,https://www.youtube.com/watch?v=MVEVhtoYBxE
66,n/a,Avanti,Neima Ezza & 2nd Roof,1,287125,n/a,https://www.youtube.com/watch?v=blwEfTqAWrE
67,68,GOSSIP (feat. Tom Morello),Måneskin,11,279268,-0.02%,https://www.youtube.com/watch?v=XrsbfrFPATs
68,75,Circle of Life,Carmen Twillie & Lebo M,9,277348,0.06%,https://www.youtube.com/watch?v=XuQoLC3iDj4
69,n/a,Mockingbird,Eminem,21,268424,n/a,https://www.youtube.com/watch?v=S9bCLPwzSC0
70,78,Un buon inizio,Laura Pausini,3,261345,0.02%,https://www.youtube.com/watch?v=8yFE2joDRHM
71,70,Lasciami,Modà,8,259777,-0.08%,https://www.youtube.com/watch?v=EQavU_xpMrA
72,71,IMPORTANTE,Marracash,16,258071,-0.08%,https://www.youtube.com/watch?v=tTaEfEyEGrQ
73,83,TU T'E SCURDAT' 'E ME,Liberato,20,257702,0.03%,https://www.youtube.com/watch?v=AWQcDlHoE4o
74,n/a,ENERGY,ANNA,1,255431,n/a,https://www.youtube.com/watch?v=2RSsRfcU7Ac
