Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,SUPEREROI,Mr. Rain,9,3973557,-0.13%,https://www.youtube.com/watch?v=uuVBNyn3ZB8
2,3,CENERE,Lazza,9,3934165,-0.08%,https://www.youtube.com/watch?v=A5ab7U9RVLE
3,2,Due Vite,Marco Mengoni,9,3907051,-0.1%,https://www.youtube.com/watch?v=_iS4STWKSvk
4,5,ORIGAMI ALL'ALBA - MATTEO & LOLLOFLOW,Matteo Paolillo - Icaro & Lolloflow,6,2414033,0.15%,https://www.youtube.com/watch?v=P-ZJLJCv0xs
5,4,TANGO,Tananai,9,2212042,-0.1%,https://www.youtube.com/watch?v=C7ckx1gbDH0
6,7,Gelosa (feat. Shiva Sfera Ebbasta & Guè),Finesse,6,1789007,0.02%,https://www.youtube.com/watch?v=oBS25dk7asc
7,8,Bellissima,Annalisa,31,1582587,-0.03%,https://www.youtube.com/watch?v=qz88Dx-_lA4
8,6,‘O Mar For (feat. Lolloflow Icaro & Raiz),Stefano Lentini,8,1553840,-0.12%,https://www.youtube.com/watch?v=1TE3uEJL4s4
9,12,BOSS,Tony Effe,2,1477563,0.02%,https://www.youtube.com/watch?v=3cn6wQaLkeQ
10,9,COME VUOI,Geolier,13,1448522,-0.07%,https://www.youtube.com/watch?v=aL0dOoLpf7M
11,10,IL BENE NEL MALE,Madame,9,1427098,-0.08%,https://www.youtube.com/watch?v=Nq-u9jV1uEg
12,13,Flowers,Miley Cyrus,12,1356127,-0.03%,https://www.youtube.com/watch?v=G7KNmW9a75Y
13,11,MADE IN ITALY,Rosa Chemical & Bdope,9,1307511,-0.11%,https://www.youtube.com/watch?v=UQuoY73tUsw
14,n/a,Mon Amour,Annalisa,1,1302304,n/a,https://www.youtube.com/watch?v=RzyD08-w-tk
15,15,SHAKIRA,Bizarrap & Shakira,13,1280579,-0.02%,https://www.youtube.com/watch?v=CocEMWdc7Ck
16,14,Caramello,Rocco Hunt & Elettra Lamborghini & Lola Indigo,42,1238275,-0.07%,https://www.youtube.com/watch?v=uivZrg8xEVI
17,17,X CASO (feat. Sfera Ebbasta),Geolier,13,1073189,0.03%,https://www.youtube.com/watch?v=UXinTUVyTMo
18,16,Cookies N' Cream,Guè & ANNA & Sfera Ebbasta,12,1051454,-0.03%,https://www.youtube.com/watch?v=z_D_SP5YGh0
19,18,Non lo Sai,Shiva,19,1032834,0.04%,https://www.youtube.com/watch?v=gbcYVcAaIIc
20,20,Arai (feat. Capo Plaza),Medy,12,927016,-0.01%,https://www.youtube.com/watch?v=K1B81jBIFAY
21,19,Quevedo: Bzrp Music Sessions Vol. 52,Bizarrap & Quevedo,33,924505,-0.07%,https://www.youtube.com/watch?v=A_g3lMcWVy0
22,22,Un Altro Show (feat. Geolier),Shiva,19,842586,0.02%,https://www.youtube.com/watch?v=6hhcvuPCpbQ
23,23,TQG,KAROL G & Shakira,6,763355,0.01%,https://www.youtube.com/watch?v=jZGpkLElSu8
24,21,Due (Live),Elodie,9,752078,-0.18%,https://www.youtube.com/watch?v=T89rimi2Q8A
25,24,Furore,Paola & Chiara,9,718283,0%,https://www.youtube.com/watch?v=sO03mSDTBVo
26,n/a,Non litighiamo più,Rocco Hunt,1,706038,n/a,https://www.youtube.com/watch?v=iFdDoAfamJY
27,28,Tropicana,Boomdabash & Annalisa,43,655328,-0.01%,https://www.youtube.com/watch?v=qo9UmHJH0Mo
28,n/a,ZONDA,Lazza,1,636230,n/a,https://www.youtube.com/watch?v=9J3iG6fV5B8
29,25,L'ADDIO,Coma_Cose,9,617625,-0.13%,https://www.youtube.com/watch?v=xKUH-NKtMJY
30,34,THE LONELIEST,Måneskin,26,607728,0.03%,https://www.youtube.com/watch?v=odWKEfp2QMY
31,26,Calm Down,Rema & Selena Gomez,34,606135,-0.1%,https://www.youtube.com/watch?v=WcIcVapfqXw
32,79,Malatìa,Ciccio Merolla,2,601149,1.54%,https://www.youtube.com/watch?v=XDBoDmrLXR8
33,27,L'Isola Delle Rose,BLANCO,10,588649,-0.11%,https://www.youtube.com/watch?v=g2647z7McDE
34,40,Guasto D'Amore,Bresh & Shune,10,576356,0.06%,https://www.youtube.com/watch?v=1U3A1tD3GeA
35,30,Splash,Colapesce & Dimartino,9,554789,-0.1%,https://www.youtube.com/watch?v=xcFgzAJnG8A
36,35,CHIAGNE (feat. Lazza & Takagi & Ketra),Geolier,23,547420,-0.04%,https://www.youtube.com/watch?v=LvXWeSPruHM
37,33,Heaven,Boomdabash & Eiffel 65,17,547200,-0.09%,https://www.youtube.com/watch?v=zIy_SsdPxCk
