Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,3,Calma (Remix),Pedro Capó & Alan Walker & Farruko,16,4847723,0.07%,https://www.youtube.com/watch?v=YS2RmyES-GU
2,1,Con Calma,Daddy Yankee & Snow,10,4367236,-0.1%,https://www.youtube.com/watch?v=DiItGE3eAyQ
3,4,Per Un Milione,Boomdabash,8,3854823,-0.11%,https://www.youtube.com/watch?v=fL1rrLus1_8
4,2,Soldi,Mahmood,8,3798191,-0.2%,https://www.youtube.com/watch?v=22lISUXgSUw
5,5,Mademoiselle,Sfera Ebbasta,4,2104252,-0.15%,https://www.youtube.com/watch?v=6hIEt2r4FrY
6,10,Senza Farlo Apposta,Shade & Federica Carta,7,2026764,0.09%,https://www.youtube.com/watch?v=QpzrjD_fOUw
7,6,I Tuoi Particolari,Ultimo,9,2024452,-0.13%,https://www.youtube.com/watch?v=q2izsbwDEsk
8,7,Sweet but Psycho,Ava Max,13,1847385,-0.15%,https://www.youtube.com/watch?v=WXBHCQYxwr0
9,8,Shallow,Lady Gaga & Bradley Cooper,27,1674176,-0.16%,https://www.youtube.com/watch?v=bo_efYhYU2A
10,15,HP,Maluma,5,1597042,0.02%,https://www.youtube.com/watch?v=iMEhjsiHbwM
11,12,È sempre bello,Coez,12,1596464,-0.01%,https://www.youtube.com/watch?v=MNWpYoR0HLw
12,11,Cosa ti aspetti da me,Loredana Berté,9,1531817,-0.17%,https://www.youtube.com/watch?v=ss3NhlKY86M
13,14,La Luna e la Gatta (feat. Tommaso Paradiso Jovanotti & Calcutta),Takagi & Ketra,5,1499680,-0.05%,https://www.youtube.com/watch?v=UOGIB04HfVw
14,9,LA RAGAZZA CON IL CUORE DI LATTA,Irama,9,1441106,-0.23%,https://www.youtube.com/watch?v=ov3pyu9hWio
15,13,Anche Fragile,Elisa,11,1437514,-0.11%,https://www.youtube.com/watch?v=fxzonH9rDw4
16,n/a,Ti Amo Amore Mio,Tony Colombo,1,1371038,n/a,https://www.youtube.com/watch?v=Uoom_QmYX0I
17,17,D'estate non vale (feat. Ana Mena),Fred De Palma,41,1255689,-0.07%,https://www.youtube.com/watch?v=xj4ADZhEfJo
18,16,Torna a casa,Måneskin,27,1247809,-0.11%,https://www.youtube.com/watch?v=ZZjnfWx0cvw
19,19,Amore e Capoeira (feat. Giusy Ferreri & Sean Kingston),Takagi & Ketra,42,1237836,-0.06%,https://www.youtube.com/watch?v=N4pqF-hwFM4
20,21,Nera,Irama,40,1193509,-0.02%,https://www.youtube.com/watch?v=ZSLewGyjhiw
21,20,Da zero a cento,Baby K,41,1192666,-0.08%,https://www.youtube.com/watch?v=XzuV0_cot-g
22,22,Per Le Strade Una Canzone (feat. Luis Fonsi),Eros Ramazzotti,11,1096928,-0.09%,https://www.youtube.com/watch?v=mYc9jSdhwMw
