Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,71,Fai Rumore,Diodato,2,5911076,13.91%,https://www.youtube.com/watch?v=tPv9ZPXmFWU
2,66,Viceversa,Francesco Gabbani,2,4374814,9.46%,https://www.youtube.com/watch?v=cNoylMSXYcE
3,27,Musica (E Il Resto Scompare),Elettra Lamborghini,2,3999486,4.53%,https://www.youtube.com/watch?v=-8B-msCuuFA
4,68,Dov'è,Le Vibrazioni,2,3584682,7.73%,https://www.youtube.com/watch?v=ffC3eV4V8L0
5,24,Andromeda,Elodie,2,3246148,2.93%,https://www.youtube.com/watch?v=esgGK28jKVk
6,1,Dance Monkey,Tones and I,22,3027894,-0.12%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
7,2,Una volta ancora (feat. Ana Mena),Fred De Palma,36,2596536,-0.07%,https://www.youtube.com/watch?v=4R5mDpIgwUs
8,82,Per sentirmi vivo,Fasma & G.G.,5,2557498,6.44%,https://www.youtube.com/watch?v=T-sWpqN2yo8
9,78,Ringo Starr,Pinguini Tattici Nucleari,2,2238319,5.04%,https://www.youtube.com/watch?v=J3n4CrZxu3g
10,5,Rapide,Mahmood,4,2209684,0.35%,https://www.youtube.com/watch?v=ChJ57Av10Mw
11,3,Ti Volevo Dedicare,Rocco Hunt & Omar Montes & Reik,24,2116403,-0.1%,https://www.youtube.com/watch?v=kFF2i6sUj1M
12,4,La Vendetta del Signor S,Me contro Te,11,1709465,-0.08%,https://www.youtube.com/watch?v=xb9-k46AB3s
13,n/a,Tikibombom,Levante,1,1635893,n/a,https://www.youtube.com/watch?v=MlofRex31rg
14,7,Boogieman (feat. Salmo),Ghali,4,1545312,0.05%,https://www.youtube.com/watch?v=-7lqGbIE3aM
15,9,DOVE E QUANDO,Benji & Fede,37,1347012,-0.06%,https://www.youtube.com/watch?v=4QhyYngmW0I
16,n/a,Sincero,Bugo & Morgan,1,1298642,n/a,https://www.youtube.com/watch?v=i8kBWDgW3nk
