Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Viceversa,Francesco Gabbani,7,3671883,-0.01%,https://www.youtube.com/watch?v=cNoylMSXYcE
2,3,Musica (E Il Resto Scompare),Elettra Lamborghini,7,2995345,-0.08%,https://www.youtube.com/watch?v=-8B-msCuuFA
3,4,Fai Rumore,Diodato,7,2856380,0%,https://www.youtube.com/watch?v=tPv9ZPXmFWU
4,6,Dance Monkey,Tones and I,27,2601188,0.12%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
5,8,Una volta ancora (feat. Ana Mena),Fred De Palma,41,2598397,0.21%,https://www.youtube.com/watch?v=4R5mDpIgwUs
6,2,Bando,ANNA,5,2521507,-0.24%,n/a
7,5,,Mahmood,9,2515245,-0.07%,https://www.youtube.com/watch?v=ChJ57Av10Mw
8,37,blun7 a swishland,thasup,19,2338591,2.04%,https://www.youtube.com/watch?v=N3qxFptQbVA
9,7,Good Times,Ghali,4,2109329,-0.09%,https://www.youtube.com/watch?v=w2KZGGkvLe8
10,12,Ti Volevo Dedicare,Rocco Hunt & Omar Montes & Reik,29,2058879,0.18%,https://www.youtube.com/watch?v=kFF2i6sUj1M
11,9,Per sentirmi vivo,Fasma & G.G.,10,1787789,-0.1%,https://www.youtube.com/watch?v=T-sWpqN2yo8
12,11,Ringo Starr,Pinguini Tattici Nucleari,7,1687217,-0.06%,https://www.youtube.com/watch?v=J3n4CrZxu3g
13,n/a,Abbracciame,Andrea Sannino,25,1664081,n/a,https://www.youtube.com/watch?v=ziBga4SbRX4
14,14,DOVE E QUANDO,Benji & Fede,42,1613483,0.15%,https://www.youtube.com/watch?v=4QhyYngmW0I
15,10,Boogieman (feat. Salmo),Ghali,9,1537374,-0.16%,https://www.youtube.com/watch?v=-7lqGbIE3aM
16,17,Snitch E Impicci,DrefGold & FSK SATELLITE,3,1308050,-0.04%,https://www.youtube.com/watch?v=9NSf6dfnOCw
17,15,Andromeda,Elodie,7,1299387,-0.06%,https://www.youtube.com/watch?v=esgGK28jKVk
18,16,Danza (feat. Marco Calone & Pino Franzese),Niko Pandetta,3,1292608,-0.07%,https://www.youtube.com/watch?v=Jhb9ibvygZ8
19,13,Fuego,Neves17 & Geolier & Lele Blade,7,1256225,-0.19%,https://www.youtube.com/watch?v=gh3CcAKwsWM
20,43,TUTTO QUESTO SEI TU,Ultimo,13,1228155,0.7%,https://www.youtube.com/watch?v=iDinXwBsQDM
21,22,Margarita,Elodie & Marracash,40,1215747,0.14%,https://www.youtube.com/watch?v=xgnPeROggH4
22,19,La Mia Hit (feat. Max Pezzali),J-Ax,10,1187198,0.05%,https://www.youtube.com/watch?v=VZpX7WkHnj4
23,n/a,Ma il cielo è sempre più blu,Rino Gaetano,1,1112875,n/a,https://www.youtube.com/watch?v=qbFZjNzwUEI
24,21,Stu core t'apparten,Rocco Hunt,10,1102259,0%,https://www.youtube.com/watch?v=AN4fJ87ldHI
25,18,Tikibombom,Levante,6,1089639,-0.1%,https://www.youtube.com/watch?v=MlofRex31rg
26,23,Queen,Marta Daddato,3,1086823,0.02%,https://www.youtube.com/watch?v=NelFsIfaRU0
27,28,RITMO (Bad Boys for Life),Black Eyed Peas & J Balvin,23,1064165,0.2%,https://www.youtube.com/watch?v=EzKkl64rRbM
28,20,La Vendetta del Signor S,Me contro Te,16,1013578,-0.09%,https://www.youtube.com/watch?v=xb9-k46AB3s
29,27,Barrio,Mahmood,29,1009693,0.07%,https://www.youtube.com/watch?v=7Fmpz-wIkPY
30,26,Blinding Lights,The Weeknd,11,1000802,0.01%,https://www.youtube.com/watch?v=4NRXx6U8ABQ
31,25,Dov'è,Le Vibrazioni,7,1000271,-0.01%,https://www.youtube.com/watch?v=ffC3eV4V8L0
32,31,ARROGANTE,Irama,43,977877,0.2%,https://www.youtube.com/watch?v=7x0Sm83tmHY
33,41,Non Avere Paura,Tommaso Paradiso,25,946085,0.25%,https://www.youtube.com/watch?v=C6sDLa9XO3U
34,38,JAMBO,Takagi & Ketra & OMI & Giusy Ferreri,43,935433,0.22%,https://www.youtube.com/watch?v=8OgCPfZXvnc
35,24,Vamos Pa La Banca (feat. Geolier & Lele Blade),Dat Boi Dee,3,930719,-0.11%,https://www.youtube.com/watch?v=AsqQROb6YfQ
36,n/a,Trip (feat. Nayt),Nicola Siciliano,1,908054,n/a,https://www.youtube.com/watch?v=BhdgdoysS1M
37,n/a,Fiori di Chernobyl,Mr. Rain,1,885660,n/a,https://www.youtube.com/watch?v=BATH_RQFt3Q
38,33,Tusa,KAROL G & Nicki Minaj,16,871725,0.11%,https://www.youtube.com/watch?v=tbneQDc2H3I
39,n/a,Buenos Aires,Baby K,1,826528,n/a,https://www.youtube.com/watch?v=7nRo-Qr9w4A
40,30,Allora ciao,Shade,10,785000,-0.1%,https://www.youtube.com/watch?v=9dmpUjW18MQ
41,47,Mambo Salentino,Boomdabash & Alessandra Amoroso,41,778443,0.2%,https://www.youtube.com/watch?v=i8qZ2Hif_eM
42,29,Sincero,Bugo & Morgan,6,763671,-0.14%,https://www.youtube.com/watch?v=i8kBWDgW3nk
43,36,Before You Go,Lewis Capaldi,9,748263,-0.04%,https://www.youtube.com/watch?v=Jtauh8GcxBY
44,32,Me Ne Frego,Achille Lauro,6,747488,-0.07%,https://www.youtube.com/watch?v=KN47Lv6xNRo
45,35,Magnifico difetto,Benji & Fede,13,736638,-0.06%,https://www.youtube.com/watch?v=DQA-DJ4Fuy4
46,39,Don't Start Now,Dua Lipa,20,726772,-0.04%,https://www.youtube.com/watch?v=oygrmJFKYZY
47,40,Pookie,Aya Nakamura,29,716719,-0.05%,https://www.youtube.com/watch?v=_bPa-VG0AWo
48,44,Gigante,Piero Pelù,6,699508,-0.02%,https://www.youtube.com/watch?v=tvSagoWzr9g
49,46,Il tuo profumo,Fred De Palma & Sofia Reyes,27,696156,0.05%,https://www.youtube.com/watch?v=9J7w4oGXRiY
50,34,Godzilla (feat. Juice WRLD),Eminem,4,667529,-0.15%,https://www.youtube.com/watch?v=r_0JjYUe5jo
51,n/a,Azzurro,Adriano Celentano,1,649432,n/a,https://www.youtube.com/watch?v=yc4lm3WOLig
52,n/a,Ostia Lido,J-Ax,31,594544,n/a,https://www.youtube.com/watch?v=5ukMB4kQ_hU
53,n/a,Que Calor (feat. J Balvin & El Alfa),Major Lazer,22,594272,n/a,https://www.youtube.com/watch?v=ZBBS4imv1qo
54,n/a,A mano a mano,Rino Gaetano,34,584892,n/a,https://www.youtube.com/watch?v=W6BnNa1J8gc
55,n/a,Piccola Stella,Ultimo,48,583110,n/a,https://www.youtube.com/watch?v=WovUGbBlzqA
56,42,Physical (feat. HWASA),Dua Lipa,5,581273,-0.23%,https://www.youtube.com/watch?v=L6nrMAFCzhg
57,n/a,Nata Vota (Remix),Niko Pandetta,22,562995,n/a,https://www.youtube.com/watch?v=0kgLP10i1lo
58,n/a,China,Anuel AA & KAROL G & Daddy Yankee & J Balvin & Ozuna,26,553417,n/a,https://www.youtube.com/watch?v=0VR3dfZf9Yg
59,55,Someone You Loved,Lewis Capaldi,2,552379,0.11%,https://www.youtube.com/watch?v=zABLecsR5UE
60,50,Amici Per Errore,Tiziano Ferro,5,544567,-0.1%,https://www.youtube.com/watch?v=82xQymR7-a4
61,48,Marymango (feat. thasup),Ghali,4,535875,-0.18%,https://www.youtube.com/watch?v=XfVgc7lA1ms
62,49,Me Gusta,Shakira & Anuel AA,7,521937,-0.18%,https://www.youtube.com/watch?v=mf-UJ32PJgU
63,51,CRUDELIA - I nervi,Marracash,20,513794,-0.09%,https://www.youtube.com/watch?v=h0OAYO6x2uA
64,n/a,Señorita,Shawn Mendes & Camila Cabello,34,508604,n/a,https://www.youtube.com/watch?v=Pkh8UtuejGw
65,45,NEON - Le Ali,Marracash,2,505336,-0.29%,https://www.youtube.com/watch?v=qGI3UBjs4dk
66,54,MALA SANTA,Becky G,10,504917,-0.01%,https://www.youtube.com/watch?v=w2Ro8cgsmss
67,52,ROXANNE,Arizona Zervas,15,494801,-0.1%,https://www.youtube.com/watch?v=16YnOUnbE6s
68,n/a,Playa,Baby K,34,475382,n/a,https://www.youtube.com/watch?v=n5wlmrA4hTs
69,58,Sei bella come Roma,DANDY TURNER,11,471480,-0.04%,https://www.youtube.com/watch?v=CwqeesyLB90
70,53,ANSIA NO,FSK SATELLITE,12,467266,-0.11%,https://www.youtube.com/watch?v=K_1A9uNZQXk
71,n/a,Calipso (with Dardust) (feat. Sfera Ebbasta Mahmood & Fabri Fibra),Charlie Charles,37,453215,n/a,https://www.youtube.com/watch?v=kb5S2zXMhOo
72,61,Falling,Trevor Daniel,16,437364,0.01%,https://www.youtube.com/watch?v=L7mfjvdnPno
73,69,Boss Bitch,Doja Cat,3,435897,0.23%,https://www.youtube.com/watch?v=RsW66teC0BQ
74,60,The Box,Roddy Ricch,4,434805,-0.01%,https://www.youtube.com/watch?v=UNZqm3dxd2w
75,56,Stupida Allegria,Emma,13,428004,-0.13%,https://www.youtube.com/watch?v=e92yJ7d3MT4
76,66,Vaseme,Niko Pandetta,14,424495,0.15%,https://www.youtube.com/watch?v=hfkcGZUzfRc
77,57,Luci Blu,Emma,2,399235,-0.19%,https://www.youtube.com/watch?v=tEBP7zA3D-I
78,86,Baila Conmigo (Instrumental),Gianmarco Play,15,398131,0.42%,https://www.youtube.com/watch?v=bOws7arB7IQ
79,n/a,Rondini al Guinzaglio,Ultimo,39,394903,n/a,https://www.youtube.com/watch?v=dIHWHuy0moY
80,81,Benvenuti In Italy,Rocco Hunt,20,380433,0.32%,https://www.youtube.com/watch?v=8EdqKkc7Uto
81,64,Yummy,Justin Bieber,11,379881,-0.03%,https://www.youtube.com/watch?v=8EJ3zbKTWQ8
