Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,2,Con Calma,Daddy Yankee & Snow,9,4827498,0.03%,https://www.youtube.com/watch?v=DiItGE3eAyQ
2,1,Soldi,Mahmood,7,4759097,-0.07%,https://www.youtube.com/watch?v=22lISUXgSUw
3,3,Calma (Remix),Pedro Capó & Alan Walker & Farruko,15,4510494,0.09%,https://www.youtube.com/watch?v=YS2RmyES-GU
4,4,Per Un Milione,Boomdabash,7,4323438,0.1%,https://www.youtube.com/watch?v=fL1rrLus1_8
5,5,Mademoiselle,Sfera Ebbasta,3,2484893,-0.2%,https://www.youtube.com/watch?v=6hIEt2r4FrY
6,6,I Tuoi Particolari,Ultimo,8,2322583,-0.01%,https://www.youtube.com/watch?v=q2izsbwDEsk
7,7,Sweet but Psycho,Ava Max,12,2164113,-0.06%,https://www.youtube.com/watch?v=WXBHCQYxwr0
8,8,Shallow,Lady Gaga & Bradley Cooper,26,1986113,-0.08%,https://www.youtube.com/watch?v=bo_efYhYU2A
9,10,LA RAGAZZA CON IL CUORE DI LATTA,Irama,8,1875192,-0.12%,https://www.youtube.com/watch?v=ov3pyu9hWio
10,11,Senza Farlo Apposta,Shade & Federica Carta,6,1859339,-0.03%,https://www.youtube.com/watch?v=QpzrjD_fOUw
11,9,Cosa ti aspetti da me,Loredana Berté,8,1851070,-0.13%,https://www.youtube.com/watch?v=ss3NhlKY86M
12,14,È sempre bello,Coez,11,1611083,0.02%,https://www.youtube.com/watch?v=MNWpYoR0HLw
13,12,Anche Fragile,Elisa,10,1610299,-0.05%,https://www.youtube.com/watch?v=fxzonH9rDw4
14,36,La Luna e la Gatta (feat. Tommaso Paradiso Jovanotti & Calcutta),Takagi & Ketra,4,1585759,1.11%,https://www.youtube.com/watch?v=UOGIB04HfVw
15,21,HP,Maluma,4,1570938,0.28%,https://www.youtube.com/watch?v=iMEhjsiHbwM
16,16,Torna a casa,Måneskin,26,1403710,-0.01%,https://www.youtube.com/watch?v=ZZjnfWx0cvw
17,15,D'estate non vale (feat. Ana Mena),Fred De Palma,40,1348296,-0.06%,https://www.youtube.com/watch?v=xj4ADZhEfJo
18,n/a,Como Te (feat. Emis Killa),Geolier,1,1341069,n/a,https://www.youtube.com/watch?v=CvTx1FSzW6U
19,18,Amore e Capoeira (feat. Giusy Ferreri & Sean Kingston),Takagi & Ketra,41,1310507,-0.01%,https://www.youtube.com/watch?v=N4pqF-hwFM4
20,17,Da zero a cento,Baby K,40,1301275,-0.06%,https://www.youtube.com/watch?v=XzuV0_cot-g
21,24,Nera,Irama,39,1217662,0.05%,https://www.youtube.com/watch?v=ZSLewGyjhiw
22,22,Per Le Strade Una Canzone (feat. Luis Fonsi),Eros Ramazzotti,10,1201768,0.02%,https://www.youtube.com/watch?v=mYc9jSdhwMw
23,25,Happier (feat. Bastille),Marshmello,25,1134949,-0.01%,https://www.youtube.com/watch?v=m7Bc3pLyij0
24,13,Hola (I Say) (feat. Tom Walker),Marco Mengoni,16,1130041,-0.33%,https://www.youtube.com/watch?v=qBnffe5-WOE
25,20,BAILA BAILA BAILA,Ozuna,12,1094566,-0.15%,https://www.youtube.com/watch?v=32F2d-wj4Xw
26,23,Taki Taki,DJ Snake,26,1083913,-0.08%,https://www.youtube.com/watch?v=ixkoVwKQaJg
27,19,I Love You,Ghali,2,1040302,-0.19%,https://www.youtube.com/watch?v=1oEy7y5WMv4
28,27,Ti dedico il silenzio,Ultimo,15,967452,-0.03%,https://www.youtube.com/watch?v=vUXmB4-HYUI
29,30,Bad Liar,Imagine Dragons,9,913498,0.13%,https://www.youtube.com/watch?v=I-QfPUz1es8
30,29,Giant,Calvin Harris & Rag'n'Bone Man,9,893723,0.07%,https://www.youtube.com/watch?v=ir6nk2zrMG0
31,28,Girls Like You (feat. Cardi B),Maroon 5,43,864502,-0.05%,https://www.youtube.com/watch?v=aJOTlE1K90k
32,26,Musica che resta,Il Volo,7,851541,-0.15%,https://www.youtube.com/watch?v=6NaPnoAIPSM
33,31,Happy Birthday,Sfera Ebbasta,17,750060,-0.07%,https://www.youtube.com/watch?v=JFOLJwOoorQ
34,34,7 rings,Ariana Grande,10,742258,-0.03%,https://www.youtube.com/watch?v=QYh6mYIJG2Y
35,49,Adán y Eva,Paulo Londra,9,735522,0.18%,https://www.youtube.com/watch?v=aSjflT_J0Xo
36,33,IL CIELO NELLA STANZA (feat. NSTASIA),Salmo,20,732718,-0.06%,https://www.youtube.com/watch?v=HbfFG15Xd9U
37,35,Dalla tua parte,Alessandra Amoroso,8,726691,-0.04%,https://www.youtube.com/watch?v=N1TO0j5jH68
38,37,Mía (feat. Drake),Bad Bunny,24,705294,-0.06%,https://www.youtube.com/watch?v=OSUxrSe5GbI
39,38,Stamm Fort (feat. Sfera Ebbasta),Luchè,10,672327,-0.05%,https://www.youtube.com/watch?v=UTCDcgQY328
40,48,High Hopes,Panic! At The Disco,15,664618,0.06%,https://www.youtube.com/watch?v=IPXIgEAGe4U
41,42,Aullando,Wisin & Yandel & Romeo Santos,5,661280,-0.02%,https://www.youtube.com/watch?v=-n9krkSb-ug
42,n/a,Bella bionda (feat. Daniele De Martino),Francesco D'Aleo,46,654256,n/a,https://www.youtube.com/watch?v=i-2TEee1OsQ
43,45,La stessa,Alessandra Amoroso,27,646558,0%,https://www.youtube.com/watch?v=iol7L98MksQ
44,41,Se Piovesse Il Tuo Nome,Elisa & Calcutta,26,645744,-0.05%,https://www.youtube.com/watch?v=fXTfsPGYRn0
45,44,Bohemian Rhapsody,Queen,20,645403,-0.01%,https://www.youtube.com/watch?v=fJ9rUzIMcZQ
46,40,Say My Name,David Guetta & Bebe Rexha & J Balvin,21,629808,-0.07%,https://www.youtube.com/watch?v=ft4jcPSLJfY
47,50,Ngopp' a luna (feat. Nicola Siciliano),Rocco Hunt,10,596158,-0.04%,https://www.youtube.com/watch?v=nP00H6XEVUA
48,43,Secreto,Anuel AA & Karol G,11,596144,-0.09%,https://www.youtube.com/watch?v=gFZfwWZV074
49,53,Posso (feat. Max Gazzè),Carl Brave,19,586210,0.02%,https://www.youtube.com/watch?v=0Txpx6D1K6Q
50,n/a,Te Bote Remix,Anuel AA & Nio Garcia & Darell & Casper Magico,45,584778,n/a,https://www.youtube.com/watch?v=9jI-z9QN6g8
51,58,Wow,Post Malone,3,579005,0.14%,https://www.youtube.com/watch?v=393C3pr2ioY
52,n/a,Merci,Carl Brave,1,571652,n/a,https://www.youtube.com/watch?v=ENFMd-SISlI
53,47,Rolls Royce,Achille Lauro,8,538492,-0.16%,https://www.youtube.com/watch?v=uS8Hk8aoLZY
54,32,Ho bisogno di credere,Fabrizio Moro,2,518358,-0.35%,https://www.youtube.com/watch?v=uedtrwR93dM
55,52,Billets (feat. Ninho),Capo Plaza,4,511910,-0.16%,https://www.youtube.com/watch?v=nb_y01aM0T4
56,51,Certe donne brillano,Ligabue,2,504473,-0.18%,https://www.youtube.com/watch?v=J8hwaYvneIo
57,59,Sally Walker,Iggy Azalea,2,495612,-0.02%,https://www.youtube.com/watch?v=2Gy8eGr7AfM
58,n/a,Cascare Nei Tuoi Occhi,Ultimo,25,481123,n/a,https://www.youtube.com/watch?v=BhKjcaWbJXQ
59,63,2% (feat. Frah Quintale),Guè,9,470652,0%,https://www.youtube.com/watch?v=-f35Ov8Lb5k
60,54,Nonno Hollywood,Enrico Nigiotti,7,466964,-0.13%,https://www.youtube.com/watch?v=qX0Zee7f6u8
61,56,Senza Di Me (feat. Venerus & Franco126),Gemitaiz,4,461091,-0.12%,https://www.youtube.com/watch?v=P2bNdwdvnaw
62,60,Mala (feat. Anuel AA),6ix9ine,15,457953,-0.07%,https://www.youtube.com/watch?v=mOvSub-yTRI
63,n/a,Mon Cheri (feat. Sfera Ebbasta),Rkomi,1,447162,n/a,https://www.youtube.com/watch?v=SZtvfYpZKiE
64,92,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,8,431071,0.4%,https://www.youtube.com/watch?v=A9hcJgtnm6Q
65,61,Ella Quiere Beber (Remix) (feat. Romeo Santos),Anuel AA,16,430851,-0.1%,https://www.youtube.com/watch?v=0w3XwPVxcsw
66,39,I Can't Get Enough,Benny Blanco & J Balvin & Selena Gomez & Tainy,3,428343,-0.39%,https://www.youtube.com/watch?v=Tztc73r8348
67,66,Dio benedica il reggaeton (feat. Baby K),Fred De Palma,2,423072,-0.02%,https://www.youtube.com/watch?v=QYOaaRzbIOg
68,71,Sunset Lover,Petit Biscuit,4,421000,0.04%,https://www.youtube.com/watch?v=5hALH-s6ZkA
69,n/a,Pensare Male (feat. Elodie),The Kolors,1,414951,n/a,https://www.youtube.com/watch?v=myrJ8th4Xgc
70,n/a,Dove Sei (feat. Giulia Jean),GionnyScandal,1,410191,n/a,https://www.youtube.com/watch?v=5gPA0nNnquU
71,82,Dancing With A Stranger,Sam Smith & Normani,7,396972,0.18%,https://www.youtube.com/watch?v=av5JD1dfj_c
72,n/a,Dame Tu Cosita (feat. Cutty Ranks),Pitbull & El Chombo & Karol G,21,394733,n/a,https://www.youtube.com/watch?v=FMN3AtsXqA0
73,n/a,Fuoco,Daniel & Astol,1,391529,n/a,https://www.youtube.com/watch?v=KziB0N7c6eI
74,73,Il coraggio di andare (feat. Biagio Antonacci),Laura Pausini,19,376493,-0.02%,https://www.youtube.com/watch?v=snR60ZXuaJc
75,n/a,A Un Paio Di Passi Dal Cuore,Alvis,1,372412,n/a,https://www.youtube.com/watch?v=zVq2-Y1MQCo
76,n/a,Que No Acabe,Yandel,1,371492,n/a,https://www.youtube.com/watch?v=28eN86bJLIc
77,72,Alone,Marshmello,8,370197,-0.05%,https://www.youtube.com/watch?v=ALZHF5UqnU4
78,69,I'll Never Love Again,Lady Gaga & Bradley Cooper,15,367268,-0.1%,https://www.youtube.com/watch?v=52nfjRzIaj8
79,70,Mi sento bene,Arisa,7,365262,-0.11%,https://www.youtube.com/watch?v=wVnXfZa7S8I
80,n/a,Troppi sguardi,DANDY TURNER,1,357319,n/a,https://www.youtube.com/watch?v=zHyoq6A8Qlc
81,64,365,Zedd & Katy Perry,6,353084,-0.24%,https://www.youtube.com/watch?v=YrbgUtCfnC0
82,74,Imposible,Luis Fonsi & Ozuna,15,352174,-0.08%,https://www.youtube.com/watch?v=De4FqIkvHX0
83,68,NI BIEN NI MAL,Bad Bunny,10,351847,-0.14%,https://www.youtube.com/watch?v=4oiZdbwxUuQ
84,n/a,In questa nostra casa nuova,Biagio Antonacci & Laura Pausini,1,349759,n/a,https://www.youtube.com/watch?v=w-VTMS4BoT4
85,57,L'urdema vota,Marco Calone,2,347254,-0.34%,https://www.youtube.com/watch?v=4nEnR0aDHH8
86,n/a,INTRO (feat. Bianca Atzei),J-Ax,21,343951,n/a,https://www.youtube.com/watch?v=X3olyGfqaUQ
87,83,Sogni appesi(Live),Ultimo,17,339798,0.01%,https://www.youtube.com/watch?v=WI54tFj3lmw
88,81,Na Na Na,Janax,2,339663,0%,https://www.youtube.com/watch?v=91UQgNq3Vpc
89,n/a,Gli occhi della tigre,Nayt,1,337812,n/a,https://www.youtube.com/watch?v=EA5z37jI_co
90,65,Fateme Cantà,Ultimo,5,337610,-0.24%,https://www.youtube.com/watch?v=B_QoSCiRvtY
91,84,Chiaro Di Luna,Jovanotti,19,330573,-0.01%,https://www.youtube.com/watch?v=Ro8PdDjKA3o
92,46,Donna Domani (feat. Chadia Rodriguez),Luna,2,329793,-0.49%,https://www.youtube.com/watch?v=mCIwmbPOcAo
93,n/a,Mamma,Anthony,1,323330,n/a,https://www.youtube.com/watch?v=K8TZp4isV7o
94,91,Without Me,Halsey,12,322134,0.05%,https://www.youtube.com/watch?v=ZAfAud_M_mg
95,79,Contra La Pared,J Balvin & Sean Paul,2,318706,-0.08%,https://www.youtube.com/watch?v=-gCe4WrmOIk
96,96,Limbo,Daddy Yankee,5,316098,0.07%,https://www.youtube.com/watch?v=6BTjG-dhf5s
97,77,Los Angeles,Luna,18,314374,-0.13%,https://www.youtube.com/watch?v=Z6jMFQC9Z1o
98,90,Love Me Like You Do,Ellie Goulding,11,311542,0.01%,https://www.youtube.com/watch?v=AJtDXIazrMo
99,97,Non Abbiamo Età,Luchè,11,311126,0.06%,https://www.youtube.com/watch?v=7YcCw2uOjSE
100,95,Just One Lifetime,Sting & Shaggy,2,307791,0.03%,https://www.youtube.com/watch?v=DNobqcfLb2Y
