Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,TUTA GOLD,Mahmood,7,5992281,-0.14%,https://www.youtube.com/watch?v=Pz168-XMNIk
2,2,Sinceramente,Annalisa,7,5176419,-0.17%,https://www.youtube.com/watch?v=NfEp5l0UMBE
3,3,I P’ ME TU P’ TE,Geolier,7,3544926,-0.11%,https://www.youtube.com/watch?v=qon1NJ6D3co
4,4,la noia,Angelina Mango,7,3301124,-0.16%,https://www.youtube.com/watch?v=psiytW9Or2s
5,5,Casa Mia,Ghali,7,2904769,-0.14%,https://www.youtube.com/watch?v=hdcIhDr2MG0
6,6,100 MESSAGGI,Lazza,4,2832732,-0.09%,https://www.youtube.com/watch?v=F7katA08VeA
7,8,Ma non tutta la vita,Ricchi e Poveri,7,2546815,-0.01%,https://www.youtube.com/watch?v=lhmB3KIXchA
8,7,UN RAGAZZO UNA RAGAZZA,The Kolors,7,2272243,-0.13%,https://www.youtube.com/watch?v=L6c_NhXeGYo
9,9,CLICK BOOM!,Rose Villain,7,1986484,-0.05%,https://www.youtube.com/watch?v=8mCBkGR_PRc
10,11,APNEA,Emma,7,1802255,-0.03%,https://www.youtube.com/watch?v=Jf5nOnCWicA
11,10,Tu No,Irama,7,1743537,-0.17%,https://www.youtube.com/watch?v=m7-hIpk6vNI
12,15,ADDO STAJE (Ride it RMX),Le-one & VTR,4,1372199,0.14%,https://www.youtube.com/watch?v=Zig8kbHaooU
13,12,Pazza,Loredana Berté,7,1365297,-0.13%,https://www.youtube.com/watch?v=RipSewkfsUg
14,47,COME UN TUONO (feat. Guè),Rose Villain,2,1290850,2.37%,https://www.youtube.com/watch?v=u-cx3TN7Sho
15,14,DIAMANTI GREZZI,CLARA  ,7,1249172,-0.06%,https://www.youtube.com/watch?v=XoeS9zTGFmg
16,13,Vai!,Alfa,7,1189748,-0.11%,https://www.youtube.com/watch?v=Z6X3K13EqQI
17,n/a,PILLOLE,Tony Effe & Sfera Ebbasta & Geolier,1,1088122,n/a,https://www.youtube.com/watch?v=NRtXx8LgyeU
18,16,Che t'o dico a fa',Angelina Mango,24,972716,-0.07%,https://www.youtube.com/watch?v=cHqS0XR8pns
19,26,Emirates,Geolier & Yung Boi,2,925399,0.39%,https://www.youtube.com/watch?v=m6OAobwNcCs
20,18,Capolavoro (Live),Il Volo,7,777142,-0.13%,https://www.youtube.com/watch?v=vJ4xWqJZWkY
21,n/a,HONEY,Tony Effe & Capo Plaza,1,771402,n/a,https://www.youtube.com/watch?v=JNuLpGzQCTM
22,22,ITALODISCO (Karaoke Version),The Kolors,45,740894,-0.07%,https://www.youtube.com/watch?v=3l9a1uvoIp0
23,17,La rondine,Angelina Mango,8,740760,-0.25%,https://www.youtube.com/watch?v=6hX-5NAp41I
24,20,DUE ALTALENE,Mr. Rain,7,733211,-0.1%,https://www.youtube.com/watch?v=S9jE_80Bnm8
25,25,VETRI NERI,AVA & ANNA & Capo Plaza,44,718647,0.06%,https://www.youtube.com/watch?v=2jCjNv1bscw
26,n/a,CARRARA,Tony Effe & SIMBA LA RUE,1,714884,n/a,https://www.youtube.com/watch?v=XQnvjK3rWAA
27,19,In Italia 2024 (feat. Baby Gang),Fabri Fibra,4,684236,-0.23%,https://www.youtube.com/watch?v=n3CEdEGrTug
28,21,Onda Alta,Dargen D'Amico,7,679979,-0.15%,https://www.youtube.com/watch?v=kgmlAjANbE4
29,30,Beautiful Things,Benson Boone,7,675454,0.1%,https://www.youtube.com/watch?v=Oa_RSwwpPaA
30,27,EVERYDAY (feat. Shiva ANNA & Geolier),Takagi & Ketra,23,629960,-0.01%,https://www.youtube.com/watch?v=KKMdXAAIIMA
31,31,PERSONALE,Mahmood & Geolier,2,610714,0.01%,https://www.youtube.com/watch?v=4JuHxZCu0xI
32,n/a,DOPO LE 4,Tony Effe & Bresh & Tedua,1,586734,n/a,https://www.youtube.com/watch?v=GispbsYsxEI
33,24,Fino a qui,Alessandra Amoroso,7,583714,-0.14%,https://www.youtube.com/watch?v=f8T7lJILPJo
34,28,Calcolatrici,Sfera Ebbasta & Geolier & SIMBA LA RUE,18,580652,-0.08%,https://www.youtube.com/watch?v=J_CVyGZp4Qs
35,32,Acqua Passata,Capo Plaza,2,569922,-0.06%,https://www.youtube.com/watch?v=xbgEiRC4Mzg
36,34,Ci pensiamo domani,Angelina Mango,45,569473,-0.02%,https://www.youtube.com/watch?v=sagx_4ioTEk
37,33,Mon Amour,Annalisa,51,567331,-0.04%,https://www.youtube.com/watch?v=RzyD08-w-tk
38,23,Mariposa (LIve),Fiorella Mannoia,7,565259,-0.22%,https://www.youtube.com/watch?v=TxESTffH9nw
39,36,Vulisse fa peccato (feat. Giusy Attanasio),Nando De Marco,14,533946,0.06%,https://www.youtube.com/watch?v=uiie1Jb9k-k
40,37,Plaza Freestyle,DJ Princex,11,510547,0.08%,https://www.youtube.com/watch?v=4siMuPDAp4c
41,38,ROSSOFUOCO,Mida,19,478228,0.04%,https://www.youtube.com/watch?v=0OFdrhcqdno
42,29,Eva,Kid Yugi & Tedua,3,451684,-0.26%,https://www.youtube.com/watch?v=mKvMFlBPin8
43,40,Lose Control (Live),Teddy Swims,9,440635,-0.01%,https://www.youtube.com/watch?v=GZ3zL7kT6_c
44,45,TORNERAI,Petit,2,434819,0.13%,https://www.youtube.com/watch?v=e9KBgD_FkPM
