Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Brividi,Mahmood & BLANCO,3,10500255,-0.55%,https://www.youtube.com/watch?v=MA_5P3u0apQ
2,2,Ovunque Sarai,Irama,3,6940017,-0.16%,https://www.youtube.com/watch?v=K4cPTgkYG9c
3,3,Ciao Ciao,La Rappresentante di Lista,3,4877586,-0.21%,https://www.youtube.com/watch?v=dxer4GwV1sc
4,7,farfalle,Sangiovanni,3,3313131,-0.08%,https://www.youtube.com/watch?v=75fwUd-lX_o
5,6,O Forse Sei Tu,Elisa,3,2454035,-0.35%,https://www.youtube.com/watch?v=0vrbQcOiq-k
6,4,Duecentomila ore,Ana Mena,3,2339715,-0.4%,https://www.youtube.com/watch?v=vi8XYHIou7c
7,9,Dove Si Balla,Dargen D'Amico,3,2187690,-0.01%,https://www.youtube.com/watch?v=rCdHk1eTe34
8,5,Apri tutte le porte,Gianni Morandi,3,1768783,-0.55%,https://www.youtube.com/watch?v=CCQIGH6dl9U
9,13,LA CODA DEL DIAVOLO,Rkomi & Elodie,11,1660197,-0.12%,https://www.youtube.com/watch?v=0kdY-4kaJKo
10,10,Virale,Matteo Romano,2,1533023,-0.29%,https://www.youtube.com/watch?v=ciUEwnSbry8
11,8,Ogni Volta È Così (Live),Emma,3,1518072,-0.55%,n/a
12,14,INSUPERABILE,Rkomi,3,1491140,-0.21%,https://www.youtube.com/watch?v=tXeh4PZBgY0
13,17,MI FAI IMPAZZIRE,BLANCO & Sfera Ebbasta,35,1408858,-0.1%,https://www.youtube.com/watch?v=FJNOkLCIg5Y
14,19,Chimica,Ditonellapiaga & Donatella Rettore,2,1363630,0%,https://www.youtube.com/watch?v=2rsteQ4OdLE
15,16,Finché Non Mi Seppelliscono,BLANCO,23,1353566,-0.19%,https://www.youtube.com/watch?v=7p09c3GgF4A
16,12,Sei tu,Fabrizio Moro,3,1344420,-0.33%,https://www.youtube.com/watch?v=dS5mn2tZX4Y
17,21,Pistole Nella Fendi,Niko Pandetta,5,1207818,-0.08%,https://www.youtube.com/watch?v=IMhEIjGBs1Y
18,18,Perfetta Così,Aka 7even,2,1204639,-0.16%,https://www.youtube.com/watch?v=xmJiSoIOfyU
19,26,Mi Fiderò (feat. Madame),Marco Mengoni,10,1147951,0.02%,https://www.youtube.com/watch?v=hfC__TAl8YA
20,31,SESSO OCCASIONALE,Tananai,2,1130705,0.2%,https://www.youtube.com/watch?v=6CMMrUn9zPY
21,n/a,TARANTELLE,SIMBA LA RUE & Bobo,1,1077039,n/a,https://www.youtube.com/watch?v=BLJVnkjJxtA
22,25,Notti In Bianco,BLANCO,42,1059526,-0.12%,https://www.youtube.com/watch?v=wppn2Via-Tk
23,22,Pastello Bianco,Pinguini Tattici Nucleari,27,1054324,-0.14%,https://www.youtube.com/watch?v=JcLH8qsHNN4
24,20,CORALINE,Måneskin,23,1024282,-0.24%,https://www.youtube.com/watch?v=CmMO42bOTZ4
25,24,Blu Celeste,BLANCO,22,956307,-0.21%,https://www.youtube.com/watch?v=EA58w_cxAAg
26,27,Un bacio all'improvviso,Rocco Hunt & Ana Mena,37,955749,-0.09%,https://www.youtube.com/watch?v=FIfhgM_Uok8
27,30,malibu,Sangiovanni,40,941674,0%,https://www.youtube.com/watch?v=R24b7p8HuWo
28,11,DOMENICA,Achille Lauro,3,924051,-0.54%,https://www.youtube.com/watch?v=-iq4e2q2rzY
29,28,Pepas,Farruko,29,913076,-0.11%,https://www.youtube.com/watch?v=y8trd3gjJt0
30,15,Inverno dei fiori,Michele Bravi,3,847692,-0.54%,https://www.youtube.com/watch?v=EYA9f4_Ofnw
31,97,Tu Comm'a Mme,Gianni Celeste,2,832130,1.65%,https://www.youtube.com/watch?v=P7q8xSvxKPI
32,23,Ti amo non lo so dire,Noemi,3,830462,-0.32%,https://www.youtube.com/watch?v=6Fj-cufiyqc
33,47,We Don't Talk About Bruno,Angelica Hale,7,828085,0.41%,https://www.youtube.com/watch?v=0L2FMgvtVVg
34,29,CRAZY LOVE,Marracash,13,816985,-0.18%,https://www.youtube.com/watch?v=JHqxzM2tZHs
35,35,TRAVESURAS,SLF & MV Killa & Yung Snapp & Lele Blade & Vale Lambo,5,791440,-0.05%,https://www.youtube.com/watch?v=HZ9Oi0mMfiY
36,32,ZITTI E BUONI,Måneskin,51,781898,-0.13%,https://www.youtube.com/watch?v=QN1odfjtMoo
37,36,MILLE,Fedez & Achille Lauro & Orietta Berti,36,764377,-0.05%,https://www.youtube.com/watch?v=l6N-Yq9Fw4U
38,n/a,Pensando a lei,Shiva,1,689930,n/a,https://www.youtube.com/watch?v=PbP_-Xs0Di8
39,34,Blauer,Paky,3,621176,-0.29%,https://www.youtube.com/watch?v=Bf3X8b2g0Sg
40,40,∞ LOVE (feat. Guè),Marracash,13,594010,-0.19%,https://www.youtube.com/watch?v=6cIiWPGnTbY
41,50,LAPROVINCE #1,Rhove,4,590241,0.05%,https://www.youtube.com/watch?v=hldgtVJ7uNA
42,n/a,Il Doc 2,VillaBanks & Tony Effe & Guè,1,565241,n/a,https://www.youtube.com/watch?v=By7zMOeUT58
43,45,Paraocchi,,23,563740,-0.06%,https://www.youtube.com/watch?v=R3tkPQWlHEI
44,43,abcdefu,GAYLE,14,563458,-0.08%,https://www.youtube.com/watch?v=NaFd8ucHLuo
45,38,Abbi cura di te,Highsnob & ,2,558723,-0.24%,https://www.youtube.com/watch?v=jj5ECjSKuXY
46,49,love nwantiti (ah ah ah) (feat. Kuami Eugene),CKay,24,548013,-0.05%,https://www.youtube.com/watch?v=MxjrsDV8Aeo
47,42,LUNA PIENA,Rkomi & Irama & Shablo,42,543352,-0.11%,https://www.youtube.com/watch?v=XTzIDZ3cbOw
48,46,Canzone inutile,Alessandra Amoroso,14,540019,-0.09%,https://www.youtube.com/watch?v=sLtcmMAINRY
49,48,Movimento lento,Annalisa,38,526229,-0.1%,https://www.youtube.com/watch?v=rv2KSakpnc0
50,41,TU MI HAI CAPITO,Madame & Sfera Ebbasta,24,517682,-0.23%,https://www.youtube.com/watch?v=SetXjv0_vv4
51,69,Shakerando,Rhove,9,496165,0.14%,https://www.youtube.com/watch?v=U6VMjHJ18a0
52,59,Bella Vita,Niko Pandetta,4,480205,-0.07%,https://www.youtube.com/watch?v=uei0wDoHGA4
53,55,SOLITE PARE,Sick Luke & thasup & Sfera Ebbasta,6,466593,-0.12%,https://www.youtube.com/watch?v=Y4IyWe4qNGg
54,56,Mi Historia Entre Tus Dedos,Gianluca Grignani,2,454377,-0.15%,https://www.youtube.com/watch?v=aHFAXW840uM
55,63,Ladro Di Fiori,BLANCO,19,435605,-0.08%,https://www.youtube.com/watch?v=6S76DKzEg9Q
56,58,Scatola,Laura Pausini,4,427695,-0.19%,https://www.youtube.com/watch?v=PFvqgj28vk4
57,68,La Nuova Stella Di Broadway,Cesare Cremonini,2,416514,-0.05%,https://www.youtube.com/watch?v=Nb1-vi2lCQI
58,n/a,MAMIII,KAROL G & Becky G,1,406882,n/a,https://www.youtube.com/watch?v=vb8wloc4Xpw
59,62,ME STAJE APPENNENN' AMÒ,LIBERATO,9,404427,-0.19%,https://www.youtube.com/watch?v=8pFwPKNDF6E
60,37,Tantissimo,Le Vibrazioni,2,394498,-0.51%,https://www.youtube.com/watch?v=PlmfuAW7_hM
61,66,Cambia Un Uomo,Marco Mengoni,16,387562,-0.15%,https://www.youtube.com/watch?v=or8XEH0e-fU
62,81,Mujeriego,Ryan Castro,3,376919,0.07%,https://www.youtube.com/watch?v=SAvVnVNSvDk
63,76,CADILLAC,SLF & MV Killa & Geolier & Tony Effe,3,372157,-0.04%,https://www.youtube.com/watch?v=vskcDjk2msI
64,73,La più bella,Mecna & CoCo,18,372075,-0.1%,https://www.youtube.com/watch?v=24EtPwUWxEM
65,51,Enemy (feat. JID),Imagine Dragons,14,362524,-0.35%,https://www.youtube.com/watch?v=D9G1VOjN_84
66,75,MAMMAMIA,Måneskin,19,354426,-0.12%,https://www.youtube.com/watch?v=WTKrJ-nEy40
67,93,Ritmo,Raffa FL,2,354290,0.11%,https://www.youtube.com/watch?v=0fa_y5hkZe8
68,71,SAPORE (feat. Tedua),Fedez,12,353592,-0.17%,https://www.youtube.com/watch?v=BU_azCT00FU
69,54,Miele,Giusy Ferreri,2,351870,-0.34%,https://www.youtube.com/watch?v=gDcxkwwh8ko
70,79,Easy On Me,Adele,18,348480,-0.07%,https://www.youtube.com/watch?v=X-yIEMduRXk
71,n/a,Unstoppable,Sia,15,329934,n/a,https://www.youtube.com/watch?v=YaEG2aWJnZ8
72,85,Bitch Affianco (feat. Il Ghost),Baby Gang & Bobo,9,323835,-0.03%,https://www.youtube.com/watch?v=ZPWoPO4Cyi8
73,84,18 ANNI (feat. MV Killa Geolier & Fabri Fibra),SLF,3,308701,-0.1%,https://www.youtube.com/watch?v=Hklus3yZ9ZQ
74,83,Spazio tempo,Francesco Gabbani,13,308348,-0.11%,https://www.youtube.com/watch?v=if2bnIUgUAE
75,95,OPINEL,SIMBA LA RUE & Bobo,16,307137,-0.03%,https://www.youtube.com/watch?v=qI8zDv_Xhq8
76,94,Infinity,Jaymes Young,15,299886,-0.05%,https://www.youtube.com/watch?v=PWqEPKduGm8
77,n/a,The Joker And The Queen (feat. Taylor Swift),Ed Sheeran,1,292144,n/a,https://www.youtube.com/watch?v=2qzcHLyv3N0
78,n/a,Si Te Vas / Que Tengo Que Hacer,Omega,6,287932,n/a,https://www.youtube.com/watch?v=xWp3xsKiQfs
79,n/a,Quello Che Manca (feat. Rkomi),Elisa & Rkomi,1,286784,n/a,https://www.youtube.com/watch?v=l27bpasecW4
80,n/a,Scappo vado via (feat. J2LASTEU),Niko Pandetta,3,284109,n/a,https://www.youtube.com/watch?v=DWmrjvN_rUs
81,86,Veleno,Guè,10,278039,-0.17%,https://www.youtube.com/watch?v=dlVreMIaQao
82,n/a,La Cosa Mas Bella (Più Bella Cosa),Eros Ramazzotti,13,274723,n/a,https://www.youtube.com/watch?v=UojBaKX5Vz4
83,89,Quello che fa male,LDA,18,273613,-0.17%,https://www.youtube.com/watch?v=y9phzoTojIQ
84,82,Lucciole,BLANCO,15,269340,-0.23%,https://www.youtube.com/watch?v=NRTJNpqHwV8
85,n/a,Odi et Amo,Blake El diablo,1,269321,n/a,https://www.youtube.com/watch?v=EuOGi6T-kPM
86,n/a,123 (feat. MamboLosco),Niko Pandetta,2,265857,n/a,https://www.youtube.com/watch?v=7CvzTfO_35I
87,n/a,Senza Paura (feat. Jhosef),Anthony,1,259318,n/a,https://www.youtube.com/watch?v=5mdjai5BUmA
88,96,KUMITE,Salmo,20,253229,-0.19%,https://www.youtube.com/watch?v=sosw_tG_t0g
89,n/a,Without Me,Eminem,1,247368,n/a,https://www.youtube.com/watch?v=YVkUvmDQ3HY
90,n/a,Ella (Remix),Boza & Lunay & Lenny Tavárez & Juhn & Beéle,4,246421,n/a,https://www.youtube.com/watch?v=YNRMOYtVRcE
91,n/a,Yo Voy (feat. Daddy Yankee),Zion & Lennox,1,245253,n/a,https://www.youtube.com/watch?v=jR_j-LPLBvU
92,n/a,ANTIPATICO,Sacky,5,241743,n/a,https://www.youtube.com/watch?v=_yZtU9eK1f8
93,n/a,Siamo Qui,Vasco Rossi,17,235680,n/a,https://www.youtube.com/watch?v=6u6zw8aUqcE
94,n/a,Lipstick,Kungs,6,235021,n/a,https://www.youtube.com/watch?v=LMqDMH4JQMY
95,78,ORA E QUI,Yuman,2,232472,-0.38%,https://www.youtube.com/watch?v=2LED1a799mQ
96,87,Amare,La Rappresentante di Lista,13,232296,-0.3%,https://www.youtube.com/watch?v=iY9YsLvNNt8
97,n/a,3 Occhi (feat. Il Ghost),Baby Gang,2,231908,n/a,https://www.youtube.com/watch?v=lQO7Q2ezWXE
98,n/a,Tu Si A Droga Pe Me (feat. MV Killa),Lele Blade,4,227089,n/a,https://www.youtube.com/watch?v=RifiRsxT1sw
99,n/a,CHINGA (feat. SIMBA LA RUE),Rondodasosa,3,225516,n/a,n/a
100,n/a,TU T'E SCURDAT' 'E ME,Liberato,12,224717,n/a,https://www.youtube.com/watch?v=AWQcDlHoE4o
