Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,2,Musica leggerissima,Colapesce & Dimartino,3,8331689,0.21%,https://www.youtube.com/watch?v=Q7NjUxGMv7Y
2,1,CHIAMAMI PER NOME,Francesca Michielin & Fedez,3,4865865,-0.45%,https://www.youtube.com/watch?v=F92zPP2FbwE
3,3,ZITTI E BUONI,Måneskin,3,4056458,-0.21%,https://www.youtube.com/watch?v=QN1odfjtMoo
4,5,VOCE,Madame,3,2865774,-0.39%,https://www.youtube.com/watch?v=cFAtUbi7a8w
5,4,La genesi del tuo colore,Irama,2,2672252,-0.45%,https://www.youtube.com/watch?v=ksTDwL45sO0
6,11,LA CANZONE NOSTRA,MACE & Blanco & Salmo,10,1990508,-0.07%,https://www.youtube.com/watch?v=XE6lV6xseQ4
7,7,Dieci,Annalisa,3,1721432,-0.44%,https://www.youtube.com/watch?v=dVLen7OOG38
8,18,lady,Sangiovanni,8,1564283,0.16%,https://www.youtube.com/watch?v=2yivf9LdbhI
9,8,Glicine,Noemi,3,1477818,-0.45%,https://www.youtube.com/watch?v=WuXm-dk8jQo
10,15,Venere e Marte (feat. Marco Mengoni & Frah Quintale),Takagi & Ketra,10,1404184,-0.07%,https://www.youtube.com/watch?v=BfDsoB0jhsY
11,16,A Un Passo Dalla Luna,Rocco Hunt & Ana Mena,37,1393918,-0.06%,https://www.youtube.com/watch?v=Kh-Dz1Fuo1E
12,14,Che me chiamme a fa?,Rocco Hunt & Geolier,4,1359262,-0.14%,https://www.youtube.com/watch?v=Vo00UBqXJRc
13,10,Fiamme negli occhi,Coma_Cose,2,1234910,-0.45%,https://www.youtube.com/watch?v=MJhkALvLs0s
14,19,Karaoke,Boomdabash & Alessandra Amoroso,40,1233622,0.07%,https://www.youtube.com/watch?v=fHFx6FbUMRQ
15,9,Mai Dire Mai (La Locura),Willie Peyote,2,1110163,-0.52%,https://www.youtube.com/watch?v=fJtnqQ1RTg4
16,21,VENT'ANNI,Måneskin,20,973357,-0.11%,https://www.youtube.com/watch?v=XD77aMyCv0Q
17,20,Parlami,Fasma & ,3,972562,-0.14%,https://www.youtube.com/watch?v=H0C63z3DPE0
18,25,Jerusalema (feat. Nomcebo Zikode),Master KG,39,940137,0.06%,https://www.youtube.com/watch?v=fCZVL_8D048
19,27,Figlia di...,Loredana Berté,3,928989,0.1%,https://www.youtube.com/watch?v=Aa1UVNDCjaw
20,12,Potevi fare di più,Arisa,3,917864,-0.57%,https://www.youtube.com/watch?v=BNPN2qH_yTE
21,13,ORA,AIELLO,3,883008,-0.46%,https://www.youtube.com/watch?v=sX3mGMmLGnQ
22,6,Un milione di cose da dirti,Ermal Meta,2,848375,-0.76%,https://www.youtube.com/watch?v=sC7UluoMaWY
23,28,Amare,La Rappresentante di Lista,2,809702,-0.04%,https://www.youtube.com/watch?v=iY9YsLvNNt8
24,26,Una Canzone D'Amore Buttata Via,Vasco Rossi,11,808899,-0.07%,https://www.youtube.com/watch?v=30-XvAKLp0s
25,31,Save Your Tears,The Weeknd,12,796173,0%,https://www.youtube.com/watch?v=XXYlFuWEuKI
26,30,Inuyasha,Mahmood,6,751343,-0.07%,https://www.youtube.com/watch?v=yfkp7bHyVGM
27,55,Mi Manchi,Aka 7even,3,723439,0.35%,https://www.youtube.com/watch?v=qvJPtngb15E
28,34,Street,Capo Plaza,8,708559,-0.06%,https://www.youtube.com/watch?v=oJmpllW2EqQ
