Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Due Vite,Marco Mengoni,3,8825697,-0.46%,https://www.youtube.com/watch?v=_iS4STWKSvk
2,2,SUPEREROI,Mr. Rain,3,7617697,-0.25%,https://www.youtube.com/watch?v=uuVBNyn3ZB8
3,3,CENERE,Lazza,3,7536838,0%,https://www.youtube.com/watch?v=A5ab7U9RVLE
4,4,IL BENE NEL MALE,Madame,3,3232212,-0.1%,https://www.youtube.com/watch?v=Nq-u9jV1uEg
5,7,MADE IN ITALY,Rosa Chemical & Bdope,3,2257882,-0.14%,https://www.youtube.com/watch?v=UQuoY73tUsw
6,14,‘O Mar For (feat. Lolloflow Icaro & Raiz),Stefano Lentini,2,2243977,0.17%,https://www.youtube.com/watch?v=1TE3uEJL4s4
7,9,SHAKIRA,Bizarrap & Shakira,7,2184580,-0.04%,https://www.youtube.com/watch?v=CocEMWdc7Ck
8,10,Bellissima,Annalisa,25,2090939,-0.04%,https://www.youtube.com/watch?v=qz88Dx-_lA4
9,8,TANGO,Tananai,3,2027729,-0.23%,https://www.youtube.com/watch?v=C7ckx1gbDH0
10,6,Due (Live),Elodie,3,1786212,-0.39%,https://www.youtube.com/watch?v=T89rimi2Q8A
11,12,Flowers,Miley Cyrus,6,1659701,-0.16%,https://www.youtube.com/watch?v=G7KNmW9a75Y
12,11,L'ADDIO,Coma_Cose,3,1599704,-0.24%,https://www.youtube.com/watch?v=xKUH-NKtMJY
13,16,Cookies N' Cream,Guè & ANNA & Sfera Ebbasta,6,1535462,-0.05%,https://www.youtube.com/watch?v=z_D_SP5YGh0
14,5,Alba,Ultimo,3,1533760,-0.56%,https://www.youtube.com/watch?v=YFTqKB7STUw
15,13,L'Isola Delle Rose,BLANCO,4,1496190,-0.24%,https://www.youtube.com/watch?v=g2647z7McDE
16,23,Caramello,Rocco Hunt & Elettra Lamborghini & Lola Indigo,36,1173833,0.11%,https://www.youtube.com/watch?v=uivZrg8xEVI
17,19,Non lo Sai,Shiva,13,1129824,-0.1%,https://www.youtube.com/watch?v=gbcYVcAaIIc
18,18,Furore,Paola & Chiara,3,1104313,-0.13%,https://www.youtube.com/watch?v=sO03mSDTBVo
19,20,X CASO (feat. Sfera Ebbasta),Geolier,7,1103164,-0.1%,https://www.youtube.com/watch?v=UXinTUVyTMo
20,15,Splash,Colapesce & Dimartino,3,1080907,-0.34%,https://www.youtube.com/watch?v=xcFgzAJnG8A
21,21,Quevedo: Bzrp Music Sessions Vol. 52,Bizarrap & Quevedo,27,1032503,-0.07%,https://www.youtube.com/watch?v=A_g3lMcWVy0
22,17,Duemilaminuti (Live),Mara Sattei,3,1002007,-0.29%,https://www.youtube.com/watch?v=ziqUXw7s-XA
23,26,Arai (feat. Capo Plaza),Medy,6,910647,-0.02%,https://www.youtube.com/watch?v=K1B81jBIFAY
24,28,COME VUOI,Geolier,7,870183,-0.03%,https://www.youtube.com/watch?v=aL0dOoLpf7M
25,41,ME STAJE APPENNENN' AMÒ,LIBERATO,17,835245,0.22%,https://www.youtube.com/watch?v=8pFwPKNDF6E
26,30,THE LONELIEST,Måneskin,20,816788,-0.05%,https://www.youtube.com/watch?v=odWKEfp2QMY
27,31,CHIAGNE (feat. Lazza & Takagi & Ketra),Geolier,17,804132,-0.06%,https://www.youtube.com/watch?v=LvXWeSPruHM
28,25,Se poi domani,LDA,2,793464,-0.18%,https://www.youtube.com/watch?v=Sjva6lAHZbw
29,33,Un Altro Show (feat. Geolier),Shiva,13,784570,-0.05%,https://www.youtube.com/watch?v=6hhcvuPCpbQ
30,38,Tropicana,Boomdabash & Annalisa,37,734780,0.04%,https://www.youtube.com/watch?v=qo9UmHJH0Mo
31,57,Il Doc 3 (feat. MamboLosco),VillaBanks & Linch & Andry The Hitmaker,2,732620,0.56%,https://www.youtube.com/watch?v=xemHyHlQ37w
32,22,MARE DI GUAI,Ariete,3,728450,-0.33%,https://www.youtube.com/watch?v=hHFqqCMEf2U
33,34,PANICO (feat. Takagi & Ketra),Lazza,30,681814,-0.15%,https://www.youtube.com/watch?v=-11sPp2JzOA
34,39,Heaven,Boomdabash & Eiffel 65,11,668451,-0.05%,https://www.youtube.com/watch?v=zIy_SsdPxCk
35,36,MOSTRO,gIANMARIA,2,668063,-0.15%,https://www.youtube.com/watch?v=KnP3beN3vuE
36,56,Guasto D'Amore,Bresh & Shune,4,652620,0.39%,https://www.youtube.com/watch?v=1U3A1tD3GeA
37,40,ABISSALE,Tananai,19,632575,-0.1%,https://www.youtube.com/watch?v=KbLgYUBnki0
38,24,Lasciami,Modà,3,597133,-0.43%,https://www.youtube.com/watch?v=EQavU_xpMrA
39,59,Ddoje mane (feat. Raiz),Stefano Lentini,3,595470,0.44%,https://www.youtube.com/watch?v=mhsr-nnkyyQ
40,47,Bloody Mary,Lady Gaga,11,577264,0.02%,https://www.youtube.com/watch?v=VFwmKL5OL-Q
41,48,Extasi,Fred De Palma,36,558333,0%,https://www.youtube.com/watch?v=5EwGemMdwzY
42,46,Polvere,Olly & JVLI,2,549400,-0.04%,https://www.youtube.com/watch?v=6jFvKmxxIxM
43,49,SIMPLY THE BEST,Black Eyed Peas & Anitta & El Alfa,12,545455,-0.02%,https://www.youtube.com/watch?v=AbNOhZ1rsG8
44,42,A L I,Irama,13,533460,-0.21%,https://www.youtube.com/watch?v=stS1S04rBFA
45,n/a,LA DOLCE VITA,Fedez & Tananai & Mara Sattei,37,523703,n/a,https://www.youtube.com/watch?v=TX_csdgqhxA
46,44,Calm Down,Rema & Selena Gomez,28,514931,-0.17%,https://www.youtube.com/watch?v=WcIcVapfqXw
47,n/a,I'm Good (Blue),David Guetta & Bebe Rexha,24,511106,n/a,https://www.youtube.com/watch?v=90RLzVUuXe4
48,29,Terzo Cuore,Leo Gassmann,2,505063,-0.43%,https://www.youtube.com/watch?v=7po4P3lN7TA
49,32,UN BEL VIAGGIO,Articolo 31,3,495358,-0.42%,https://www.youtube.com/watch?v=AhJcbnrqVwg
50,53,ME VULEV FA RUOSS,Geolier,7,489809,0.01%,https://www.youtube.com/watch?v=ZU6NpUv7JwA
51,61,Fantasmi (feat. Geolier),Rose Villain,5,485226,0.21%,https://www.youtube.com/watch?v=C3kplnH34qY
52,55,La Bellavita (feat. JUL),Paky,17,474945,0.01%,https://www.youtube.com/watch?v=sCtfywzUpbY
53,45,Tirana,Paky & Finem,3,456688,-0.24%,https://www.youtube.com/watch?v=oaJ0WvG81Yc
54,52,Senza Di Te,Me contro Te,4,451043,-0.07%,https://www.youtube.com/watch?v=7C7ZfH-9hkQ
