Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Brividi,Mahmood & BLANCO,6,4068422,-0.26%,https://www.youtube.com/watch?v=MA_5P3u0apQ
2,2,Ovunque Sarai,Irama,6,3728344,-0.13%,https://www.youtube.com/watch?v=K4cPTgkYG9c
3,4,farfalle,Sangiovanni,6,2908594,-0.06%,https://www.youtube.com/watch?v=75fwUd-lX_o
4,3,Ciao Ciao,La Rappresentante di Lista,6,2848219,-0.11%,https://www.youtube.com/watch?v=dxer4GwV1sc
5,5,Tu Comm'a Mme,Gianni Celeste,5,1931493,0%,https://www.youtube.com/watch?v=P7q8xSvxKPI
6,6,Dove Si Balla,Dargen D'Amico,6,1732760,0.01%,https://www.youtube.com/watch?v=rCdHk1eTe34
7,7,We Don't Talk About Bruno,Angelica Hale,10,1512877,-0.05%,https://www.youtube.com/watch?v=0L2FMgvtVVg
8,9,Duecentomila ore,Ana Mena,6,1401388,-0.01%,https://www.youtube.com/watch?v=vi8XYHIou7c
9,16,Shakerando,Rhove,12,1373405,0.36%,https://www.youtube.com/watch?v=U6VMjHJ18a0
10,10,LA CODA DEL DIAVOLO,Rkomi & Elodie,14,1290101,-0.05%,https://www.youtube.com/watch?v=0kdY-4kaJKo
11,11,O Forse Sei Tu,Elisa,6,1169760,-0.08%,https://www.youtube.com/watch?v=0vrbQcOiq-k
12,13,Mi Fiderò (feat. Madame),Marco Mengoni,13,1022565,-0.12%,https://www.youtube.com/watch?v=hfC__TAl8YA
13,8,∞ LOVE (feat. Guè),Marracash,16,1020745,-0.3%,https://www.youtube.com/watch?v=6cIiWPGnTbY
14,n/a,Storie tristi,Paky & Night Skinny,1,1010335,n/a,https://www.youtube.com/watch?v=uVlkJa4ok9A
15,15,Pistole Nella Fendi,Niko Pandetta,8,965635,-0.06%,https://www.youtube.com/watch?v=IMhEIjGBs1Y
16,12,Ogni Volta È Così (Live),Emma,6,951280,-0.18%,n/a
17,19,malibu,Sangiovanni,43,941439,-0.01%,https://www.youtube.com/watch?v=R24b7p8HuWo
18,38,BABY GODDAMN,Tananai,3,924890,0.44%,https://www.youtube.com/watch?v=PLin7dzqk_w
19,17,MI FAI IMPAZZIRE,BLANCO & Sfera Ebbasta,38,901383,-0.08%,https://www.youtube.com/watch?v=FJNOkLCIg5Y
20,25,Un bacio all'improvviso,Rocco Hunt & Ana Mena,40,876306,0.02%,https://www.youtube.com/watch?v=FIfhgM_Uok8
21,14,Apri tutte le porte,Gianni Morandi,6,848352,-0.19%,https://www.youtube.com/watch?v=CCQIGH6dl9U
22,23,INSUPERABILE,Rkomi,6,820682,-0.08%,https://www.youtube.com/watch?v=tXeh4PZBgY0
