Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Brividi,Mahmood & BLANCO,2,23260665,1.6%,https://www.youtube.com/watch?v=MA_5P3u0apQ
2,24,Ovunque Sarai,Irama,2,8290739,9.58%,https://www.youtube.com/watch?v=K4cPTgkYG9c
3,3,Ciao Ciao,La Rappresentante di Lista,2,6159203,3.16%,https://www.youtube.com/watch?v=dxer4GwV1sc
4,10,Duecentomila ore,Ana Mena,2,3906867,2.32%,https://www.youtube.com/watch?v=vi8XYHIou7c
5,11,Apri tutte le porte,Gianni Morandi,2,3891013,2.46%,https://www.youtube.com/watch?v=CCQIGH6dl9U
6,16,O Forse Sei Tu,Elisa,2,3771233,3%,https://www.youtube.com/watch?v=0vrbQcOiq-k
7,38,farfalle,Sangiovanni,2,3595978,5.31%,https://www.youtube.com/watch?v=75fwUd-lX_o
8,68,Ogni Volta È Così (Live),Emma,2,3357301,8.68%,n/a
9,64,Dove Si Balla,Dargen D'Amico,2,2215140,4.96%,https://www.youtube.com/watch?v=rCdHk1eTe34
10,n/a,Virale,Matteo Romano,1,2164103,n/a,https://www.youtube.com/watch?v=ciUEwnSbry8
11,6,DOMENICA,Achille Lauro,2,2018713,0.46%,https://www.youtube.com/watch?v=-iq4e2q2rzY
12,76,Sei tu,Fabrizio Moro,2,2012992,5.33%,https://www.youtube.com/watch?v=dS5mn2tZX4Y
13,2,LA CODA DEL DIAVOLO,Rkomi & Elodie,10,1891100,-0.02%,https://www.youtube.com/watch?v=0kdY-4kaJKo
14,30,INSUPERABILE,Rkomi,2,1876638,1.81%,https://www.youtube.com/watch?v=tXeh4PZBgY0
15,20,Inverno dei fiori,Michele Bravi,2,1850370,1.11%,https://www.youtube.com/watch?v=EYA9f4_Ofnw
16,8,Finché Non Mi Seppelliscono,BLANCO,22,1676080,0.37%,https://www.youtube.com/watch?v=7p09c3GgF4A
17,12,MI FAI IMPAZZIRE,BLANCO & Sfera Ebbasta,34,1562141,0.42%,https://www.youtube.com/watch?v=FJNOkLCIg5Y
18,n/a,Perfetta Così,Aka 7even,1,1431884,n/a,https://www.youtube.com/watch?v=xmJiSoIOfyU
19,n/a,Chimica,Ditonellapiaga & Donatella Rettore,1,1367552,n/a,https://www.youtube.com/watch?v=2rsteQ4OdLE
20,19,CORALINE,Måneskin,22,1347637,0.53%,https://www.youtube.com/watch?v=CmMO42bOTZ4
21,5,Pistole Nella Fendi,Niko Pandetta,4,1316122,-0.05%,https://www.youtube.com/watch?v=IMhEIjGBs1Y
22,7,Pastello Bianco,Pinguini Tattici Nucleari,26,1221105,-0.11%,https://www.youtube.com/watch?v=JcLH8qsHNN4
23,37,Ti amo non lo so dire,Noemi,2,1217529,1.14%,https://www.youtube.com/watch?v=6Fj-cufiyqc
24,44,Blu Celeste,BLANCO,21,1212026,1.32%,https://www.youtube.com/watch?v=EA58w_cxAAg
25,26,Notti In Bianco,BLANCO,41,1210038,0.72%,https://www.youtube.com/watch?v=wppn2Via-Tk
26,13,Mi Fiderò (feat. Madame),Marco Mengoni,9,1124743,0.06%,https://www.youtube.com/watch?v=hfC__TAl8YA
27,17,Un bacio all'improvviso,Rocco Hunt & Ana Mena,36,1048768,0.11%,https://www.youtube.com/watch?v=FIfhgM_Uok8
28,15,Pepas,Farruko,28,1030772,0%,https://www.youtube.com/watch?v=y8trd3gjJt0
29,9,CRAZY LOVE,Marracash,12,1002111,-0.16%,https://www.youtube.com/watch?v=JHqxzM2tZHs
30,18,malibu,Sangiovanni,39,945424,0%,https://www.youtube.com/watch?v=R24b7p8HuWo
31,n/a,SESSO OCCASIONALE,Tananai,1,944769,n/a,https://www.youtube.com/watch?v=6CMMrUn9zPY
32,32,ZITTI E BUONI,Måneskin,50,899923,0.37%,https://www.youtube.com/watch?v=QN1odfjtMoo
33,n/a,Lettera di là dal mare,Massimo Ranieri,1,877904,n/a,https://www.youtube.com/watch?v=em0sClQAfyk
34,4,Blauer,Paky,2,872782,-0.37%,https://www.youtube.com/watch?v=Bf3X8b2g0Sg
35,21,TRAVESURAS,SLF & MV Killa & Yung Snapp & Lele Blade & Vale Lambo,4,829522,-0.03%,https://www.youtube.com/watch?v=HZ9Oi0mMfiY
36,23,MILLE,Fedez & Achille Lauro & Orietta Berti,35,806348,-0.01%,https://www.youtube.com/watch?v=l6N-Yq9Fw4U
37,n/a,Tantissimo,Le Vibrazioni,1,798246,n/a,https://www.youtube.com/watch?v=PlmfuAW7_hM
38,n/a,Abbi cura di te,Highsnob & ,1,737749,n/a,https://www.youtube.com/watch?v=jj5ECjSKuXY
39,n/a,LA CANZONE NOSTRA,MACE & Blanco & Salmo,43,736798,n/a,https://www.youtube.com/watch?v=XE6lV6xseQ4
40,22,∞ LOVE (feat. Guè),Marracash,12,730195,-0.12%,https://www.youtube.com/watch?v=6cIiWPGnTbY
41,25,TU MI HAI CAPITO,Madame & Sfera Ebbasta,23,676258,-0.13%,https://www.youtube.com/watch?v=SetXjv0_vv4
42,41,LUNA PIENA,Rkomi & Irama & Shablo,41,613725,0.1%,https://www.youtube.com/watch?v=XTzIDZ3cbOw
43,28,abcdefu,GAYLE,13,610708,-0.12%,https://www.youtube.com/watch?v=NaFd8ucHLuo
44,n/a,Beggin’ (live),Måneskin,34,600702,n/a,https://www.youtube.com/watch?v=ZWKpPDI1M-o
45,69,Paraocchi,,22,597113,0.74%,https://www.youtube.com/watch?v=R3tkPQWlHEI
46,27,Canzone inutile,Alessandra Amoroso,13,594334,-0.15%,https://www.youtube.com/watch?v=sLtcmMAINRY
47,29,We Don't Talk About Bruno,Angelica Hale,6,588438,-0.14%,https://www.youtube.com/watch?v=0L2FMgvtVVg
48,39,Movimento lento,Annalisa,37,583153,0.04%,https://www.youtube.com/watch?v=rv2KSakpnc0
49,33,love nwantiti (ah ah ah) (feat. Kuami Eugene),CKay,23,579786,-0.11%,https://www.youtube.com/watch?v=MxjrsDV8Aeo
50,36,LAPROVINCE #1,Rhove,3,561261,-0.09%,https://www.youtube.com/watch?v=hldgtVJ7uNA
51,40,Enemy (feat. JID),Imagine Dragons,13,553549,-0.01%,https://www.youtube.com/watch?v=D9G1VOjN_84
52,n/a,I WANNA BE YOUR SLAVE,Måneskin,35,544662,n/a,https://www.youtube.com/watch?v=yOb9Xaug35M
53,n/a,Soldi,Mahmood,53,543113,n/a,https://www.youtube.com/watch?v=22lISUXgSUw
54,n/a,Miele,Giusy Ferreri,1,533904,n/a,https://www.youtube.com/watch?v=gDcxkwwh8ko
55,35,SOLITE PARE,Sick Luke & thasup & Sfera Ebbasta,5,532490,-0.18%,https://www.youtube.com/watch?v=Y4IyWe4qNGg
56,n/a,Mi Historia Entre Tus Dedos,Gianluca Grignani,1,531949,n/a,https://www.youtube.com/watch?v=aHFAXW840uM
57,53,PARTIRE DA TE,Rkomi,27,526980,0.15%,https://www.youtube.com/watch?v=R04HTckmhyA
58,62,Scatola,Laura Pausini,3,525310,0.4%,https://www.youtube.com/watch?v=PFvqgj28vk4
59,48,Bella Vita,Niko Pandetta,3,515171,0.05%,https://www.youtube.com/watch?v=uei0wDoHGA4
60,53,Musica leggerissima,Colapesce & Dimartino,35,506414,0.1%,https://www.youtube.com/watch?v=Q7NjUxGMv7Y
61,84,Poco Ricco,Checco Zalone,2,504800,0.79%,https://www.youtube.com/watch?v=vtV0xITgnso
62,34,ME STAJE APPENNENN' AMÒ,LIBERATO,8,499076,-0.23%,https://www.youtube.com/watch?v=8pFwPKNDF6E
63,82,Ladro Di Fiori,BLANCO,18,473834,0.66%,https://www.youtube.com/watch?v=6S76DKzEg9Q
64,n/a,Ma stasera,Marco Mengoni,33,458497,n/a,https://www.youtube.com/watch?v=BkIXFIlBjUQ
65,n/a,Rapide,Mahmood,27,456418,n/a,https://www.youtube.com/watch?v=ChJ57Av10Mw
66,49,Cambia Un Uomo,Marco Mengoni,15,454509,-0.07%,https://www.youtube.com/watch?v=or8XEH0e-fU
67,45,Fantastica,Rocco Hunt & Boomdabash,20,451741,-0.13%,https://www.youtube.com/watch?v=tgPs29ZhsrY
68,n/a,La Nuova Stella Di Broadway,Cesare Cremonini,1,437697,n/a,https://www.youtube.com/watch?v=Nb1-vi2lCQI
69,57,Shakerando,Rhove,8,434810,0.05%,https://www.youtube.com/watch?v=U6VMjHJ18a0
70,n/a,La genesi del tuo colore,Irama,21,431041,n/a,https://www.youtube.com/watch?v=ksTDwL45sO0
71,46,SAPORE (feat. Tedua),Fedez,11,428007,-0.14%,https://www.youtube.com/watch?v=BU_azCT00FU
72,88,Melodia proibita,Irama,22,417862,0.52%,https://www.youtube.com/watch?v=RS9q_6mDshM
73,51,La più bella,Mecna & CoCo,17,415552,-0.12%,https://www.youtube.com/watch?v=24EtPwUWxEM
74,56,MARIA,Niko Pandetta,20,410124,-0.03%,https://www.youtube.com/watch?v=dEEUzqEeNJk
75,66,MAMMAMIA,Måneskin,18,404121,0.1%,https://www.youtube.com/watch?v=WTKrJ-nEy40
76,47,CADILLAC,SLF & MV Killa & Geolier & Tony Effe,2,386987,-0.22%,https://www.youtube.com/watch?v=vskcDjk2msI
