Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Soldi,Mahmood,2,11911312,-0.02%,https://www.youtube.com/watch?v=22lISUXgSUw
2,2,I Tuoi Particolari,Ultimo,3,5680930,-0.27%,https://www.youtube.com/watch?v=q2izsbwDEsk
3,3,LA RAGAZZA CON IL CUORE DI LATTA,Irama,3,4739137,-0.25%,https://www.youtube.com/watch?v=ov3pyu9hWio
4,6,Per Un Milione,Boomdabash,2,3301049,0.16%,https://www.youtube.com/watch?v=fL1rrLus1_8
5,4,Cosa ti aspetti da me,Loredana Berté,3,3141315,0%,https://www.youtube.com/watch?v=ss3NhlKY86M
6,7,Calma (Remix),Pedro Capó & Alan Walker & Farruko,10,2821169,0.02%,https://www.youtube.com/watch?v=YS2RmyES-GU
7,n/a,Senza Farlo Apposta,Shade & Federica Carta,1,2583622,n/a,https://www.youtube.com/watch?v=QpzrjD_fOUw
8,9,Hola (I Say) (feat. Tom Walker),Marco Mengoni,11,2180548,-0.11%,https://www.youtube.com/watch?v=qBnffe5-WOE
9,11,Sweet but Psycho,Ava Max,7,2028356,0.1%,https://www.youtube.com/watch?v=WXBHCQYxwr0
10,21,Con Calma,Daddy Yankee & Snow,4,1768255,0.4%,https://www.youtube.com/watch?v=DiItGE3eAyQ
11,12,È sempre bello,Coez,6,1737175,-0.05%,https://www.youtube.com/watch?v=MNWpYoR0HLw
12,18,D'estate non vale (feat. Ana Mena),Fred De Palma,35,1730410,0.21%,https://www.youtube.com/watch?v=xj4ADZhEfJo
13,8,Rolls Royce,Achille Lauro,3,1637645,-0.37%,https://www.youtube.com/watch?v=uS8Hk8aoLZY
14,10,Ti dedico il silenzio,Ultimo,10,1539519,-0.26%,https://www.youtube.com/watch?v=iAEPBGJbavo
15,16,Da zero a cento,Baby K,35,1475410,0%,https://www.youtube.com/watch?v=XzuV0_cot-g
16,25,Per Le Strade Una Canzone (feat. Luis Fonsi),Eros Ramazzotti,5,1455278,0.22%,https://www.youtube.com/watch?v=mYc9jSdhwMw
17,14,Taki Taki,DJ Snake,21,1400664,-0.1%,https://www.youtube.com/watch?v=ixkoVwKQaJg
18,24,Nonno Hollywood,Enrico Nigiotti,2,1388650,0.15%,https://www.youtube.com/watch?v=qX0Zee7f6u8
19,19,Amore e Capoeira (feat. Giusy Ferreri & Sean Kingston),Takagi & Ketra,36,1379546,0.03%,https://www.youtube.com/watch?v=N4pqF-hwFM4
20,17,Torna a casa,Måneskin,21,1374732,-0.07%,https://www.youtube.com/watch?v=ZZjnfWx0cvw
21,20,Nera,Irama,34,1334090,0.04%,https://www.youtube.com/watch?v=ZSLewGyjhiw
22,15,Happier (feat. Bastille),Marshmello,20,1272080,-0.17%,https://www.youtube.com/watch?v=m7Bc3pLyij0
23,31,Shallow,Lady Gaga & Bradley Cooper,21,1261788,0.19%,https://www.youtube.com/watch?v=bo_efYhYU2A
24,35,Baila Baila Baila (Remix) (feat. Anuel AA Daddy Yankee J Balvin & Farruko),Ozuna,7,1212409,0.25%,https://www.youtube.com/watch?v=32F2d-wj4Xw
25,22,Girls Like You (feat. Cardi B),Maroon 5,38,1193729,-0.02%,https://www.youtube.com/watch?v=aJOTlE1K90k
26,38,Anche Fragile,Elisa,5,1075547,0.22%,https://www.youtube.com/watch?v=fxzonH9rDw4
27,23,Happy Birthday,Sfera Ebbasta,12,1071696,-0.11%,https://www.youtube.com/watch?v=JFOLJwOoorQ
28,n/a,Te Bote Remix,Anuel AA & Nio Garcia & Darell & Casper Magico,43,1021641,n/a,https://www.youtube.com/watch?v=9jI-z9QN6g8
29,27,IL CIELO NELLA STANZA (feat. NSTASIA),Salmo,15,992366,-0.1%,https://www.youtube.com/watch?v=HbfFG15Xd9U
30,30,Stamm Fort (feat. Sfera Ebbasta),Luchè,5,959938,-0.12%,https://www.youtube.com/watch?v=UTCDcgQY328
31,57,Dalla tua parte,Alessandra Amoroso,3,952509,0.44%,https://www.youtube.com/watch?v=N1TO0j5jH68
32,36,Se Piovesse Il Tuo Nome,Elisa & Calcutta,21,932593,-0.03%,https://www.youtube.com/watch?v=fXTfsPGYRn0
33,26,7 rings,Ariana Grande,5,904647,-0.21%,https://www.youtube.com/watch?v=QYh6mYIJG2Y
34,34,Cascare Nei Tuoi Occhi,Ultimo,23,869442,-0.11%,https://www.youtube.com/watch?v=BhKjcaWbJXQ
35,41,Mi sento bene,Arisa,2,852734,0.01%,https://www.youtube.com/watch?v=wVnXfZa7S8I
36,37,Ngopp' a luna (feat. Nicola Siciliano),Rocco Hunt,5,828904,-0.09%,https://www.youtube.com/watch?v=nP00H6XEVUA
37,13,Abbi cura di me,Simone Cristicchi,3,799013,-0.51%,https://www.youtube.com/watch?v=0o6zza76pDg
38,40,Poesia Senza Veli,Ultimo,34,798184,-0.06%,https://www.youtube.com/watch?v=uKOR4-eOe_c
39,44,Posso (feat. Max Gazzè),Carl Brave,14,782511,-0.03%,https://www.youtube.com/watch?v=0Txpx6D1K6Q
40,48,Mía (feat. Drake),Bad Bunny,19,751729,-0.04%,https://www.youtube.com/watch?v=OSUxrSe5GbI
41,28,Alone,Marshmello,3,724687,-0.34%,https://www.youtube.com/watch?v=ALZHF5UqnU4
42,46,Bohemian Rhapsody,Queen,15,720425,-0.1%,https://www.youtube.com/watch?v=fJ9rUzIMcZQ
