Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,2,Due Vite,Marco Mengoni,7,5175655,-0.03%,https://www.youtube.com/watch?v=_iS4STWKSvk
2,1,SUPEREROI,Mr. Rain,7,5169242,-0.07%,https://www.youtube.com/watch?v=uuVBNyn3ZB8
3,3,CENERE,Lazza,7,4582728,-0.07%,https://www.youtube.com/watch?v=A5ab7U9RVLE
4,4,ORIGAMI ALL'ALBA - MATTEO & LOLLOFLOW,Matteo Paolillo - Icaro & Lolloflow,4,2953702,-0.05%,https://www.youtube.com/watch?v=P-ZJLJCv0xs
5,6,TANGO,Tananai,7,2641959,0.23%,https://www.youtube.com/watch?v=C7ckx1gbDH0
6,5,‘O Mar For (feat. Lolloflow Icaro & Raiz),Stefano Lentini,6,2117402,-0.11%,https://www.youtube.com/watch?v=1TE3uEJL4s4
7,7,IL BENE NEL MALE,Madame,7,1770833,-0.1%,https://www.youtube.com/watch?v=Nq-u9jV1uEg
8,8,Bellissima,Annalisa,29,1734601,-0.07%,https://www.youtube.com/watch?v=qz88Dx-_lA4
9,9,MADE IN ITALY,Rosa Chemical & Bdope,7,1731087,0.03%,https://www.youtube.com/watch?v=UQuoY73tUsw
10,11,Gelosa (feat. Shiva Sfera Ebbasta & Guè),Finesse,4,1639498,0.03%,https://www.youtube.com/watch?v=oBS25dk7asc
11,10,COME VUOI,Geolier,11,1633151,-0.02%,https://www.youtube.com/watch?v=aL0dOoLpf7M
12,13,Flowers,Miley Cyrus,10,1598148,0.09%,https://www.youtube.com/watch?v=G7KNmW9a75Y
13,12,SHAKIRA,Bizarrap & Shakira,11,1327134,-0.15%,https://www.youtube.com/watch?v=CocEMWdc7Ck
14,14,Caramello,Rocco Hunt & Elettra Lamborghini & Lola Indigo,40,1279626,0%,https://www.youtube.com/watch?v=uivZrg8xEVI
15,15,Cookies N' Cream,Guè & ANNA & Sfera Ebbasta,10,1118771,-0.08%,https://www.youtube.com/watch?v=z_D_SP5YGh0
16,16,X CASO (feat. Sfera Ebbasta),Geolier,11,1112515,0.01%,https://www.youtube.com/watch?v=UXinTUVyTMo
17,19,Non lo Sai,Shiva,17,1071099,0.05%,https://www.youtube.com/watch?v=gbcYVcAaIIc
18,20,Quevedo: Bzrp Music Sessions Vol. 52,Bizarrap & Quevedo,31,1052289,0.06%,https://www.youtube.com/watch?v=A_g3lMcWVy0
19,17,Due (Live),Elodie,7,1004983,-0.06%,https://www.youtube.com/watch?v=T89rimi2Q8A
20,18,Arai (feat. Capo Plaza),Medy,10,994369,-0.04%,https://www.youtube.com/watch?v=K1B81jBIFAY
21,n/a,Dimmi Che C'è (feat. Tedua),thasup,1,906506,n/a,https://www.youtube.com/watch?v=uPeznfsvDW8
22,22,Furore,Paola & Chiara,7,858793,-0.08%,https://www.youtube.com/watch?v=sO03mSDTBVo
23,21,TQG,KAROL G & Shakira,4,856660,-0.09%,https://www.youtube.com/watch?v=jZGpkLElSu8
24,30,Un Altro Show (feat. Geolier),Shiva,17,839112,0.23%,https://www.youtube.com/watch?v=6hhcvuPCpbQ
25,n/a,Pelé,Rhove & Madfingerz,1,789193,n/a,https://www.youtube.com/watch?v=yTNPut79-40
26,23,L'ADDIO,Coma_Cose,7,786651,-0.1%,https://www.youtube.com/watch?v=xKUH-NKtMJY
27,26,Tropicana,Boomdabash & Annalisa,41,751820,-0.04%,https://www.youtube.com/watch?v=qo9UmHJH0Mo
28,24,L'Isola Delle Rose,BLANCO,8,748517,-0.09%,https://www.youtube.com/watch?v=g2647z7McDE
29,27,Alba,Ultimo,7,711248,-0.09%,https://www.youtube.com/watch?v=YFTqKB7STUw
30,37,Se poi domani,LDA,6,694642,0.22%,https://www.youtube.com/watch?v=Sjva6lAHZbw
31,29,Splash,Colapesce & Dimartino,7,653100,-0.08%,https://www.youtube.com/watch?v=xcFgzAJnG8A
32,32,THE LONELIEST,Måneskin,24,648961,0%,https://www.youtube.com/watch?v=odWKEfp2QMY
33,28,ME STAJE APPENNENN' AMÒ,LIBERATO,21,645724,-0.11%,https://www.youtube.com/watch?v=8pFwPKNDF6E
34,31,CHIAGNE (feat. Lazza & Takagi & Ketra),Geolier,21,636034,-0.06%,https://www.youtube.com/watch?v=LvXWeSPruHM
35,35,Fantasmi (feat. Geolier),Rose Villain,9,624624,0.07%,https://www.youtube.com/watch?v=C3kplnH34qY
36,25,NEW YORK,Rondodasosa & Nko,2,619124,-0.22%,https://www.youtube.com/watch?v=q_AZFsZ_Ku0
37,33,Duemilaminuti (Live),Mara Sattei,7,616547,-0.04%,https://www.youtube.com/watch?v=ziqUXw7s-XA
38,34,Heaven,Boomdabash & Eiffel 65,15,616364,0%,https://www.youtube.com/watch?v=zIy_SsdPxCk
39,36,Guasto D'Amore,Bresh & Shune,8,585893,0.02%,https://www.youtube.com/watch?v=1U3A1tD3GeA
40,38,ABISSALE,Tananai,23,563961,0%,https://www.youtube.com/watch?v=KbLgYUBnki0
41,40,Calm Down,Rema & Selena Gomez,32,562206,0.04%,https://www.youtube.com/watch?v=WcIcVapfqXw
42,39,Il Doc 3 (feat. MamboLosco),VillaBanks & Linch & Andry The Hitmaker,6,530607,-0.04%,https://www.youtube.com/watch?v=xemHyHlQ37w
43,45,MONDAY,Geolier,9,526467,0.09%,https://www.youtube.com/watch?v=Hk3Syf0Lk98
44,43,SIMPLY THE BEST,Black Eyed Peas & Anitta & El Alfa,16,516289,0.01%,https://www.youtube.com/watch?v=AbNOhZ1rsG8
45,41,LA DOLCE VITA,Fedez & Tananai & Mara Sattei,41,500021,-0.04%,https://www.youtube.com/watch?v=TX_csdgqhxA
46,42,Extasi,Fred De Palma,40,495472,-0.04%,https://www.youtube.com/watch?v=5EwGemMdwzY
47,n/a,Batman,el 3askar & SIMBA LA RUE,1,467401,n/a,https://www.youtube.com/watch?v=Jy_bkykr5a8
48,48,ME VULEV FA RUOSS,Geolier,11,460554,0.01%,https://www.youtube.com/watch?v=ZU6NpUv7JwA
49,47,PANICO (feat. Takagi & Ketra),Lazza,34,434300,-0.06%,https://www.youtube.com/watch?v=-11sPp2JzOA
50,52,La Bellavita (feat. JUL),Paky,21,430553,0.01%,https://www.youtube.com/watch?v=sCtfywzUpbY
51,51,Mollami Pt.2,Guè,10,430249,-0.01%,https://www.youtube.com/watch?v=ab4PdCyqbTI
52,49,MARE DI GUAI,Ariete,7,425335,-0.06%,https://www.youtube.com/watch?v=hHFqqCMEf2U
53,44,Ddoje mane (feat. Raiz),Stefano Lentini,7,421378,-0.13%,https://www.youtube.com/watch?v=mhsr-nnkyyQ
54,n/a,Capri Sun,Capo Plaza,34,417875,n/a,https://www.youtube.com/watch?v=ihk0axKRgd4
55,55,Tic toc [Non è andata così],Stefano Lentini,5,404968,-0.04%,https://www.youtube.com/watch?v=ArKSWe3rMMY
56,50,MOSTRO,gIANMARIA,6,402584,-0.1%,https://www.youtube.com/watch?v=KnP3beN3vuE
57,53,A L I,Irama,17,402433,-0.05%,https://www.youtube.com/watch?v=stS1S04rBFA
58,56,YAMAMAY,Niky Savage,3,398082,0.08%,https://www.youtube.com/watch?v=Zig9x7TRQTE
59,46,HOE + HARD (feat. Tony Effe),Icy Subzero,3,394556,-0.14%,https://www.youtube.com/watch?v=DrtrNklfbq8
60,57,Shawty (feat. ANNA),Yung Snapp,8,348861,-0.03%,https://www.youtube.com/watch?v=g7p3fCVbAb8
61,n/a,Set Me Free Pt.2,Jimin,1,347970,n/a,https://www.youtube.com/watch?v=UaywgAqcLxI
62,66,A' vita senz' e te (Me fa paura),Rocco Hunt,20,344269,0.11%,https://www.youtube.com/watch?v=g25NwRGdFyk
63,n/a,Diamanti,Negramaro & Elisa & Jovanotti,1,338519,n/a,https://www.youtube.com/watch?v=q23_RaTCJtI
64,58,Bloody Mary,Lady Gaga,15,319133,-0.08%,https://www.youtube.com/watch?v=VFwmKL5OL-Q
65,65,Ghosts Again,Depeche Mode,6,314185,0%,https://www.youtube.com/watch?v=iIyrLRixMs8
66,75,Alleluia (feat. Sfera Ebbasta),Shiva,17,313842,0.13%,https://www.youtube.com/watch?v=nZdNV5PnZws
67,63,MONEY,Geolier,18,297366,-0.06%,https://www.youtube.com/watch?v=MVEVhtoYBxE
68,70,GOSSIP (feat. Tom Morello),Måneskin,10,285820,0%,https://www.youtube.com/watch?v=XrsbfrFPATs
69,64,Terzo Cuore,Leo Gassmann,6,282943,-0.1%,https://www.youtube.com/watch?v=7po4P3lN7TA
70,74,Lasciami,Modà,7,281803,0.01%,https://www.youtube.com/watch?v=EQavU_xpMrA
71,76,IMPORTANTE,Marracash,15,280884,0.02%,https://www.youtube.com/watch?v=tTaEfEyEGrQ
72,71,Die For You (Remix),The Weeknd & Ariana Grande,4,275066,-0.03%,https://www.youtube.com/watch?v=YQ-qToZUybM
73,60,Sangue Nero,Matteo Paolillo - Icaro,5,274850,-0.19%,https://www.youtube.com/watch?v=4WqaQc5IAEw
74,n/a,Nu raggio 'e sole,Andrea Sannino & Gigi Finizio,1,274126,n/a,https://www.youtube.com/watch?v=--LQR_tSvwI
75,83,Circle of Life,Carmen Twillie & Lebo M,8,262279,0.12%,https://www.youtube.com/watch?v=XuQoLC3iDj4
76,67,TOXIC (feat. LA SAD),Theø & Plant & Fiks,7,260139,-0.14%,https://www.youtube.com/watch?v=GcgrgL3yZjo
77,77,Notte in Caserma,Nabi,2,256954,-0.06%,https://www.youtube.com/watch?v=Po25COLLYus
78,54,Un buon inizio,Laura Pausini,2,255849,-0.4%,https://www.youtube.com/watch?v=8yFE2joDRHM
79,62,Polvere,Olly & JVLI,6,255206,-0.2%,https://www.youtube.com/watch?v=6jFvKmxxIxM
80,78,Odi et Amo,Blake El diablo,14,255077,-0.05%,https://www.youtube.com/watch?v=EuOGi6T-kPM
81,n/a,Starboy (feat. Daft Punk),The Weeknd,33,254416,n/a,https://www.youtube.com/watch?v=34Na4j8AVgA
82,69,Tirana,Paky & Finem,7,254005,-0.14%,https://www.youtube.com/watch?v=oaJ0WvG81Yc
83,82,TU T'E SCURDAT' 'E ME,Liberato,19,249164,0.05%,https://www.youtube.com/watch?v=AWQcDlHoE4o
84,87,Baby Mama,Don Pero,2,249001,0.11%,https://www.youtube.com/watch?v=2TnjE_BfD-4
85,73,UN BEL VIAGGIO,Articolo 31,7,235835,-0.16%,https://www.youtube.com/watch?v=AhJcbnrqVwg
86,91,Sigue,Beny Jr & Morad & K y B,11,233726,0.09%,https://www.youtube.com/watch?v=jH6pCB61Bzk
87,68,IDEM,Gazzelle,2,231700,-0.23%,https://www.youtube.com/watch?v=OXxIV4EiBHE
88,86,BamBamBam,Niko Pandetta & Neima Ezza,9,221922,-0.03%,https://www.youtube.com/watch?v=9Xt140Pp6vo
89,n/a,Counting Stars,OneRepublic,19,218135,n/a,https://www.youtube.com/watch?v=hT_nvWreIhg
90,99,Me Gustas Tu,Manu Chao,5,213819,0.06%,https://www.youtube.com/watch?v=rs6Y4kZ8qtw
91,n/a,Enjoy the Silence,Depeche Mode,5,212141,n/a,https://www.youtube.com/watch?v=aGSKrC7dGcY
92,100,ACQUA TONICA (feat. Geolier & Junior K),Ernia,17,206314,0.03%,https://www.youtube.com/watch?v=6EcelzvNw3E
93,n/a,Yandel 150,Yandel & Feid,1,205603,n/a,https://www.youtube.com/watch?v=WHejvUhX6rk
94,n/a,Take 4,Shiva,19,203865,n/a,https://www.youtube.com/watch?v=dWcipGS717Q
95,n/a,NOTTI BLU,Alessandra Amoroso,17,202448,n/a,https://www.youtube.com/watch?v=Rpwob6I58-k
96,90,So' pront a giudica',Carmelo Lucifora,8,200733,-0.07%,https://www.youtube.com/watch?v=gDfRM2rvqfk
97,n/a,L'essenziale,Marco Mengoni,13,198778,n/a,https://www.youtube.com/watch?v=unRjK82bDLw
98,95,Sara' Perche Ti Amo,Ricchi e Poveri,4,198451,-0.04%,https://www.youtube.com/watch?v=Nn1IeHL5DHY
99,72,Senza Di Te,Me contro Te,8,197618,-0.3%,https://www.youtube.com/watch?v=7C7ZfH-9hkQ
100,n/a,Poker Face,Lady Gaga,9,196615,n/a,https://www.youtube.com/watch?v=bESGLojNYSo
