Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Due Vite,Marco Mengoni,4,6769537,-0.23%,https://www.youtube.com/watch?v=_iS4STWKSvk
2,2,SUPEREROI,Mr. Rain,4,5975548,-0.22%,https://www.youtube.com/watch?v=uuVBNyn3ZB8
3,3,CENERE,Lazza,4,5849801,-0.22%,https://www.youtube.com/watch?v=A5ab7U9RVLE
4,4,IL BENE NEL MALE,Madame,4,2438401,-0.25%,https://www.youtube.com/watch?v=Nq-u9jV1uEg
5,6,‘O Mar For (feat. Lolloflow Icaro & Raiz),Stefano Lentini,3,2333280,0.04%,https://www.youtube.com/watch?v=1TE3uEJL4s4
6,7,SHAKIRA,Bizarrap & Shakira,8,2147982,-0.02%,https://www.youtube.com/watch?v=CocEMWdc7Ck
7,8,Bellissima,Annalisa,26,1896506,-0.09%,https://www.youtube.com/watch?v=qz88Dx-_lA4
8,5,MADE IN ITALY,Rosa Chemical & Bdope,4,1811152,-0.2%,https://www.youtube.com/watch?v=UQuoY73tUsw
9,9,TANGO,Tananai,4,1758288,-0.13%,https://www.youtube.com/watch?v=C7ckx1gbDH0
10,n/a,TQG,KAROL G & Shakira,1,1527750,n/a,https://www.youtube.com/watch?v=jZGpkLElSu8
11,11,Flowers,Miley Cyrus,7,1490792,-0.1%,https://www.youtube.com/watch?v=G7KNmW9a75Y
12,n/a,ORIGAMI ALL'ALBA - MATTEO & LOLLOFLOW,Matteo Paolillo - Icaro & Lolloflow,1,1466543,n/a,https://www.youtube.com/watch?v=P-ZJLJCv0xs
13,10,Due (Live),Elodie,4,1295671,-0.27%,https://www.youtube.com/watch?v=T89rimi2Q8A
14,13,Cookies N' Cream,Guè & ANNA & Sfera Ebbasta,7,1294759,-0.16%,https://www.youtube.com/watch?v=z_D_SP5YGh0
15,24,COME VUOI,Geolier,8,1287691,0.48%,https://www.youtube.com/watch?v=aL0dOoLpf7M
16,n/a,Gelosa (feat. Shiva Sfera Ebbasta & Guè),Finesse,1,1195507,n/a,https://www.youtube.com/watch?v=oBS25dk7asc
