Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Brividi,Mahmood & BLANCO,8,2995566,-0.12%,https://www.youtube.com/watch?v=MA_5P3u0apQ
2,3,farfalle,Sangiovanni,8,2838642,-0.02%,https://www.youtube.com/watch?v=75fwUd-lX_o
3,2,Ovunque Sarai,Irama,8,2836479,-0.07%,https://www.youtube.com/watch?v=K4cPTgkYG9c
4,4,Ciao Ciao,La Rappresentante di Lista,8,2463557,-0.07%,https://www.youtube.com/watch?v=dxer4GwV1sc
5,6,Shakerando,Rhove,14,2093780,0.23%,https://www.youtube.com/watch?v=U6VMjHJ18a0
6,5,Dove Si Balla,Dargen D'Amico,8,1705676,-0.03%,https://www.youtube.com/watch?v=rCdHk1eTe34
7,7,We Don't Talk About Bruno,Angelica Hale,12,1396672,-0.04%,https://www.youtube.com/watch?v=0L2FMgvtVVg
8,n/a,Cancelo,Rhove,1,1239759,n/a,https://www.youtube.com/watch?v=7bdStitBuzk
9,n/a,Propaganda,Fabri Fibra & Colapesce & Dimartino,1,1204814,n/a,https://www.youtube.com/watch?v=VZgtEU4B70o
10,8,LA CODA DEL DIAVOLO,Rkomi & Elodie,16,1162960,-0.08%,https://www.youtube.com/watch?v=0kdY-4kaJKo
11,12,BABY GODDAMN,Tananai,5,1123990,0.05%,https://www.youtube.com/watch?v=PLin7dzqk_w
12,13,malibu,Sangiovanni,45,1034400,0%,https://www.youtube.com/watch?v=R24b7p8HuWo
13,10,Duecentomila ore,Ana Mena,8,1005750,-0.11%,https://www.youtube.com/watch?v=vi8XYHIou7c
14,15,Mi Fiderò (feat. Madame),Marco Mengoni,15,996957,0%,https://www.youtube.com/watch?v=hfC__TAl8YA
15,9,Tu Comm'a Mme,Gianni Celeste,7,991567,-0.17%,https://www.youtube.com/watch?v=P7q8xSvxKPI
16,n/a,Caos,Fabri Fibra & Lazza & Madame,1,980742,n/a,https://www.youtube.com/watch?v=ZTKTfGFZ5Rc
17,14,O Forse Sei Tu,Elisa,8,967558,-0.05%,https://www.youtube.com/watch?v=0vrbQcOiq-k
18,11,Bagno a mezzanotte,Elodie,3,965732,-0.12%,https://www.youtube.com/watch?v=XSHcZ4rcBDk
