Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Fai Rumore,Diodato,3,6257764,0.06%,https://www.youtube.com/watch?v=tPv9ZPXmFWU
2,2,Viceversa,Francesco Gabbani,3,5572267,0.27%,https://www.youtube.com/watch?v=cNoylMSXYcE
3,3,Musica (E Il Resto Scompare),Elettra Lamborghini,3,3212982,-0.2%,https://www.youtube.com/watch?v=-8B-msCuuFA
4,6,Dance Monkey,Tones and I,23,2741787,-0.09%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
5,10,Rapide,Mahmood,5,2639651,0.19%,https://www.youtube.com/watch?v=ChJ57Av10Mw
6,7,Una volta ancora (feat. Ana Mena),Fred De Palma,37,2561084,-0.01%,https://www.youtube.com/watch?v=4R5mDpIgwUs
7,8,Per sentirmi vivo,Fasma & G.G.,6,2408078,-0.06%,https://www.youtube.com/watch?v=T-sWpqN2yo8
8,9,Ringo Starr,Pinguini Tattici Nucleari,3,2391554,0.07%,https://www.youtube.com/watch?v=J3n4CrZxu3g
9,28,Stu core t'apparten,Rocco Hunt,6,2244580,1.02%,https://www.youtube.com/watch?v=AN4fJ87ldHI
10,11,Ti Volevo Dedicare,Rocco Hunt & Omar Montes & Reik,25,2157176,0.02%,https://www.youtube.com/watch?v=kFF2i6sUj1M
11,5,Andromeda,Elodie,3,2135198,-0.34%,https://www.youtube.com/watch?v=esgGK28jKVk
12,16,Sincero,Bugo & Morgan,2,1939360,0.49%,https://www.youtube.com/watch?v=i8kBWDgW3nk
13,13,Tikibombom,Levante,2,1765447,0.08%,https://www.youtube.com/watch?v=MlofRex31rg
14,4,Dov'è,Le Vibrazioni,3,1631916,-0.54%,https://www.youtube.com/watch?v=ffC3eV4V8L0
15,12,La Vendetta del Signor S,Me contro Te,12,1415516,-0.17%,https://www.youtube.com/watch?v=xb9-k46AB3s
16,15,DOVE E QUANDO,Benji & Fede,38,1396680,0.04%,https://www.youtube.com/watch?v=4QhyYngmW0I
17,17,La Mia Hit (feat. Max Pezzali),J-Ax,6,1305939,0.01%,https://www.youtube.com/watch?v=VZpX7WkHnj4
18,14,Boogieman (feat. Salmo),Ghali,5,1300776,-0.16%,https://www.youtube.com/watch?v=-7lqGbIE3aM
19,21,Margarita,Elodie & Marracash,36,1289598,0.06%,https://www.youtube.com/watch?v=xgnPeROggH4
20,32,Me Ne Frego,Achille Lauro,2,1222382,0.22%,https://www.youtube.com/watch?v=KN47Lv6xNRo
21,24,Gigante,Piero Pelù,2,1145911,-0.03%,https://www.youtube.com/watch?v=tvSagoWzr9g
22,27,Blinding Lights,The Weeknd,7,1145880,0.02%,https://www.youtube.com/watch?v=4NRXx6U8ABQ
23,18,RITMO (Bad Boys for Life),Black Eyed Peas & J Balvin,19,1127667,-0.1%,https://www.youtube.com/watch?v=EzKkl64rRbM
24,19,Allora ciao,Shade,6,1115428,-0.11%,https://www.youtube.com/watch?v=9dmpUjW18MQ
25,29,Barrio,Mahmood,25,1115265,0.02%,https://www.youtube.com/watch?v=7Fmpz-wIkPY
26,22,blun7 a swishland,thasup,15,1105464,-0.08%,https://www.youtube.com/watch?v=N3qxFptQbVA
27,31,Non Avere Paura,Tommaso Paradiso,21,1100262,0.07%,https://www.youtube.com/watch?v=C6sDLa9XO3U
