Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,2,CHIAMAMI PER NOME,Francesca Michielin & Fedez,2,8916448,3.44%,https://www.youtube.com/watch?v=F92zPP2FbwE
2,19,Musica leggerissima,Colapesce & Dimartino,2,6913982,6.84%,https://www.youtube.com/watch?v=Q7NjUxGMv7Y
3,35,ZITTI E BUONI,Måneskin,2,5139351,7.38%,https://www.youtube.com/watch?v=QN1odfjtMoo
4,n/a,La genesi del tuo colore,Irama,1,4816665,n/a,https://www.youtube.com/watch?v=ksTDwL45sO0
5,8,VOCE,Madame,2,4681743,2.37%,https://www.youtube.com/watch?v=cFAtUbi7a8w
6,n/a,Un milione di cose da dirti,Ermal Meta,1,3488450,n/a,https://www.youtube.com/watch?v=sC7UluoMaWY
7,3,Dieci,Annalisa,2,3067046,0.68%,https://www.youtube.com/watch?v=dVLen7OOG38
8,12,Glicine,Noemi,2,2668603,1.55%,https://www.youtube.com/watch?v=WuXm-dk8jQo
9,n/a,Mai Dire Mai (La Locura),Willie Peyote,1,2321424,n/a,https://www.youtube.com/watch?v=fJtnqQ1RTg4
10,n/a,Fiamme negli occhi,Coma_Cose,1,2231923,n/a,https://www.youtube.com/watch?v=MJhkALvLs0s
11,1,LA CANZONE NOSTRA,MACE & Blanco & Salmo,9,2130417,-0.07%,https://www.youtube.com/watch?v=XE6lV6xseQ4
12,10,Potevi fare di più,Arisa,2,2120118,0.88%,https://www.youtube.com/watch?v=BNPN2qH_yTE
13,26,ORA,AIELLO,2,1628852,1.24%,https://www.youtube.com/watch?v=sX3mGMmLGnQ
14,5,Che me chiamme a fa?,Rocco Hunt & Geolier,3,1582167,-0.09%,https://www.youtube.com/watch?v=Vo00UBqXJRc
15,4,Venere e Marte (feat. Marco Mengoni & Frah Quintale),Takagi & Ketra,9,1512879,-0.17%,https://www.youtube.com/watch?v=BfDsoB0jhsY
16,6,A Un Passo Dalla Luna,Rocco Hunt & Ana Mena,36,1481676,-0.11%,https://www.youtube.com/watch?v=Kh-Dz1Fuo1E
17,n/a,Torna a casa,Måneskin,41,1410399,n/a,https://www.youtube.com/watch?v=ZZjnfWx0cvw
18,7,lady,Sangiovanni,7,1349767,-0.09%,https://www.youtube.com/watch?v=2yivf9LdbhI
19,9,Karaoke,Boomdabash & Alessandra Amoroso,39,1149833,-0.1%,https://www.youtube.com/watch?v=fHFx6FbUMRQ
20,90,Parlami,Fasma & ,2,1132961,2.83%,https://www.youtube.com/watch?v=H0C63z3DPE0
21,53,VENT'ANNI,Måneskin,19,1091796,1.39%,https://www.youtube.com/watch?v=XD77aMyCv0Q
22,n/a,Morirò da Re,Måneskin,30,1088469,n/a,https://www.youtube.com/watch?v=iywXK9Dj2o4
23,n/a,Cuore amaro,Gaia,1,1014950,n/a,https://www.youtube.com/watch?v=O3zNAEnOIiA
24,n/a,Ti piaci così,Malika Ayane,1,1007681,n/a,https://www.youtube.com/watch?v=aIqDWg4ovYM
