Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Musica leggerissima,Colapesce & Dimartino,7,4083643,-0.24%,https://www.youtube.com/watch?v=Q7NjUxGMv7Y
2,3,lady,Sangiovanni,12,3496499,0.01%,https://www.youtube.com/watch?v=2yivf9LdbhI
3,4,CHIAMAMI PER NOME,Francesca Michielin & Fedez,7,2652898,-0.14%,https://www.youtube.com/watch?v=F92zPP2FbwE
4,7,Ti raggiungerò,Fred De Palma,5,2388364,0.09%,https://www.youtube.com/watch?v=2WMYOxpRVMI
5,5,La genesi del tuo colore,Irama,6,2301946,-0.08%,https://www.youtube.com/watch?v=ksTDwL45sO0
6,6,VOCE,Madame,7,2257846,0.03%,https://www.youtube.com/watch?v=cFAtUbi7a8w
7,2,Mi troverai,Me contro Te,2,2019214,-0.46%,https://www.youtube.com/watch?v=jxGYsWlDGDw
8,11,Mi Manchi,Aka 7even,7,1634678,0.24%,https://www.youtube.com/watch?v=qvJPtngb15E
9,19,0 passi,Deddy,2,1557401,0.72%,https://www.youtube.com/watch?v=6WrNGmVXK-g
10,8,ZITTI E BUONI,Måneskin,7,1493501,-0.19%,https://www.youtube.com/watch?v=QN1odfjtMoo
11,9,LA CANZONE NOSTRA,MACE & Blanco & Salmo,14,1380145,-0.12%,https://www.youtube.com/watch?v=XE6lV6xseQ4
12,10,A Un Passo Dalla Luna,Rocco Hunt & Ana Mena,41,1328439,-0.15%,https://www.youtube.com/watch?v=Kh-Dz1Fuo1E
13,12,Yo No Sé,RVFV & Pablo Mas,6,1258912,-0.03%,https://www.youtube.com/watch?v=0ZLw3Insx3A
14,14,Dieci,Annalisa,7,1120151,-0.07%,https://www.youtube.com/watch?v=dVLen7OOG38
15,15,MONTERO (Call Me By Your Name),Lil Nas X,3,1105625,0.03%,https://www.youtube.com/watch?v=6swmTBVI83k
16,n/a,Sorriso Grande,Alessandra Amoroso,1,1072274,n/a,https://www.youtube.com/watch?v=BrzbvJsc3zI
17,13,Karaoke,Boomdabash & Alessandra Amoroso,44,1039945,-0.19%,https://www.youtube.com/watch?v=fHFx6FbUMRQ
18,24,Las Vegas,Tancredi Cantù,3,956380,0.24%,https://www.youtube.com/watch?v=nfJvrnsNbxY
19,22,Il Cielo Contromano,Deddy,14,926283,0.13%,https://www.youtube.com/watch?v=KWuCW9gTyds
20,16,Che me chiamme a fa?,Rocco Hunt & Geolier,8,911774,-0.12%,https://www.youtube.com/watch?v=Vo00UBqXJRc
21,18,Glicine,Noemi,7,909876,-0.03%,https://www.youtube.com/watch?v=WuXm-dk8jQo
22,17,Venere e Marte (feat. Marco Mengoni & Frah Quintale),Takagi & Ketra,14,877216,-0.12%,https://www.youtube.com/watch?v=BfDsoB0jhsY
23,20,Jerusalema (feat. Nomcebo Zikode),Master KG,43,841209,-0.06%,https://www.youtube.com/watch?v=fCZVL_8D048
24,n/a,Lifestyle,Guè & DJ Harsh,1,811106,n/a,https://www.youtube.com/watch?v=n0YmcbgZJ5k
25,25,tutta la notte,Sangiovanni,8,802520,0.07%,https://www.youtube.com/watch?v=KQ2MthnRg1w
