Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Brividi,Mahmood & BLANCO,7,3410714,-0.16%,https://www.youtube.com/watch?v=MA_5P3u0apQ
2,2,Ovunque Sarai,Irama,7,3065580,-0.18%,https://www.youtube.com/watch?v=K4cPTgkYG9c
3,3,farfalle,Sangiovanni,7,2889603,-0.01%,https://www.youtube.com/watch?v=75fwUd-lX_o
4,4,Ciao Ciao,La Rappresentante di Lista,7,2650169,-0.07%,https://www.youtube.com/watch?v=dxer4GwV1sc
5,6,Dove Si Balla,Dargen D'Amico,7,1760898,0.02%,https://www.youtube.com/watch?v=rCdHk1eTe34
6,9,Shakerando,Rhove,13,1700583,0.24%,https://www.youtube.com/watch?v=U6VMjHJ18a0
7,7,We Don't Talk About Bruno,Angelica Hale,11,1459612,-0.04%,https://www.youtube.com/watch?v=0L2FMgvtVVg
8,10,LA CODA DEL DIAVOLO,Rkomi & Elodie,15,1270279,-0.02%,https://www.youtube.com/watch?v=0kdY-4kaJKo
9,5,Tu Comm'a Mme,Gianni Celeste,6,1189137,-0.38%,https://www.youtube.com/watch?v=P7q8xSvxKPI
10,8,Duecentomila ore,Ana Mena,7,1124567,-0.2%,https://www.youtube.com/watch?v=vi8XYHIou7c
11,66,Bagno a mezzanotte,Elodie,2,1096533,2.2%,https://www.youtube.com/watch?v=XSHcZ4rcBDk
12,18,BABY GODDAMN,Tananai,4,1070297,0.16%,https://www.youtube.com/watch?v=PLin7dzqk_w
13,17,malibu,Sangiovanni,44,1035186,0.1%,https://www.youtube.com/watch?v=R24b7p8HuWo
14,11,O Forse Sei Tu,Elisa,7,1022539,-0.13%,https://www.youtube.com/watch?v=0vrbQcOiq-k
15,12,Mi Fiderò (feat. Madame),Marco Mengoni,14,997647,-0.02%,https://www.youtube.com/watch?v=hfC__TAl8YA
16,19,MI FAI IMPAZZIRE,BLANCO & Sfera Ebbasta,39,914099,0.01%,https://www.youtube.com/watch?v=FJNOkLCIg5Y
17,20,Un bacio all'improvviso,Rocco Hunt & Ana Mena,41,895090,0.02%,https://www.youtube.com/watch?v=FIfhgM_Uok8
18,15,Pistole Nella Fendi,Niko Pandetta,9,877774,-0.09%,https://www.youtube.com/watch?v=IMhEIjGBs1Y
19,16,Ogni Volta È Così (Live),Emma,7,876927,-0.08%,n/a
20,13,∞ LOVE (feat. Guè),Marracash,17,822421,-0.19%,https://www.youtube.com/watch?v=6cIiWPGnTbY
21,27,TRAVESURAS,SLF & MV Killa & Yung Snapp & Lele Blade & Vale Lambo,9,804270,0.04%,https://www.youtube.com/watch?v=HZ9Oi0mMfiY
22,21,Apri tutte le porte,Gianni Morandi,7,793613,-0.06%,https://www.youtube.com/watch?v=CCQIGH6dl9U
23,25,Pastello Bianco,Pinguini Tattici Nucleari,31,789475,-0.01%,https://www.youtube.com/watch?v=JcLH8qsHNN4
24,n/a,Comandamento,Paky & Geolier,1,778196,n/a,https://www.youtube.com/watch?v=kk1PM8vszyo
25,29,Pepas,Farruko,33,774060,0.01%,https://www.youtube.com/watch?v=y8trd3gjJt0
26,22,INSUPERABILE,Rkomi,7,747086,-0.09%,https://www.youtube.com/watch?v=tXeh4PZBgY0
27,23,Pensando a lei,Shiva,5,742114,-0.09%,https://www.youtube.com/watch?v=PbP_-Xs0Di8
28,28,Virale,Matteo Romano,6,719937,-0.07%,https://www.youtube.com/watch?v=ciUEwnSbry8
29,n/a,Star,Paky & Shiva,1,711916,n/a,https://www.youtube.com/watch?v=YcQOMEKoUfM
30,31,MILLE,Fedez & Achille Lauro & Orietta Berti,40,703568,-0.02%,https://www.youtube.com/watch?v=l6N-Yq9Fw4U
31,26,Finché Non Mi Seppelliscono,BLANCO,27,694221,-0.12%,https://www.youtube.com/watch?v=7p09c3GgF4A
32,30,Perfetta Così,Aka 7even,6,691737,-0.07%,https://www.youtube.com/watch?v=xmJiSoIOfyU
33,34,Yo Voy (feat. Daddy Yankee),Zion & Lennox,5,681792,0.05%,https://www.youtube.com/watch?v=jR_j-LPLBvU
34,n/a,Vita sbagliata,Paky,1,678045,n/a,https://www.youtube.com/watch?v=dRXE6QOAhm4
35,33,Notti In Bianco,BLANCO,46,658395,-0.01%,https://www.youtube.com/watch?v=wppn2Via-Tk
36,32,SESSO OCCASIONALE,Tananai,6,653908,-0.04%,https://www.youtube.com/watch?v=6CMMrUn9zPY
37,35,Surface Pressure,Jessica Darrow,4,579344,-0.06%,https://www.youtube.com/watch?v=tQwVKr8rCYw
38,56,CASA,Neima Ezza,5,578318,0.47%,https://www.youtube.com/watch?v=FPtikhp4EhY
39,57,Blauer,Paky,7,571242,0.46%,https://www.youtube.com/watch?v=Bf3X8b2g0Sg
40,24,Eurovision (feat. Rondodasosa Baby Gang A2anti Morad Beny Jr ASHE 22 & Freeze Corleone),Central Cee,3,571021,-0.3%,https://www.youtube.com/watch?v=ZlnLvLDP4Zg
41,36,TARANTELLE,SIMBA LA RUE & Bobo,5,556755,-0.08%,https://www.youtube.com/watch?v=BLJVnkjJxtA
42,14,Storie tristi,Paky & Night Skinny,2,542858,-0.46%,https://www.youtube.com/watch?v=uVlkJa4ok9A
43,37,CRAZY LOVE,Marracash,17,534293,-0.11%,https://www.youtube.com/watch?v=JHqxzM2tZHs
44,n/a,No wallet,Paky & Marracash,1,526593,n/a,https://www.youtube.com/watch?v=eRK8XZJu7-A
45,40,LAPROVINCE #1,Rhove,8,506227,-0.1%,https://www.youtube.com/watch?v=hldgtVJ7uNA
46,39,Chimica,Ditonellapiaga & Donatella Rettore,6,501101,-0.12%,https://www.youtube.com/watch?v=2rsteQ4OdLE
47,n/a,Auto tedesca,Paky,1,497004,n/a,https://www.youtube.com/watch?v=D8WSp5zV3Vw
48,48,Heat Waves,Glass Animals,22,483432,0.1%,https://www.youtube.com/watch?v=mRD0-GxqHVo
49,43,Movimento lento,Annalisa,42,467264,0%,https://www.youtube.com/watch?v=rv2KSakpnc0
50,38,Sei tu,Fabrizio Moro,7,466939,-0.19%,https://www.youtube.com/watch?v=dS5mn2tZX4Y
51,44,abcdefu,GAYLE,18,456006,-0.01%,https://www.youtube.com/watch?v=NaFd8ucHLuo
52,74,Tutte le notti,Tommaso Paradiso,2,435336,0.53%,https://www.youtube.com/watch?v=i9TBOZTik88
53,65,Loca,Aka 7even,32,401657,0.14%,https://www.youtube.com/watch?v=gNsZZSKV-n8
54,46,DOMENICA,Achille Lauro,7,399942,-0.12%,https://www.youtube.com/watch?v=-iq4e2q2rzY
55,52,Bella Vita,Niko Pandetta,8,399556,-0.04%,https://www.youtube.com/watch?v=uei0wDoHGA4
56,n/a,Mi manchi,Paky,1,392437,n/a,https://www.youtube.com/watch?v=fOVrTSqVOXc
57,59,CADILLAC,SLF & MV Killa & Geolier & Tony Effe,7,389868,0%,https://www.youtube.com/watch?v=vskcDjk2msI
58,n/a,Intro,Paky,1,387165,n/a,https://www.youtube.com/watch?v=6lHtShqiGxs
59,45,Mama I’m a Criminal,Paky,4,379458,-0.16%,https://www.youtube.com/watch?v=Iep6KOcAxYY
60,60,Enemy (feat. JID),Imagine Dragons,18,368255,-0.04%,https://www.youtube.com/watch?v=D9G1VOjN_84
61,62,Unstoppable,Sia,19,364509,-0.02%,https://www.youtube.com/watch?v=YaEG2aWJnZ8
62,53,All Of You (Karaoke),Sing King,4,364011,-0.13%,n/a
63,58,Canzone inutile,Alessandra Amoroso,18,348565,-0.11%,https://www.youtube.com/watch?v=sLtcmMAINRY
64,61,SOLITE PARE,Sick Luke & thasup & Sfera Ebbasta,10,346581,-0.06%,https://www.youtube.com/watch?v=Y4IyWe4qNGg
65,54,Ti amo non lo so dire,Noemi,7,344505,-0.14%,https://www.youtube.com/watch?v=6Fj-cufiyqc
66,70,Odi et Amo,Blake El diablo,5,341170,0.12%,https://www.youtube.com/watch?v=EuOGi6T-kPM
67,41,Bam Bam (feat. Ed Sheeran),Camila Cabello,2,340584,-0.32%,https://www.youtube.com/watch?v=-8VfKZCOo_I
68,n/a,Quando piove,Paky,1,338216,n/a,https://www.youtube.com/watch?v=wdii3oV-WZQ
69,68,Tondo,Luigi Strangis,3,334088,0.03%,https://www.youtube.com/watch?v=1qKDzWgK4Dw
70,n/a,Giorno del giudizio,Paky & Luchè & Mahmood,1,333525,n/a,https://www.youtube.com/watch?v=QwvKBMuLnSM
71,55,BlaBlaBla,MamboLosco & Nardi & Finesse,4,332471,-0.15%,https://www.youtube.com/watch?v=PHXW9TSuhSo
72,51,I Draw My Life,Ameli,3,331783,-0.23%,https://www.youtube.com/watch?v=dzPmfaWXsvE
73,n/a,100 Uomini,Paky,1,326352,n/a,https://www.youtube.com/watch?v=kMpKRbTGg0Y
74,67,Mujeriego,Ryan Castro,7,323543,-0.02%,https://www.youtube.com/watch?v=SAvVnVNSvDk
75,n/a,Vivi o muori,Paky & Guè,1,317299,n/a,https://www.youtube.com/watch?v=QlUvxpElJLE
76,n/a,Pascià,Paky,1,316238,n/a,https://www.youtube.com/watch?v=y3Y_UYmXCQw
77,80,In The Dark,Purple Disco Machine & Sophie and the Giants,4,313380,0.17%,https://www.youtube.com/watch?v=ZDrlmlzY7cE
78,64,Inverno dei fiori,Michele Bravi,7,309725,-0.13%,https://www.youtube.com/watch?v=EYA9f4_Ofnw
79,85,CRISALIDI,Mr. Rain,2,301286,0.18%,https://www.youtube.com/watch?v=UvzbZKaW0mQ
80,49,Una Lacrima (feat. Sfera Ebbasta),Irama,3,300998,-0.31%,https://www.youtube.com/watch?v=obpOQWwaymU
81,n/a,MAKUMBA,Noemi & Carl Brave,23,300724,n/a,https://www.youtube.com/watch?v=nlYE4XBPSkQ
82,n/a,Guerriero,Marco Mengoni,23,299804,n/a,https://www.youtube.com/watch?v=fK8LrzzC4-8
83,78,Si Te Vas / Que Tengo Que Hacer,Omega,10,299718,0.09%,https://www.youtube.com/watch?v=xWp3xsKiQfs
84,76,123 (feat. MamboLosco),Niko Pandetta,6,297949,0.05%,https://www.youtube.com/watch?v=7CvzTfO_35I
85,84,Zombie,The Cranberries,4,297659,0.14%,https://www.youtube.com/watch?v=6Ejga4kJUts
86,63,Seignosse,Rhove,4,295364,-0.2%,https://www.youtube.com/watch?v=hVDKz8YOOQo
87,71,Bitch Affianco (feat. Il Ghost),Baby Gang & Bobo,13,291607,-0.01%,https://www.youtube.com/watch?v=ZPWoPO4Cyi8
