Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Sinceramente,Annalisa,3,11042829,-0.11%,https://www.youtube.com/watch?v=NfEp5l0UMBE
2,4,TUTA GOLD,Mahmood,3,10350381,0.11%,https://www.youtube.com/watch?v=Pz168-XMNIk
3,3,I P’ ME TU P’ TE,Geolier,3,7410120,-0.29%,https://www.youtube.com/watch?v=qon1NJ6D3co
4,5,la noia,Angelina Mango,3,6907115,-0.24%,https://www.youtube.com/watch?v=psiytW9Or2s
5,7,Casa Mia,Ghali,3,5469378,0.02%,https://www.youtube.com/watch?v=hdcIhDr2MG0
6,6,Tu No,Irama,3,4089853,-0.38%,https://www.youtube.com/watch?v=m7-hIpk6vNI
7,8,UN RAGAZZO UNA RAGAZZA,The Kolors,3,4071402,-0.08%,https://www.youtube.com/watch?v=L6c_NhXeGYo
8,2,La rondine,Angelina Mango,4,2999935,-0.76%,https://www.youtube.com/watch?v=6hX-5NAp41I
9,12,Pazza,Loredana Berté,3,2090588,0.06%,https://www.youtube.com/watch?v=RipSewkfsUg
10,13,Vai!,Alfa,3,2051052,0.04%,https://www.youtube.com/watch?v=Z6X3K13EqQI
11,9,CLICK BOOM!,Rose Villain,3,2050472,-0.07%,https://www.youtube.com/watch?v=8mCBkGR_PRc
12,17,DIAMANTI GREZZI,CLARA  ,3,1860020,0.05%,https://www.youtube.com/watch?v=XoeS9zTGFmg
13,21,Ma non tutta la vita,Ricchi e Poveri,3,1727809,0.66%,https://www.youtube.com/watch?v=lhmB3KIXchA
14,16,APNEA,Emma,3,1639535,-0.09%,https://www.youtube.com/watch?v=Jf5nOnCWicA
15,15,Che t'o dico a fa',Angelina Mango,20,1456280,-0.21%,https://www.youtube.com/watch?v=cHqS0XR8pns
16,11,Onda Alta,Dargen D'Amico,3,1440199,-0.3%,https://www.youtube.com/watch?v=kgmlAjANbE4
17,10,DUE ALTALENE,Mr. Rain,3,1190907,-0.43%,https://www.youtube.com/watch?v=S9jE_80Bnm8
18,20,Capolavoro (Live),Il Volo,3,1179482,0.06%,https://www.youtube.com/watch?v=vJ4xWqJZWkY
19,18,COME VUOI,Geolier,54,1063074,-0.14%,https://www.youtube.com/watch?v=aL0dOoLpf7M
