Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Sinceramente,Annalisa,4,8959921,-0.19%,https://www.youtube.com/watch?v=NfEp5l0UMBE
2,2,TUTA GOLD,Mahmood,4,8593690,-0.17%,https://www.youtube.com/watch?v=Pz168-XMNIk
3,3,I P’ ME TU P’ TE,Geolier,4,5515316,-0.26%,https://www.youtube.com/watch?v=qon1NJ6D3co
4,4,la noia,Angelina Mango,4,5454678,-0.21%,https://www.youtube.com/watch?v=psiytW9Or2s
5,5,Casa Mia,Ghali,4,4544352,-0.17%,https://www.youtube.com/watch?v=hdcIhDr2MG0
6,7,UN RAGAZZO UNA RAGAZZA,The Kolors,4,3290579,-0.19%,https://www.youtube.com/watch?v=L6c_NhXeGYo
7,6,Tu No,Irama,4,3059129,-0.25%,https://www.youtube.com/watch?v=m7-hIpk6vNI
8,13,Ma non tutta la vita,Ricchi e Poveri,4,2233396,0.29%,https://www.youtube.com/watch?v=lhmB3KIXchA
9,11,CLICK BOOM!,Rose Villain,4,1990704,-0.03%,https://www.youtube.com/watch?v=8mCBkGR_PRc
10,9,Pazza,Loredana Berté,4,1817875,-0.13%,https://www.youtube.com/watch?v=RipSewkfsUg
11,8,La rondine,Angelina Mango,5,1728240,-0.42%,https://www.youtube.com/watch?v=6hX-5NAp41I
12,10,Vai!,Alfa,4,1719507,-0.16%,https://www.youtube.com/watch?v=Z6X3K13EqQI
13,14,APNEA,Emma,4,1500459,-0.08%,https://www.youtube.com/watch?v=Jf5nOnCWicA
14,12,DIAMANTI GREZZI,CLARA  ,4,1460851,-0.21%,https://www.youtube.com/watch?v=XoeS9zTGFmg
15,15,Che t'o dico a fa',Angelina Mango,21,1312202,-0.1%,https://www.youtube.com/watch?v=cHqS0XR8pns
16,18,Capolavoro (Live),Il Volo,4,1124226,-0.05%,https://www.youtube.com/watch?v=vJ4xWqJZWkY
17,n/a,100 MESSAGGI,Lazza,1,1090780,n/a,https://www.youtube.com/watch?v=F7katA08VeA
18,n/a,In Italia 2024 (feat. Baby Gang),Fabri Fibra,1,1082103,n/a,https://www.youtube.com/watch?v=n3CEdEGrTug
19,16,Onda Alta,Dargen D'Amico,4,1016186,-0.29%,https://www.youtube.com/watch?v=kgmlAjANbE4
20,17,DUE ALTALENE,Mr. Rain,4,890737,-0.25%,https://www.youtube.com/watch?v=S9jE_80Bnm8
21,20,Mariposa (LIve),Fiorella Mannoia,4,867752,-0.13%,https://www.youtube.com/watch?v=TxESTffH9nw
22,21,ITALODISCO (Karaoke Version),The Kolors,42,836779,-0.09%,https://www.youtube.com/watch?v=3l9a1uvoIp0
23,24,Fino a qui,Alessandra Amoroso,4,783083,-0.05%,https://www.youtube.com/watch?v=f8T7lJILPJo
24,23,Calcolatrici,Sfera Ebbasta & Geolier & SIMBA LA RUE,15,740494,-0.1%,https://www.youtube.com/watch?v=J_CVyGZp4Qs
25,25,EVERYDAY (feat. Shiva ANNA & Geolier),Takagi & Ketra,20,702986,-0.11%,https://www.youtube.com/watch?v=KKMdXAAIIMA
26,29,VETRI NERI,AVA & ANNA & Capo Plaza,41,660690,0%,https://www.youtube.com/watch?v=2jCjNv1bscw
27,27,Ci pensiamo domani,Angelina Mango,42,652560,-0.08%,https://www.youtube.com/watch?v=sagx_4ioTEk
28,n/a,TEKKEN (feat. SIMBA LA RUE),Niky Savage,1,627577,n/a,https://www.youtube.com/watch?v=iIik9B-TZSY
29,32,Mon Amour,Annalisa,48,618674,-0.04%,https://www.youtube.com/watch?v=RzyD08-w-tk
30,30,Euforia,Annalisa,15,556816,-0.15%,https://www.youtube.com/watch?v=fQh18qAZWZU
31,28,Tutto Qui (Live),Gazzelle,4,549213,-0.22%,https://www.youtube.com/watch?v=VNnn9X4GWY0
32,26,AUTODISTRUTTIVO,LA SAD,4,548628,-0.26%,https://www.youtube.com/watch?v=R05WVYo4lsw
33,34,Vulisse fa peccato (feat. Giusy Attanasio),Nando De Marco,11,541929,-0.07%,https://www.youtube.com/watch?v=uiie1Jb9k-k
34,33,Brivido (feat. Marracash),Guè,27,509550,-0.17%,https://www.youtube.com/watch?v=QHD5ScEAmFI
35,31,FRAGILI,Il Tre,4,496858,-0.24%,https://www.youtube.com/watch?v=y5QwrT_EobE
36,39,ROSSOFUOCO,Mida,16,486907,-0.1%,https://www.youtube.com/watch?v=0OFdrhcqdno
37,47,Plaza Freestyle,DJ Princex,8,478991,0.09%,https://www.youtube.com/watch?v=4siMuPDAp4c
38,n/a,ADDO STAJE (Ride it RMX),Le-one & VTR,1,476323,n/a,https://www.youtube.com/watch?v=Zig8kbHaooU
39,59,Beautiful Things,Benson Boone,4,474606,0.29%,https://www.youtube.com/watch?v=Oa_RSwwpPaA
40,37,Ti muovi,Diodato,4,457841,-0.18%,https://www.youtube.com/watch?v=W8EayE3KdOE
41,43,bellissimissima <3,Alfa,37,453963,-0.1%,https://www.youtube.com/watch?v=330xZ5xFF68
42,38,RED,STE,7,436655,-0.2%,https://www.youtube.com/watch?v=Wn-OLoI-hfY
43,52,Mwaki (feat. Sofiya Nzau),Zerb,7,426930,0.04%,https://www.youtube.com/watch?v=y6iMvNkAQt4
44,45,Ti Sento,Matia Bazar,16,416165,-0.1%,https://www.youtube.com/watch?v=FOadUytpMEU
45,54,Seya,Morad & GIMS,17,407933,0.01%,https://www.youtube.com/watch?v=uUAJFN7-FdQ
46,46,Anche Stasera,Sfera Ebbasta & Elodie,15,407841,-0.07%,https://www.youtube.com/watch?v=kOdgi9A-AJ4
47,40,IL MALE CHE MI FAI (feat. Marracash),Geolier,46,401163,-0.24%,https://www.youtube.com/watch?v=XFVFu5ltDdo
48,42,La rabbia non ti basta,BigMama,3,392780,-0.23%,https://www.youtube.com/watch?v=UymqXckCJj8
49,58,Foglie D'Autunno,Matteo Paolillo - Icaro & Lolloflow,2,390013,0.04%,https://www.youtube.com/watch?v=tCxaQbx_C2E
50,50,15 Piani,Sfera Ebbasta & Marracash,15,386224,-0.08%,https://www.youtube.com/watch?v=7puLc-Nw5mc
51,57,Bee,Vale Lambo,6,379845,-0.01%,https://www.youtube.com/watch?v=3oEqKPsr7Ms
52,44,l'amore in bocca,SANTI FRANCESI,3,363329,-0.27%,https://www.youtube.com/watch?v=quFGreXfKKg
53,62,TUNNEL,SIMBA LA RUE & FT Kings,8,363011,0.06%,https://www.youtube.com/watch?v=CmcyjbJ7Q1w
54,53,Moneylove (feat. Emis Killa),Massimo Pericolo,13,362170,-0.11%,https://www.youtube.com/watch?v=hq2dg2MU6b4
55,69,Lose Control (Live),Teddy Swims,6,355764,0.26%,https://www.youtube.com/watch?v=GZ3zL7kT6_c
56,48,GOVERNO PUNK,bnkr44,3,338344,-0.22%,https://www.youtube.com/watch?v=mWCIbuJBHd8
57,56,P Secondigliano,Geolier & Nicola Siciliano,19,333552,-0.17%,https://www.youtube.com/watch?v=xlcNWxevZQA
58,64,Petit Fou Fou,Rhove & ANNA,10,315204,-0.06%,https://www.youtube.com/watch?v=9LJ2Gr2qQrU
59,35,Il Doc 4 (feat. Ernia Emis Killa & Niky Savage),VillaBanks,3,310552,-0.46%,https://www.youtube.com/watch?v=pSfSoFkfAwg
