Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Viceversa,Francesco Gabbani,5,4690062,-0.02%,https://www.youtube.com/watch?v=cNoylMSXYcE
2,3,Musica (E Il Resto Scompare),Elettra Lamborghini,5,3673167,-0.04%,https://www.youtube.com/watch?v=-8B-msCuuFA
3,2,Fai Rumore,Diodato,5,3580957,-0.21%,https://www.youtube.com/watch?v=tPv9ZPXmFWU
4,16,Bando,ANNA,3,2953818,1.08%,n/a
5,6,Dance Monkey,Tones and I,25,2497915,0.07%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
6,5,Una volta ancora (feat. Ana Mena),Fred De Palma,39,2395550,0.01%,https://www.youtube.com/watch?v=4R5mDpIgwUs
7,7,Rapide,Mahmood,7,2309370,0.01%,https://www.youtube.com/watch?v=ChJ57Av10Mw
8,4,Per sentirmi vivo,Fasma & G.G.,8,2301900,-0.04%,https://www.youtube.com/watch?v=T-sWpqN2yo8
9,8,Ringo Starr,Pinguini Tattici Nucleari,5,2101153,-0.07%,https://www.youtube.com/watch?v=J3n4CrZxu3g
10,11,Boogieman (feat. Salmo),Ghali,7,2091748,0.2%,https://www.youtube.com/watch?v=-7lqGbIE3aM
11,10,Ti Volevo Dedicare,Rocco Hunt & Omar Montes & Reik,27,1980325,-0.06%,https://www.youtube.com/watch?v=kFF2i6sUj1M
12,21,Good Times,Ghali,2,1808390,0.42%,https://www.youtube.com/watch?v=w2KZGGkvLe8
13,9,Andromeda,Elodie,5,1775135,-0.16%,https://www.youtube.com/watch?v=esgGK28jKVk
14,n/a,Danza (feat. Marco Calone & Pino Franzese),Niko Pandetta,1,1654622,n/a,https://www.youtube.com/watch?v=Jhb9ibvygZ8
15,19,Fuego,Neves17 & Geolier & Lele Blade,5,1651016,0.19%,https://www.youtube.com/watch?v=gh3CcAKwsWM
16,15,DOVE E QUANDO,Benji & Fede,40,1526741,0%,https://www.youtube.com/watch?v=4QhyYngmW0I
17,14,Tikibombom,Levante,4,1508096,-0.04%,https://www.youtube.com/watch?v=MlofRex31rg
18,13,Stu core t'apparten,Rocco Hunt,8,1404485,-0.15%,https://www.youtube.com/watch?v=AN4fJ87ldHI
19,18,Dov'è,Le Vibrazioni,5,1359576,-0.03%,https://www.youtube.com/watch?v=ffC3eV4V8L0
20,17,La Mia Hit (feat. Max Pezzali),J-Ax,8,1317299,-0.06%,https://www.youtube.com/watch?v=VZpX7WkHnj4
21,12,Sincero,Bugo & Morgan,4,1254888,-0.24%,https://www.youtube.com/watch?v=i8kBWDgW3nk
22,22,Margarita,Elodie & Marracash,38,1224667,-0.03%,https://www.youtube.com/watch?v=xgnPeROggH4
23,20,La Vendetta del Signor S,Me contro Te,14,1219091,-0.09%,https://www.youtube.com/watch?v=xb9-k46AB3s
24,26,Blinding Lights,The Weeknd,9,1174079,0.09%,https://www.youtube.com/watch?v=4NRXx6U8ABQ
25,29,Me Ne Frego,Achille Lauro,4,1138125,0.11%,https://www.youtube.com/watch?v=KN47Lv6xNRo
26,23,RITMO (Bad Boys for Life),Black Eyed Peas & J Balvin,21,1082635,-0.1%,https://www.youtube.com/watch?v=EzKkl64rRbM
27,28,Allora ciao,Shade,8,999929,-0.04%,https://www.youtube.com/watch?v=9dmpUjW18MQ
28,25,Gigante,Piero Pelù,4,978330,-0.15%,https://www.youtube.com/watch?v=tvSagoWzr9g
29,n/a,Snitch E Impicci,DrefGold & FSK SATELLITE,1,976820,n/a,https://www.youtube.com/watch?v=9NSf6dfnOCw
30,24,blun7 a swishland,thasup,17,975620,-0.15%,https://www.youtube.com/watch?v=N3qxFptQbVA
31,30,Barrio,Mahmood,27,928681,-0.08%,https://www.youtube.com/watch?v=7Fmpz-wIkPY
32,31,Non Avere Paura,Tommaso Paradiso,23,914288,-0.02%,https://www.youtube.com/watch?v=C6sDLa9XO3U
33,n/a,Vamos Pa La Banca (feat. Geolier & Lele Blade),Dat Boi Dee,1,906574,n/a,https://www.youtube.com/watch?v=AsqQROb6YfQ
34,33,ARROGANTE,Irama,41,899813,0.01%,https://www.youtube.com/watch?v=7x0Sm83tmHY
35,n/a,Stupid Love,Lady Gaga,1,898437,n/a,https://www.youtube.com/watch?v=5L6xyaeiV58
36,32,Pookie,Aya Nakamura,27,882362,-0.02%,https://www.youtube.com/watch?v=_bPa-VG0AWo
37,38,TUTTO QUESTO SEI TU,Ultimo,11,862226,0.02%,https://www.youtube.com/watch?v=iDinXwBsQDM
38,36,Don't Start Now,Dua Lipa,18,856938,0%,https://www.youtube.com/watch?v=oygrmJFKYZY
39,34,JAMBO,Takagi & Ketra & OMI & Giusy Ferreri,41,848631,-0.03%,https://www.youtube.com/watch?v=8OgCPfZXvnc
40,39,Before You Go,Lewis Capaldi,7,846841,0.06%,https://www.youtube.com/watch?v=Jtauh8GcxBY
41,35,Magnifico difetto,Benji & Fede,11,781845,-0.1%,https://www.youtube.com/watch?v=DQA-DJ4Fuy4
42,45,Amici Per Errore,Tiziano Ferro,3,767421,0.17%,https://www.youtube.com/watch?v=82xQymR7-a4
43,41,Mambo Salentino,Boomdabash & Alessandra Amoroso,39,764997,-0.02%,https://www.youtube.com/watch?v=i8qZ2Hif_eM
44,46,Tusa,KAROL G & Nicki Minaj,14,750522,0.18%,https://www.youtube.com/watch?v=tbneQDc2H3I
45,42,Il tuo profumo,Fred De Palma & Sofia Reyes,25,746446,0.04%,https://www.youtube.com/watch?v=9J7w4oGXRiY
46,37,Marymango (feat. thasup),Ghali,2,721873,-0.15%,https://www.youtube.com/watch?v=XfVgc7lA1ms
47,27,ON,BTS,2,703250,-0.34%,https://www.youtube.com/watch?v=mPVDGOVjRQ0
48,40,CRUDELIA - I nervi,Marracash,18,685726,-0.13%,https://www.youtube.com/watch?v=h0OAYO6x2uA
49,58,Stupida Allegria,Emma,11,623803,0.27%,https://www.youtube.com/watch?v=e92yJ7d3MT4
50,n/a,Someone You Loved,Lewis Capaldi,35,600715,n/a,https://www.youtube.com/watch?v=zABLecsR5UE
51,49,MALA SANTA,Becky G,8,589508,0.01%,https://www.youtube.com/watch?v=w2Ro8cgsmss
52,47,ANSIA NO,FSK SATELLITE,10,580582,-0.07%,https://www.youtube.com/watch?v=K_1A9uNZQXk
53,43,Baciami adesso,Enrico Nigiotti,4,575301,-0.2%,https://www.youtube.com/watch?v=cbiihmTQeAk
54,44,Vai Bene Così,Leo Gassmann,4,567661,-0.21%,https://www.youtube.com/watch?v=TaLqE6Ukwp8
55,57,ROXANNE,Arizona Zervas,13,545253,0.09%,https://www.youtube.com/watch?v=16YnOUnbE6s
