Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,2,SUPEREROI,Mr. Rain,5,6207536,0.04%,https://www.youtube.com/watch?v=uuVBNyn3ZB8
2,1,Due Vite,Marco Mengoni,5,6206763,-0.08%,https://www.youtube.com/watch?v=_iS4STWKSvk
3,3,CENERE,Lazza,5,5030499,-0.14%,https://www.youtube.com/watch?v=A5ab7U9RVLE
4,5,‘O Mar For (feat. Lolloflow Icaro & Raiz),Stefano Lentini,4,2618130,0.12%,https://www.youtube.com/watch?v=1TE3uEJL4s4
5,4,IL BENE NEL MALE,Madame,5,2085175,-0.14%,https://www.youtube.com/watch?v=Nq-u9jV1uEg
6,9,TANGO,Tananai,5,2051358,0.17%,https://www.youtube.com/watch?v=C7ckx1gbDH0
7,12,ORIGAMI ALL'ALBA - MATTEO & LOLLOFLOW,Matteo Paolillo - Icaro & Lolloflow,2,2043130,0.39%,https://www.youtube.com/watch?v=P-ZJLJCv0xs
8,15,COME VUOI,Geolier,9,1893350,0.47%,https://www.youtube.com/watch?v=aL0dOoLpf7M
9,7,Bellissima,Annalisa,27,1846183,-0.03%,https://www.youtube.com/watch?v=qz88Dx-_lA4
10,8,MADE IN ITALY,Rosa Chemical & Bdope,5,1781303,-0.02%,https://www.youtube.com/watch?v=UQuoY73tUsw
11,6,SHAKIRA,Bizarrap & Shakira,9,1650105,-0.23%,https://www.youtube.com/watch?v=CocEMWdc7Ck
12,11,Flowers,Miley Cyrus,8,1406059,-0.06%,https://www.youtube.com/watch?v=G7KNmW9a75Y
13,14,Cookies N' Cream,Guè & ANNA & Sfera Ebbasta,8,1297828,0%,https://www.youtube.com/watch?v=z_D_SP5YGh0
14,16,Gelosa (feat. Shiva Sfera Ebbasta & Guè),Finesse,2,1173525,-0.02%,https://www.youtube.com/watch?v=oBS25dk7asc
