Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Viceversa,Francesco Gabbani,8,2856027,-0.22%,https://www.youtube.com/watch?v=cNoylMSXYcE
2,5,Una volta ancora (feat. Ana Mena),Fred De Palma,42,2469873,-0.05%,https://www.youtube.com/watch?v=4R5mDpIgwUs
3,2,Musica (E Il Resto Scompare),Elettra Lamborghini,8,2392718,-0.2%,https://www.youtube.com/watch?v=-8B-msCuuFA
4,4,Dance Monkey,Tones and I,28,2287701,-0.12%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
5,7,Rapide,Mahmood,10,2170727,-0.14%,https://www.youtube.com/watch?v=ChJ57Av10Mw
6,3,Fai Rumore,Diodato,8,2137003,-0.25%,https://www.youtube.com/watch?v=tPv9ZPXmFWU
7,9,Good Times,Ghali,5,2035685,-0.03%,https://www.youtube.com/watch?v=w2KZGGkvLe8
8,6,Bando,ANNA,6,1857233,-0.26%,n/a
9,10,Ti Volevo Dedicare,Rocco Hunt & Omar Montes & Reik,30,1824928,-0.11%,https://www.youtube.com/watch?v=kFF2i6sUj1M
10,37,Fiori di Chernobyl,Mr. Rain,2,1567820,0.77%,https://www.youtube.com/watch?v=BATH_RQFt3Q
11,11,Per sentirmi vivo,Fasma & G.G.,11,1526654,-0.15%,https://www.youtube.com/watch?v=T-sWpqN2yo8
12,14,DOVE E QUANDO,Benji & Fede,43,1468438,-0.09%,https://www.youtube.com/watch?v=4QhyYngmW0I
13,8,blun7 a swishland,thasup,20,1376506,-0.41%,https://www.youtube.com/watch?v=N3qxFptQbVA
14,12,Ringo Starr,Pinguini Tattici Nucleari,8,1285890,-0.24%,https://www.youtube.com/watch?v=J3n4CrZxu3g
15,15,Boogieman (feat. Salmo),Ghali,10,1247461,-0.19%,https://www.youtube.com/watch?v=-7lqGbIE3aM
16,13,Abbracciame,Andrea Sannino,26,1141074,-0.31%,https://www.youtube.com/watch?v=ziBga4SbRX4
17,21,Margarita,Elodie & Marracash,41,1074361,-0.12%,https://www.youtube.com/watch?v=xgnPeROggH4
