Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Musica leggerissima,Colapesce & Dimartino,9,3512077,-0.08%,https://www.youtube.com/watch?v=Q7NjUxGMv7Y
2,2,lady,Sangiovanni,14,3078817,-0.13%,https://www.youtube.com/watch?v=2yivf9LdbhI
3,3,Ti raggiungerò,Fred De Palma,7,2745774,0.05%,https://www.youtube.com/watch?v=2WMYOxpRVMI
4,5,Mi Manchi,Aka 7even,9,2450105,0.13%,https://www.youtube.com/watch?v=qvJPtngb15E
5,8,0 passi,Deddy,4,2274899,0.33%,https://www.youtube.com/watch?v=6WrNGmVXK-g
6,6,La genesi del tuo colore,Irama,8,1944854,-0.1%,https://www.youtube.com/watch?v=ksTDwL45sO0
7,4,CHIAMAMI PER NOME,Francesca Michielin & Fedez,9,1925086,-0.16%,https://www.youtube.com/watch?v=F92zPP2FbwE
8,7,VOCE,Madame,9,1655764,-0.11%,https://www.youtube.com/watch?v=cFAtUbi7a8w
9,10,A Un Passo Dalla Luna,Rocco Hunt & Ana Mena,43,1372534,0.03%,https://www.youtube.com/watch?v=Kh-Dz1Fuo1E
10,n/a,DUBAI,Rondodasosa,1,1301698,n/a,https://www.youtube.com/watch?v=80YntX64FjE
11,14,Yo No Sé,RVFV & Pablo Mas,8,1288087,0.03%,https://www.youtube.com/watch?v=0ZLw3Insx3A
12,37,Save Your Tears,The Weeknd,18,1156736,1.17%,https://www.youtube.com/watch?v=XXYlFuWEuKI
13,13,LA CANZONE NOSTRA,MACE & Blanco & Salmo,16,1138084,-0.09%,https://www.youtube.com/watch?v=XE6lV6xseQ4
14,12,ZITTI E BUONI,Måneskin,9,1135702,-0.11%,https://www.youtube.com/watch?v=QN1odfjtMoo
15,20,Il Cielo Contromano,Deddy,16,1116636,0.25%,https://www.youtube.com/watch?v=KWuCW9gTyds
16,9,Mi troverai,Me contro Te,4,1097727,-0.18%,https://www.youtube.com/watch?v=jxGYsWlDGDw
17,n/a,FANTASMI (feat. Geolier & Marracash),TY1,1,1044221,n/a,https://www.youtube.com/watch?v=nJhl6gQ0-yw
18,16,Karaoke,Boomdabash & Alessandra Amoroso,46,1042428,-0.01%,https://www.youtube.com/watch?v=fHFx6FbUMRQ
19,17,Dieci,Annalisa,9,1037864,-0.01%,https://www.youtube.com/watch?v=dVLen7OOG38
20,18,MONTERO (Call Me By Your Name),Lil Nas X,5,1033400,0.03%,https://www.youtube.com/watch?v=6swmTBVI83k
21,19,Sorriso Grande,Alessandra Amoroso,3,1018349,0.02%,https://www.youtube.com/watch?v=BrzbvJsc3zI
22,15,Las Vegas,Tancredi Cantù,5,886708,-0.16%,https://www.youtube.com/watch?v=nfJvrnsNbxY
23,23,Glicine,Noemi,9,804813,-0.04%,https://www.youtube.com/watch?v=WuXm-dk8jQo
24,21,Jerusalema (feat. Nomcebo Zikode),Master KG,45,796031,-0.09%,https://www.youtube.com/watch?v=fCZVL_8D048
25,24,Fiamme negli occhi,Coma_Cose,8,788861,-0.06%,https://www.youtube.com/watch?v=MJhkALvLs0s
26,39,Iko Iko (My Bestie) (feat. Small Jam),Justin Wellington,4,765595,0.44%,https://www.youtube.com/watch?v=TzwqnlYMqIg
27,25,Che me chiamme a fa?,Rocco Hunt & Geolier,10,743646,-0.08%,https://www.youtube.com/watch?v=Vo00UBqXJRc
28,26,Venere e Marte (feat. Marco Mengoni & Frah Quintale),Takagi & Ketra,16,740856,-0.08%,https://www.youtube.com/watch?v=BfDsoB0jhsY
29,30,Friday (Dopamine Re-Edit) (feat. Mufasa & Hypeman),Riton & Nightcrawlers & Dopamine,6,714775,0.12%,https://www.youtube.com/watch?v=U6n2NcJ7rLc
