Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Musica leggerissima,Colapesce & Dimartino,5,5963481,-0.14%,https://www.youtube.com/watch?v=Q7NjUxGMv7Y
2,2,CHIAMAMI PER NOME,Francesca Michielin & Fedez,5,3555126,-0.13%,https://www.youtube.com/watch?v=F92zPP2FbwE
3,6,lady,Sangiovanni,10,3092742,0.41%,https://www.youtube.com/watch?v=2yivf9LdbhI
4,4,VOCE,Madame,5,2423902,-0.13%,https://www.youtube.com/watch?v=cFAtUbi7a8w
5,5,La genesi del tuo colore,Irama,4,2311685,-0.01%,https://www.youtube.com/watch?v=ksTDwL45sO0
6,3,ZITTI E BUONI,Måneskin,5,2224757,-0.24%,https://www.youtube.com/watch?v=QN1odfjtMoo
7,13,Ti raggiungerò,Fred De Palma,3,1879426,0.62%,https://www.youtube.com/watch?v=2WMYOxpRVMI
8,7,LA CANZONE NOSTRA,MACE & Blanco & Salmo,12,1712481,0%,https://www.youtube.com/watch?v=XE6lV6xseQ4
9,9,A Un Passo Dalla Luna,Rocco Hunt & Ana Mena,39,1547760,0.18%,https://www.youtube.com/watch?v=Kh-Dz1Fuo1E
10,8,Dieci,Annalisa,5,1333742,-0.13%,https://www.youtube.com/watch?v=dVLen7OOG38
11,21,Non Fare Così,Capo Plaza,10,1319279,0.71%,https://www.youtube.com/watch?v=gHdd3-F4oFg
12,12,Karaoke,Boomdabash & Alessandra Amoroso,42,1273290,0.07%,https://www.youtube.com/watch?v=fHFx6FbUMRQ
13,11,Venere e Marte (feat. Marco Mengoni & Frah Quintale),Takagi & Ketra,12,1162274,-0.04%,https://www.youtube.com/watch?v=BfDsoB0jhsY
14,24,Mi Manchi,Aka 7even,5,1143829,0.6%,https://www.youtube.com/watch?v=qvJPtngb15E
15,14,Che me chiamme a fa?,Rocco Hunt & Geolier,6,1119288,-0.01%,https://www.youtube.com/watch?v=Vo00UBqXJRc
16,10,Glicine,Noemi,5,1063778,-0.15%,https://www.youtube.com/watch?v=WuXm-dk8jQo
17,16,Fiamme negli occhi,Coma_Cose,4,996888,-0.06%,https://www.youtube.com/watch?v=MJhkALvLs0s
18,36,Yo No Sé,RVFV & Pablo Mas,4,974572,0.72%,https://www.youtube.com/watch?v=0ZLw3Insx3A
19,18,Jerusalema (feat. Nomcebo Zikode),Master KG,41,831566,-0.06%,https://www.youtube.com/watch?v=fCZVL_8D048
20,n/a,MONTERO (Call Me By Your Name),Lil Nas X,1,828501,n/a,https://www.youtube.com/watch?v=6swmTBVI83k
21,n/a,Las Vegas,Tancredi Cantù,1,801318,n/a,https://www.youtube.com/watch?v=nfJvrnsNbxY
22,17,Potevi fare di più,Arisa,5,799421,-0.2%,https://www.youtube.com/watch?v=BNPN2qH_yTE
23,n/a,Shotta 2 (feat. Vale pain Baby Gang & Nko),SEVEN 7oo,1,707484,n/a,https://www.youtube.com/watch?v=DU_uq-qvh8o
24,25,Save Your Tears,The Weeknd,14,704703,-0.01%,https://www.youtube.com/watch?v=XXYlFuWEuKI
25,22,Parlami,Fasma & ,5,695499,-0.09%,https://www.youtube.com/watch?v=H0C63z3DPE0
26,57,Il Cielo Contromano,Deddy,12,691304,0.53%,https://www.youtube.com/watch?v=KWuCW9gTyds
27,37,tutta la notte,Sangiovanni,6,687927,0.22%,https://www.youtube.com/watch?v=KQ2MthnRg1w
28,32,Hecha Pa' Mi,Boza,13,680589,0.1%,https://www.youtube.com/watch?v=IOHh7vkX5O0
29,30,Street,Capo Plaza,10,679197,0.06%,https://www.youtube.com/watch?v=oJmpllW2EqQ
30,19,VENT'ANNI,Måneskin,22,668213,-0.2%,https://www.youtube.com/watch?v=XD77aMyCv0Q
31,20,Mai Dire Mai (La Locura),Willie Peyote,4,663139,-0.17%,https://www.youtube.com/watch?v=fJtnqQ1RTg4
32,15,CORALINE,Måneskin,2,646729,-0.42%,https://www.youtube.com/watch?v=CmMO42bOTZ4
33,26,Una Canzone D'Amore Buttata Via,Vasco Rossi,13,646650,-0.06%,https://www.youtube.com/watch?v=30-XvAKLp0s
34,89,Occhi Lucidi,Leon Faun,3,623001,1.02%,https://www.youtube.com/watch?v=Rv_J12YIQIA
35,44,Mediterranea,Irama,45,607262,0.14%,https://www.youtube.com/watch?v=cNZrApXrEYc
36,23,Figlia di...,Loredana Berté,5,604850,-0.16%,https://www.youtube.com/watch?v=Aa1UVNDCjaw
37,29,Inuyasha,Mahmood,8,604545,-0.08%,https://www.youtube.com/watch?v=yfkp7bHyVGM
38,41,Pezzo Di Cuore,Emma & Alessandra Amoroso,11,597068,0.1%,https://www.youtube.com/watch?v=NEMWc5OWCC8
39,33,No Cap (feat. Geolier),Emis Killa & Jake La Furia,5,596869,0.04%,https://www.youtube.com/watch?v=14tuRJKa91c
40,34,Ferma A Guardare (feat. Pinguini Tattici Nucleari),Ernia,11,589273,0.03%,https://www.youtube.com/watch?v=CrKFI6ktBp4
41,40,Non mi basta più (feat. Chiara Ferragni),Baby K,39,565994,0.03%,https://www.youtube.com/watch?v=4Rp6netehE4
42,65,Your Love (9PM) (Live),ATB & Topic & A7S,3,560976,0.35%,https://www.youtube.com/watch?v=5zLAhCOAATo
43,35,Baby (feat. J Balvin),Sfera Ebbasta,19,560856,-0.01%,https://www.youtube.com/watch?v=1RpKdCl2uN4
44,42,Lola,Niko Pandetta & Tempoxso,4,557906,0.03%,https://www.youtube.com/watch?v=Zq64gX7toQE
45,n/a,CAZZO CULO (feat. Salmo),Massimo Pericolo & Crookers & Nic Sarno,1,551377,n/a,https://www.youtube.com/watch?v=zxqodVGELWE
46,n/a,Paloma (feat. Anitta),Fred De Palma,37,542734,n/a,https://www.youtube.com/watch?v=U95ZtTrAp2Q
47,38,Tik Tok RMX (feat. Marracash Guè Paky & Geolier),Sfera Ebbasta,19,542252,-0.03%,https://www.youtube.com/watch?v=R_vhQyDkL1E
48,n/a,Crepe,Irama,30,535258,n/a,https://www.youtube.com/watch?v=-iynHtTMoi8
49,27,Un milione di cose da dirti,Ermal Meta,4,531542,-0.19%,https://www.youtube.com/watch?v=sC7UluoMaWY
50,45,SPLASH (feat. Enzo Dong),MV Killa & Yung Snapp,15,527830,-0.01%,https://www.youtube.com/watch?v=04nnME7dTG0
51,28,ORA,AIELLO,5,517442,-0.21%,https://www.youtube.com/watch?v=sX3mGMmLGnQ
52,31,Amare,La Rappresentante di Lista,4,516319,-0.17%,https://www.youtube.com/watch?v=iY9YsLvNNt8
53,50,Someone You Loved, & Donghun & Chan,14,510481,-0.01%,https://www.youtube.com/watch?v=S5QCIWRiO3M
54,52,Don't Worry,Boomdabash,20,509859,0.04%,https://www.youtube.com/watch?v=6ec15XKKauU
55,56,Motel,Peppe Soks & Geolier & Janax,17,505491,0.08%,https://www.youtube.com/watch?v=V9xMboii47A
56,46,Scooby Doo,Pinguini Tattici Nucleari,20,500892,-0.06%,https://www.youtube.com/watch?v=gYJUPA26MyI
57,59,Concedimi,Matteo Romano,20,490077,0.12%,https://www.youtube.com/watch?v=10U8ZY4PvS4
58,64,Motorola,Morad,10,475557,0.14%,https://www.youtube.com/watch?v=hueE1VHushU
59,61,Aggio Perzo 'o Suonno,Neffa & Coez & TY1,4,475523,0.1%,https://www.youtube.com/watch?v=BPu8cCxGSC0
60,55,L'urlo di Munch,Emanuele Aloia,9,472184,-0.01%,https://www.youtube.com/watch?v=sCusl2wiKMA
61,58,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,2,460167,0.02%,https://www.youtube.com/watch?v=tQ0yjYUFKAE
62,85,Friday (Dopamine Re-Edit) (feat. Mufasa & Hypeman),Riton & Nightcrawlers & Dopamine,2,458606,0.42%,https://www.youtube.com/watch?v=U6n2NcJ7rLc
