Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,TUTA GOLD,Mahmood,6,7006105,-0.15%,https://www.youtube.com/watch?v=Pz168-XMNIk
2,2,Sinceramente,Annalisa,6,6262354,-0.17%,https://www.youtube.com/watch?v=NfEp5l0UMBE
3,3,I P’ ME TU P’ TE,Geolier,6,3980376,-0.16%,https://www.youtube.com/watch?v=qon1NJ6D3co
4,4,la noia,Angelina Mango,6,3921492,-0.13%,https://www.youtube.com/watch?v=psiytW9Or2s
5,5,Casa Mia,Ghali,6,3386423,-0.12%,https://www.youtube.com/watch?v=hdcIhDr2MG0
6,7,100 MESSAGGI,Lazza,3,3106038,0.09%,https://www.youtube.com/watch?v=F7katA08VeA
7,6,UN RAGAZZO UNA RAGAZZA,The Kolors,6,2614934,-0.12%,https://www.youtube.com/watch?v=L6c_NhXeGYo
8,9,Ma non tutta la vita,Ricchi e Poveri,6,2572439,0.11%,https://www.youtube.com/watch?v=lhmB3KIXchA
9,10,CLICK BOOM!,Rose Villain,6,2100928,-0.04%,https://www.youtube.com/watch?v=8mCBkGR_PRc
10,8,Tu No,Irama,6,2092667,-0.17%,https://www.youtube.com/watch?v=m7-hIpk6vNI
11,12,APNEA,Emma,6,1862396,0.17%,https://www.youtube.com/watch?v=Jf5nOnCWicA
12,11,Pazza,Loredana Berté,6,1569224,-0.07%,https://www.youtube.com/watch?v=RipSewkfsUg
13,13,Vai!,Alfa,6,1334713,-0.15%,https://www.youtube.com/watch?v=Z6X3K13EqQI
14,14,DIAMANTI GREZZI,CLARA  ,6,1326773,-0.07%,https://www.youtube.com/watch?v=XoeS9zTGFmg
15,20,ADDO STAJE (Ride it RMX),Le-one & VTR,3,1205302,0.31%,https://www.youtube.com/watch?v=Zig8kbHaooU
16,17,Che t'o dico a fa',Angelina Mango,23,1042249,-0.13%,https://www.youtube.com/watch?v=cHqS0XR8pns
17,16,La rondine,Angelina Mango,7,989859,-0.2%,https://www.youtube.com/watch?v=6hX-5NAp41I
18,18,Capolavoro (Live),Il Volo,6,895746,-0.1%,https://www.youtube.com/watch?v=vJ4xWqJZWkY
19,15,In Italia 2024 (feat. Baby Gang),Fabri Fibra,3,886562,-0.32%,https://www.youtube.com/watch?v=n3CEdEGrTug
20,21,DUE ALTALENE,Mr. Rain,6,818894,-0.1%,https://www.youtube.com/watch?v=S9jE_80Bnm8
21,19,Onda Alta,Dargen D'Amico,6,800626,-0.14%,https://www.youtube.com/watch?v=kgmlAjANbE4
22,25,ITALODISCO (Karaoke Version),The Kolors,44,793719,0.01%,https://www.youtube.com/watch?v=3l9a1uvoIp0
23,23,Mariposa (LIve),Fiorella Mannoia,6,728389,-0.1%,https://www.youtube.com/watch?v=TxESTffH9nw
24,24,Fino a qui,Alessandra Amoroso,6,679201,-0.15%,https://www.youtube.com/watch?v=f8T7lJILPJo
25,27,VETRI NERI,AVA & ANNA & Capo Plaza,43,678586,-0.03%,https://www.youtube.com/watch?v=2jCjNv1bscw
